=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

0,1,1.066689
1,3,0.280907
2,4,0.282446
3,6,1.329859
4,7,1.803897
5,9,2.114203
6,10,1.576499
7,11,1.067147
8,12,0.593146
9,13,0.214651
10,15,0.595352
11,16,1.328868
12,18,2.181677
13,19,2.114072
14,20,1.576662
15,21,1.067248
16,22,0.593344
17,24,0.282376
18,25,0.819750
19,26,1.328668
20,27,1.802902
21,28,2.115203
22,29,2.114458
23,30,1.801826
24,31,1.068236
25,32,0.593661
26,33,0.281012
27,34,0.281977
28,35,0.819058
29,37,1.802623
30,38,2.181795
31,40,1.802164
32,41,1.068835
33,42,0.594534
34,43,0.215088
35,45,0.594661
36,46,1.328103
37,47,1.802314
38,48,2.181742
39,49,2.114819
40,50,1.802706
41,51,1.069469
42,52,0.594839
43,54,0.281503
44,55,0.817823
45,57,1.801517
46,58,2.114621
47,59,2.115301
48,60,1.579033
49,62,0.595281
50,63,0.214928
51,64,0.281353
52,65,0.593527
53,66,1.326442
54,67,1.801256
55,68,2.181722
56,69,2.115120
57,71,1.070006
58,72,0.595394
59,74,0.281402
60,75,0.817369
61,76,1.326247
62,77,1.801050
63,78,2.181675
64,80,1.804192
65,81,1.070852
66,82,0.595802
67,83,0.214854
68,85,0.592842
69,86,1.325585
70,88,2.113862
71,89,2.115600
72,90,1.804157
73,91,1.071246
74,92,0.596361
75,93,0.282558
76,94,0.280878
77,95,0.816405
78,97,1.800428
79,98,2.113870
80,99,2.115782
81,100,1.580774
82,102,0.597264
83,103,0.215332
84,104,0.280623
85,105,0.815729
86,106,1.324676
87,107,1.799641
88,108,2.181525
89,110,1.805032
90,111,1.072245
91,113,0.215272
92,114,0.280384
93,115,0.591405
94,116,1.323903
95,118,2.113035
96,119,2.116325
97,120,1.805506
98,121,1.072697
99,123,0.283419
100,124,0.280658
101,126,1.323360
102,127,1.798860
103,128,2.113300
104,129,2.116503
105,130,1.582378
106,132,0.597798
107,133,0.283334
108,134,0.280117
109,135,0.814599
110,136,1.323161
111,137,1.798542
112,138,2.181092
113,140,1.806480
114,141,1.073948
115,142,0.598540
116,143,0.215605
117,144,0.280263
118,145,0.590620
119,146,1.322791
120,147,1.981981
121,149,2.116764
122,150,1.583083
123,152,0.598644
124,153,0.215479
125,155,0.589729
126,156,1.322285
127,158,2.181222
128,159,2.117054
129,160,1.806962
130,161,1.075075
131,162,0.599345
132,163,0.216177
133,164,0.279838
134,166,1.321819
135,167,1.797360
136,169,2.117301
137,170,1.584274
138,171,1.075276
139,172,0.599771
140,173,0.216231
141,175,0.589553
142,176,1.321188
143,177,1.797064
144,178,2.181072
145,180,1.807941
