index,time_ms,voltage_V

0,2,1.721045
1,4,2.012257
2,6,1.153147
3,8,0.339367
4,10,0.755035
5,12,1.720687
6,14,2.164607
7,16,1.153806
8,18,0.339552
9,20,0.754356
10,22,1.720093
11,24,2.012695
12,26,1.154585
13,28,0.339920
14,30,0.754046
15,32,1.719675
16,34,2.012843
17,36,1.154700
18,38,0.340220
19,40,0.753439
20,42,1.719309
21,44,2.164618
22,46,1.155148
23,48,0.340244
24,50,0.753159
25,52,1.718874
26,54,2.013681
27,56,1.155798
28,58,0.340465
29,60,0.752970
30,62,1.718529
31,64,2.013836
32,66,1.156425
33,68,0.340709
34,70,0.752110
35,72,1.717950
36,74,2.164302
37,76,1.156747
38,78,0.341177
39,80,0.751645
40,82,1.717567
41,84,2.014475
42,86,1.157181
43,88,0.341229
44,90,0.751345
45,92,1.717163
46,94,2.014960
47,96,1.157676
48,98,0.341410
49,100,0.751036
50,102,1.716718
51,104,2.164536
52,106,1.158091
53,108,0.341502
54,110,0.750454
55,112,1.716240
56,114,2.015014
57,116,1.158781
58,118,0.341851
59,120,0.749954
60,122,1.715907
61,124,2.015287
62,126,1.159162
63,128,0.342264
64,130,0.749575
65,132,1.715693
66,134,2.164950
67,136,1.159529
68,138,0.342277
69,140,0.748859
70,142,1.714887
71,144,2.016109
72,146,1.160204
73,148,0.342782
74,150,0.748970
75,152,1.714680
76,154,2.016362
77,156,1.160931
78,158,0.342441
79,160,0.748423
80,162,1.714285
81,164,2.016523
82,166,1.161259
83,168,0.342927
84,170,0.747862
85,172,1.714003
86,174,2.016660
87,176,1.161649
88,178,0.343413
89,180,0.747477
90,182,1.713417
91,184,2.016920
92,186,1.162179
93,188,0.343689
94,190,0.747045
95,192,1.713024
96,194,2.017210
97,196,1.162597
98,198,0.344007
99,200,0.746774
100,202,1.712655
101,204,2.017584
102,206,1.163235
103,208,0.343877
104,210,0.746180
105,212,1.712241
106,214,2.017874
107,216,1.163686
108,218,0.343994
109,220,0.745546
110,222,1.711836
