index,time_ms,voltage_V
  Sanity check: 1.3435 V  (should be ~1.2V if generator connected)

0,2,2.099036
1,4,1.551384
2,6,0.595706
3,8,0.242705
4,10,1.342918
5,12,2.098636
6,14,1.551524
7,16,0.595834
8,18,0.242658
9,20,1.342422
10,22,2.098422
11,24,1.552191
12,26,0.596221
13,28,0.242630
14,30,1.341996
15,32,2.098159
16,34,1.552944
17,36,0.596784
18,38,0.242607
19,40,1.341681
20,42,2.098214
21,44,1.553199
22,46,0.597250
23,48,0.242098
24,50,1.341112
25,52,2.098025
26,54,1.553672
27,56,0.597631
28,58,0.242262
29,60,1.340354
30,62,2.097622
31,64,1.554030
32,66,0.597993
33,68,0.242466
34,70,1.340010
35,72,2.097622
36,74,1.554862
37,76,0.598149
38,78,0.242224
39,80,1.339359
40,82,2.097404
41,84,1.555352
42,86,0.598636
43,88,0.242055
44,90,1.339112
45,92,2.097321
46,94,1.555513
47,96,0.598879
48,98,0.241660
49,100,1.338556
50,102,2.097013
51,104,1.556022
52,106,0.599526
53,108,0.241818
54,110,1.337900
55,112,2.096895
56,114,1.556524
57,116,0.599793
58,118,0.241896
59,120,1.337595
60,122,2.096565
61,124,1.556889
62,126,0.599959
63,128,0.241813
64,130,1.337165
65,132,2.096582
66,134,1.557489
67,136,0.600366
68,138,0.241485
69,140,1.336513
70,142,2.096268
71,144,1.557859
72,146,0.600993
73,148,0.241519
74,150,1.335898
75,152,2.095867
76,154,1.558309
77,156,0.601400
78,158,0.241471
79,160,1.335532
80,162,2.095995
81,164,1.558649
82,166,0.601574
83,168,0.241267
84,170,1.334984
85,172,2.095661
86,174,1.559170
87,176,0.601762
88,178,0.241408
89,180,1.334359
90,182,2.095308
91,184,1.559601
92,186,0.602393
93,188,0.241124
94,190,1.333885
95,192,2.095145
96,194,1.559914
97,196,0.602592
98,198,0.240759
99,200,1.333552
100,202,2.095098
101,204,1.560473
102,206,0.603150
103,208,0.241050
104,210,1.333074
105,212,2.094821
106,214,1.560995
107,216,0.603564
108,218,0.241135
109,220,1.332657
110,222,2.095003
111,224,1.561649
112,226,0.603915
113,228,0.240845
114,230,1.332144
115,232,2.094434
116,234,1.562058
117,236,0.604439
118,238,0.240826
119,240,1.331676
120,242,2.094253
121,244,1.562346
122,246,0.604670
123,248,0.240472
124,250,1.331098
125,252,2.094126
126,254,1.562883
127,256,0.605461
128,258,0.240990
129,260,1.330596
130,262,2.094051
131,264,1.563009
132,266,0.605374
133,268,0.240644
134,270,1.330129
135,272,2.093808
136,274,1.564031
137,276,0.605770
138,278,0.240720
139,280,1.329823
140,282,2.093552
141,284,1.564205
142,286,0.606334
143,288,0.240521
144,290,1.329346
145,292,2.093552
146,294,1.564896
147,296,0.606871
148,298,0.240502
149,300,1.328981
150,302,2.093348
151,304,1.565099
152,306,0.607342
153,308,0.240513
154,310,1.328330
155,312,2.093169
156,314,1.565633
157,316,0.607771
158,318,0.240690
159,320,1.327921
160,322,2.093039
161,324,1.566162
162,326,0.607861
163,328,0.240249
164,330,1.327027
165,332,2.092345
166,334,1.566409
167,336,0.608335
168,338,0.240230
169,340,1.326852
170,342,2.092448
171,344,1.566838
172,346,0.608796
173,348,0.240018
174,350,1.326412
175,352,2.092486
176,354,1.567481
177,356,0.609294
178,358,0.239847
179,360,1.325673
180,362,2.092194
181,364,1.567710
182,366,0.609577
183,368,0.240417
184,370,1.325195
185,372,2.092106
186,374,1.568390
187,376,0.609992
188,378,0.240222
189,380,1.324774
190,382,2.091611
191,384,1.568949
192,386,0.610214
193,388,0.240151
194,390,1.324451
195,392,2.091619
196,394,1.569188
197,396,0.610597
198,398,0.239740
199,400,1.323944
200,402,2.091517
201,404,1.569736
