# ============================================================
#   ADS1263 noise-floor sweep — Phase 1.2
# ============================================================
# Hardware:  Portenta H7 + Mid Carrier + ADS1263 EVM
# Reference: TI REF7050 (5.000 V) on AIN0/AIN1, REFMUX = 0x09
# Input:     AINCOM-shorted via INPMUX = 0xAA
# Bias:      VBIAS on (POWER bit 1) → AINCOM at +2.5 V
# Filter:    Sinc3 (MODE1 default), no chop, no FIR
# SPI:       500 kHz, MODE1
# Sweep:     SPS ∈ {10, 50, 100, 400, 1200, 2400, 4800}
#            × PGA ∈ {1, 2, 4, 8, 16, 32}
# Samples:   N = clamp(10·SPS, 200, 2000)
# Captured:  2026-05-24 18:45 UTC
# Operator:  Yilin Ma
# ============================================================
sps,sps_code,gain,gain_code,mode2,n_samples,period_us,out_mean_uV,out_rms_uV,out_pkpk_uV,in_mean_uV,in_rms_uV,in_pkpk_uV,nfb,stuck_pct
10,0x02,1,0,0x02,200,100000,739.1784,0.2616,1.3853,739.1784,0.2616,1.3853,22.783,0.50
10,0x02,2,1,0x12,200,100000,740.1855,0.2692,1.3434,370.0927,0.1346,0.6717,22.828,0.00
10,0x02,4,2,0x22,200,100000,740.8075,0.2624,1.4249,185.2019,0.0656,0.3562,22.743,0.00
10,0x02,8,3,0x32,200,100000,742.3134,0.2973,1.6694,92.7892,0.0372,0.2087,22.514,0.00
10,0x02,16,4,0x42,200,100000,745.0959,0.3943,2.1164,46.5685,0.0246,0.1323,22.172,0.50
10,0x02,32,5,0x52,200,100000,750.8753,0.6811,3.4063,23.4649,0.0213,0.1064,21.485,0.00
50,0x05,1,0,0x05,500,20000,739.1551,0.4666,2.8871,739.1551,0.4666,2.8871,21.724,0.20
50,0x05,2,1,0x15,500,20000,740.1830,0.4938,3.0547,370.0915,0.2469,1.5274,21.642,0.60
50,0x05,4,2,0x25,500,20000,740.9010,0.4997,3.1246,185.2253,0.1249,0.7811,21.610,0.80
50,0x05,8,3,0x35,500,20000,742.2897,0.5775,3.3202,92.7862,0.0722,0.4150,21.522,0.40
50,0x05,16,4,0x45,500,20000,745.1220,0.8025,4.8033,46.5701,0.0502,0.3002,20.989,0.40
50,0x05,32,5,0x55,500,20000,751.0431,1.2538,6.6939,23.4701,0.0392,0.2092,20.511,0.00
100,0x07,1,0,0x07,1000,10000,739.1841,0.6676,4.0443,739.1841,0.6676,4.0443,21.238,0.20
100,0x07,2,1,0x17,1000,10000,740.1704,0.6639,4.0978,370.0852,0.3319,2.0489,21.219,0.00
100,0x07,4,2,0x27,1000,10000,740.9097,0.7246,4.4168,185.2274,0.1811,1.1042,21.110,0.20
100,0x07,8,3,0x37,1000,10000,742.3366,0.8292,5.1735,92.7921,0.1036,0.6467,20.882,0.00
100,0x07,16,4,0x47,1000,10000,745.1492,1.1438,6.8382,46.5718,0.0715,0.4274,20.480,0.20
100,0x07,32,5,0x57,1000,10000,750.9353,1.8884,12.4075,23.4667,0.0590,0.3877,19.620,0.10
400,0x08,1,0,0x08,2000,2500,739.2266,1.2903,9.8278,739.2266,1.2903,9.8278,19.957,0.00
400,0x08,2,1,0x18,2000,2500,740.1945,1.3551,9.7882,370.0972,0.6775,4.8941,19.962,0.10
400,0x08,4,2,0x28,2000,2500,740.9108,1.4104,9.5600,185.2277,0.3526,2.3900,19.996,0.15
400,0x08,8,3,0x38,2000,2500,742.3303,1.6075,10.7358,92.7913,0.2009,1.3420,19.829,0.10
400,0x08,16,4,0x48,2000,2500,745.1082,2.2177,16.0048,46.5693,0.1386,1.0003,19.253,0.00
400,0x08,32,5,0x58,2000,2500,750.9273,3.5826,25.7115,23.4665,0.1120,0.8035,18.569,0.05
1200,0x09,1,0,0x09,2000,833,739.1662,2.1977,15.6905,739.1662,2.1977,15.6905,19.282,0.20
1200,0x09,2,1,0x19,2000,833,740.1175,2.3124,17.2458,370.0588,1.1562,8.6229,19.145,0.05
1200,0x09,4,2,0x29,2000,833,740.9543,2.4571,17.6392,185.2386,0.6143,4.4098,19.113,0.10
1200,0x09,8,3,0x39,2000,833,742.1704,2.7068,19.2039,92.7713,0.3384,2.4005,18.990,0.05
1200,0x09,16,4,0x49,2000,833,745.0863,3.7662,23.9699,46.5679,0.2354,1.4981,18.670,0.10
1200,0x09,32,5,0x59,2000,833,751.1523,6.4215,49.4323,23.4735,0.2007,1.5448,17.626,0.00
2400,0x0A,1,0,0x0A,2000,417,739.2100,3.0558,23.3576,739.2100,3.0558,23.3576,18.708,0.05
2400,0x0A,2,1,0x1A,2000,417,740.2211,3.1554,21.7045,370.1105,1.5777,10.8522,18.814,0.10
2400,0x0A,4,2,0x2A,2000,417,740.9333,3.4131,25.1574,185.2333,0.8533,6.2893,18.601,0.15
2400,0x0A,8,3,0x3A,2000,417,742.3814,3.8227,25.0759,92.7977,0.4778,3.1345,18.605,0.05
2400,0x0A,16,4,0x4A,2000,417,745.1774,5.3642,40.6778,46.5736,0.3353,2.5424,17.907,0.00
2400,0x0A,32,5,0x5A,2000,417,751.4076,8.5927,56.2379,23.4815,0.2685,1.7574,17.440,0.00
4800,0x0B,1,0,0x0B,2000,208,739.2836,4.3417,30.3029,739.2836,4.3417,30.3029,18.332,0.00
4800,0x0B,2,1,0x1B,2000,208,739.8780,4.3371,29.8116,369.9390,2.1686,14.9058,18.356,0.00
4800,0x0B,4,2,0x2B,2000,208,740.6230,4.5410,29.6673,185.1557,1.1352,7.4168,18.363,0.00
4800,0x0B,8,3,0x3B,2000,208,742.5883,5.1320,35.8908,92.8235,0.6415,4.4864,18.088,0.00
4800,0x0B,16,4,0x4B,2000,208,745.2624,6.9098,47.7652,46.5789,0.4319,2.9853,17.676,0.00
4800,0x0B,32,5,0x5B,2000,208,750.7476,11.6129,75.8097,23.4609,0.3629,2.3691,17.009,0.00
# Sweep complete. 42 points emitted.
