step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms,trig_to_dac_ms,dac_to_ldo_ms
small_up,unloaded,0.5,1.0,141,514,0,0.6106,1.2153,0.6047,nan,nan,7.3886,1.74,0.36,0.53
small_up,unloaded,0.5,1.0,141,514,1,0.6093,1.214,0.6047,nan,nan,10.9219,1.53,0.36,0.54
small_up,unloaded,0.5,1.0,141,514,2,0.6089,1.2147,0.6058,nan,nan,7.4724,1.68,0.36,0.55
mid_up,unloaded,0.5,2.5,141,1631,0,0.5953,3.0179,2.4226,nan,nan,2.5625,2.02,0.35,0.62
mid_up,unloaded,0.5,2.5,141,1631,1,0.5948,3.0152,2.4204,nan,nan,2.6761,2.1,0.36,0.6
mid_up,unloaded,0.5,2.5,141,1631,2,0.5954,3.0122,2.4168,nan,nan,2.8048,1.97,0.36,0.61
large_up,unloaded,0.5,5.0,141,3492,0,0.5799,6.0542,5.4744,nan,nan,1.9319,1.92,0.37,0.62
large_up,unloaded,0.5,5.0,141,3492,1,0.5862,6.0633,5.4771,nan,nan,1.7654,1.85,0.37,0.63
large_up,unloaded,0.5,5.0,141,3492,2,0.5838,6.0689,5.4851,nan,nan,1.6607,2.01,0.37,0.62
large_dn,unloaded,5.0,0.5,3492,141,0,6.057,0.5779,-5.4791,nan,nan,1.7862,4.05,0.37,1.38
large_dn,unloaded,5.0,0.5,3492,141,1,6.0491,0.5833,-5.4658,nan,nan,0.4254,3.99,0.37,1.37
large_dn,unloaded,5.0,0.5,3492,141,2,6.0609,0.5809,-5.48,nan,nan,1.8414,4.03,0.37,1.38
small_up,loaded,0.5,1.0,141,514,0,0.6461,1.2526,0.6065,nan,nan,7.8106,1.64,0.35,0.55
small_up,loaded,0.5,1.0,141,514,1,0.6469,1.2534,0.6064,nan,nan,4.3929,1.69,0.36,0.52
small_up,loaded,0.5,1.0,141,514,2,0.6472,1.2543,0.6071,nan,nan,7.522,1.68,0.36,0.54
mid_up,loaded,0.5,2.5,141,1631,0,0.6328,3.0586,2.4258,nan,nan,2.5316,2.1,0.36,0.61
mid_up,loaded,0.5,2.5,141,1631,1,0.6341,3.0625,2.4283,nan,nan,2.3698,2.04,0.35,0.61
mid_up,loaded,0.5,2.5,141,1631,2,0.6327,3.0571,2.4245,nan,nan,2.5924,2.07,0.36,0.61
large_up,loaded,0.5,5.0,141,3492,0,0.6361,6.0891,5.453,49.96,nan,1.3008,1.95,0.37,0.63
large_up,loaded,0.5,5.0,141,3492,1,0.637,6.0967,5.4598,nan,nan,1.1585,1.99,0.37,0.63
large_up,loaded,0.5,5.0,141,3492,2,0.6377,6.0911,5.4535,nan,nan,1.2626,1.95,0.37,0.62
large_dn,loaded,5.0,0.5,3492,141,0,6.0841,0.6278,-5.4562,nan,nan,1.2433,1.97,0.37,0.6
large_dn,loaded,5.0,0.5,3492,141,1,6.0816,0.6308,-5.4508,49.95,nan,1.2994,1.96,0.36,0.6
large_dn,loaded,5.0,0.5,3492,141,2,6.0843,0.6325,-5.4519,49.97,nan,1.3295,2.02,0.37,0.61
