host_timestamp_s,monotonic_s,primary,secondary,status
1777060836.824192,822328.828000,1.71615000e-06,4.53528000,0
1777060836.838189,822328.843000,1.71618000e-06,4.53735000,0
1777060836.853707,822328.859000,1.71635000e-06,4.54013000,0
1777060836.868715,822328.875000,1.71635000e-06,4.54013000,0
1777060836.869715,822328.875000,1.71676000e-06,4.54035000,0
1777060836.885492,822328.890000,1.71676000e-06,4.54035000,0
1777060836.886576,822328.890000,1.71717000e-06,4.53854000,0
1777060836.901198,822328.906000,1.71717000e-06,4.53854000,0
1777060836.904723,822328.906000,1.71714000e-06,4.53657000,0
1777060836.916957,822328.921000,1.71692000e-06,4.53442000,0
1777060836.931693,822328.937000,1.71655000e-06,4.53381000,0
1777060836.947710,822328.953000,1.71637000e-06,4.53430000,0
1777060836.962217,822328.968000,1.71605000e-06,4.53851000,0
1777060836.977217,822328.984000,1.71637000e-06,4.53957000,0
1777060836.993316,822329.000000,1.71673000e-06,4.54141000,0
1777060837.008198,822329.015000,1.71703000e-06,4.53912000,0
1777060837.023809,822329.031000,1.71721000e-06,4.53835000,0
1777060837.038072,822329.046000,1.71721000e-06,4.53835000,0
1777060837.040072,822329.046000,1.71715000e-06,4.53625000,0
1777060837.055102,822329.062000,1.71692000e-06,4.53403000,0
1777060837.070301,822329.078000,1.71692000e-06,4.53403000,0
1777060837.070551,822329.078000,1.71634000e-06,4.53529000,0
1777060837.085554,822329.093000,1.71634000e-06,4.53529000,0
1777060837.087476,822329.093000,1.71620000e-06,4.53756000,0
1777060837.101562,822329.109000,1.71622000e-06,4.53977000,0
1777060837.117269,822329.125000,1.71666000e-06,4.54159000,0
1777060837.132941,822329.140000,1.71696000e-06,4.54021000,0
1777060837.148123,822329.156000,1.71708000e-06,4.53891000,0
1777060837.162440,822329.171000,1.71704000e-06,4.53604000,0
1777060837.178447,822329.187000,1.71689000e-06,4.53408000,0
1777060837.193841,822329.203000,1.71630000e-06,4.53519000,0
1777060837.208805,822329.218000,1.71630000e-06,4.53519000,0
1777060837.209805,822329.218000,1.71595000e-06,4.53630000,0
1777060837.225070,822329.234000,1.71595000e-06,4.53630000,0
1777060837.226133,822329.234000,1.71598000e-06,4.54086000,0
1777060837.240814,822329.250000,1.71641000e-06,4.54031000,0
1777060837.256278,822329.265000,1.71641000e-06,4.54031000,0
1777060837.256524,822329.265000,1.71684000e-06,4.54101000,0
1777060837.271528,822329.281000,1.71684000e-06,4.54101000,0
1777060837.273528,822329.281000,1.71681000e-06,4.53969000,0
1777060837.288518,822329.296000,1.71681000e-06,4.53969000,0
1777060837.289602,822329.296000,1.71687000e-06,4.53657000,0
1777060837.304113,822329.312000,1.71670000e-06,4.53454000,0
1777060837.319850,822329.328000,1.71670000e-06,4.53454000,0
1777060837.321009,822329.328000,1.71629000e-06,4.53586000,0
1777060837.335596,822329.343000,1.71629000e-06,4.53586000,0
1777060837.336600,822329.343000,1.71613000e-06,4.53682000,0
1777060837.351706,822329.359000,1.71613000e-06,4.53682000,0
1777060837.352704,822329.359000,1.71603000e-06,4.53939000,0
1777060837.368069,822329.375000,1.71603000e-06,4.53939000,0
1777060837.369128,822329.375000,1.71627000e-06,4.54148000,0
1777060837.383363,822329.390000,1.71627000e-06,4.54148000,0
1777060837.385432,822329.390000,1.71667000e-06,4.53989000,0
1777060837.399513,822329.406000,1.71667000e-06,4.53989000,0
1777060837.400513,822329.406000,1.71690000e-06,4.53849000,0
1777060837.416022,822329.421000,1.71690000e-06,4.53849000,0
1777060837.417022,822329.421000,1.71678000e-06,4.53565000,0
1777060837.432547,822329.437000,1.71680000e-06,4.53558000,0
1777060837.447885,822329.453000,1.71616000e-06,4.53612000,0
1777060837.462963,822329.468000,1.71586000e-06,4.53600000,0
1777060837.478149,822329.484000,1.71586000e-06,4.53600000,0
1777060837.479272,822329.484000,1.71617000e-06,4.53904000,0
1777060837.494347,822329.500000,1.71617000e-06,4.53904000,0
1777060837.494459,822329.500000,1.71627000e-06,4.54114000,0
1777060837.509973,822329.515000,1.71627000e-06,4.54114000,0
1777060837.510973,822329.515000,1.71644000e-06,4.54123000,0
1777060837.525671,822329.531000,1.71644000e-06,4.54123000,0
1777060837.527245,822329.531000,1.71691000e-06,4.53948000,0
1777060837.542430,822329.546000,1.71694000e-06,4.53651000,0
1777060837.557493,822329.562000,1.71688000e-06,4.53517000,0
1777060837.572498,822329.578000,1.71688000e-06,4.53517000,0
1777060837.573500,822329.578000,1.71638000e-06,4.53391000,0
1777060837.588165,822329.593000,1.71638000e-06,4.53391000,0
1777060837.590106,822329.593000,1.71613000e-06,4.53537000,0
1777060837.604801,822329.609000,1.71603000e-06,4.53828000,0
1777060837.619802,822329.625000,1.71620000e-06,4.53914000,0
1777060837.634798,822329.640000,1.71645000e-06,4.54007000,0
1777060837.650804,822329.656000,1.71673000e-06,4.53896000,0
1777060837.665914,822329.671000,1.71714000e-06,4.53719000,0
1777060837.680502,822329.687000,1.71684000e-06,4.53469000,0
1777060837.695509,822329.703000,1.71662000e-06,4.53363000,0
1777060837.711024,822329.718000,1.71616000e-06,4.53569000,0
1777060837.726531,822329.734000,1.71609000e-06,4.53629000,0
1777060837.741144,822329.750000,1.71595000e-06,4.53850000,0
1777060837.756658,822329.765000,1.71640000e-06,4.54054000,0
1777060837.772373,822329.781000,1.71653000e-06,4.53954000,0
1777060837.787008,822329.796000,1.71699000e-06,4.53800000,0
1777060837.802523,822329.812000,1.71682000e-06,4.53470000,0
1777060837.817528,822329.828000,1.71699000e-06,4.53390000,0
1777060837.832531,822329.843000,1.71655000e-06,4.53399000,0
1777060837.848327,822329.859000,1.71598000e-06,4.53529000,0
1777060837.863195,822329.875000,1.71612000e-06,4.53750000,0
1777060837.878815,822329.890000,1.71612000e-06,4.53750000,0
1777060837.879819,822329.890000,1.71632000e-06,4.53928000,0
1777060837.895046,822329.906000,1.71632000e-06,4.53928000,0
1777060837.896088,822329.906000,1.71675000e-06,4.53935000,0
1777060837.911066,822329.921000,1.71675000e-06,4.53935000,0
1777060837.912107,822329.921000,1.71698000e-06,4.53679000,0
1777060837.927121,822329.937000,1.71705000e-06,4.53624000,0
1777060837.942231,822329.953000,1.71705000e-06,4.53624000,0
1777060837.943234,822329.953000,1.71699000e-06,4.53473000,0
1777060837.957746,822329.968000,1.71653000e-06,4.53280000,0
1777060837.973677,822329.984000,1.71628000e-06,4.53588000,0
1777060837.988831,822330.000000,1.71616000e-06,4.53724000,0
1777060838.004076,822330.015000,1.71631000e-06,4.53949000,0
1777060838.019150,822330.031000,1.71631000e-06,4.53949000,0
