host_timestamp_s,monotonic_s,rs_raw_ohm,ls_raw_H,rs_dut_ohm,ls_dut_H,q_dut,phase_deg,status,displacement_mm
1777061156.871928,822648.875000,4.39156000,1.71932000e-06,0.00027176,-5.85971660e-10,13.548013,-85.7786,0,nan
1777061156.885929,822648.890000,4.39592000,1.71955000e-06,0.00463176,-3.55971660e-10,0.482891,-25.7755,0,nan
1777061156.900928,822648.906000,4.39517000,1.72004000e-06,0.00388176,1.34028340e-10,0.216944,12.2403,0,nan
1777061156.916530,822648.921000,4.39211000,1.72032000e-06,0.00082176,4.14028340e-10,3.165676,72.4693,0,nan
1777061156.931728,822648.937000,4.39211000,1.72032000e-06,0.00082176,4.14028340e-10,3.165676,72.4693,0,nan
1777061156.932786,822648.937000,4.39076000,1.71998000e-06,-0.00052824,7.40283401e-11,0.880530,138.6351,0,nan
1777061156.947557,822648.953000,4.38876000,1.72011000e-06,-0.00252824,2.04028340e-10,0.507051,153.1127,0,nan
1777061156.963070,822648.968000,4.38914000,1.71952000e-06,-0.00214824,-3.85971660e-10,1.128891,-131.5353,0,nan
1777061156.977582,822648.984000,4.38988000,1.71926000e-06,-0.00140824,-6.45971660e-10,2.882145,-109.1349,0,nan
1777061156.993171,822649.000000,4.39206000,1.71905000e-06,0.00077176,-8.55971660e-10,6.968810,-81.8340,0,nan
1777061157.008239,822649.015000,4.39344000,1.71924000e-06,0.00215176,-6.65971660e-10,1.944654,-62.7864,0,nan
1777061157.023653,822649.031000,4.39344000,1.71924000e-06,0.00215176,-6.65971660e-10,1.944654,-62.7864,0,nan
1777061157.024696,822649.031000,4.39482000,1.71995000e-06,0.00353176,4.40283401e-11,0.078329,4.4788,0,nan
1777061157.039319,822649.046000,4.39417000,1.72018000e-06,0.00288176,2.74028340e-10,0.597473,30.8572,0,nan
1777061157.054383,822649.062000,4.39141000,1.72038000e-06,0.00012176,4.74028340e-10,24.461886,87.6591,0,nan
1777061157.069444,822649.078000,4.39106000,1.71995000e-06,-0.00022824,4.40283401e-11,1.212034,129.5247,0,nan
1777061157.084410,822649.093000,4.38753000,1.71961000e-06,-0.00375824,-2.95971660e-10,0.494818,-153.6730,0,nan
1777061157.099409,822649.109000,4.38874000,1.71918000e-06,-0.00254824,-7.25971660e-10,1.790023,-119.1900,0,nan
1777061157.115409,822649.125000,4.38874000,1.71918000e-06,-0.00254824,-7.25971660e-10,1.790023,-119.1900,0,nan
1777061157.116411,822649.125000,4.39089000,1.71933000e-06,-0.00039824,-5.75971660e-10,9.087259,-96.2798,0,nan
1777061157.131521,822649.140000,4.39089000,1.71933000e-06,-0.00039824,-5.75971660e-10,9.087259,-96.2798,0,nan
1777061157.132548,822649.140000,4.39209000,1.71946000e-06,0.00080176,-4.45971660e-10,3.494977,-74.0329,0,nan
1777061157.146600,822649.156000,4.39209000,1.71946000e-06,0.00080176,-4.45971660e-10,3.494977,-74.0329,0,nan
1777061157.148103,822649.156000,4.39291000,1.71988000e-06,0.00162176,-2.59716599e-11,0.100622,-5.7459,0,nan
1777061157.162722,822649.171000,4.39291000,1.71988000e-06,0.00162176,-2.59716599e-11,0.100622,-5.7459,0,nan
1777061157.163723,822649.171000,4.39180000,1.72029000e-06,0.00051176,3.84028340e-10,4.714974,78.0256,0,nan
1777061157.179284,822649.187000,4.39191000,1.72038000e-06,0.00062176,4.74028340e-10,4.790308,78.2086,0,nan
1777061157.194284,822649.203000,4.38976000,1.72037000e-06,-0.00152824,4.64028340e-10,1.907796,117.6620,0,nan
1777061157.209755,822649.218000,4.38709000,1.71986000e-06,-0.00419824,-4.59716599e-11,0.068802,-176.0641,0,nan
1777061157.224885,822649.234000,4.38709000,1.71986000e-06,-0.00419824,-4.59716599e-11,0.068802,-176.0641,0,nan
1777061157.224997,822649.234000,4.38756000,1.71931000e-06,-0.00372824,-5.95971660e-10,1.004387,-134.8746,0,nan
1777061157.240046,822649.250000,4.38756000,1.71931000e-06,-0.00372824,-5.95971660e-10,1.004387,-134.8746,0,nan
1777061157.241983,822649.250000,4.39160000,1.71918000e-06,0.00031176,-7.25971660e-10,14.631310,-86.0901,0,nan
1777061157.256110,822649.265000,4.39160000,1.71918000e-06,0.00031176,-7.25971660e-10,14.631310,-86.0901,0,nan
1777061157.257111,822649.265000,4.39298000,1.71920000e-06,0.00169176,-7.05971660e-10,2.621979,-69.1236,0,nan
1777061157.272197,822649.281000,4.39298000,1.71920000e-06,0.00169176,-7.05971660e-10,2.621979,-69.1236,0,nan
1777061157.273195,822649.281000,4.39402000,1.71961000e-06,0.00273176,-2.95971660e-10,0.680750,-34.2451,0,nan
1777061157.288966,822649.296000,4.39402000,1.71961000e-06,0.00273176,-2.95971660e-10,0.680750,-34.2451,0,nan
1777061157.289984,822649.296000,4.39351000,1.71984000e-06,0.00222176,-6.59716599e-11,0.186570,-10.5681,0,nan
1777061157.304072,822649.312000,4.39351000,1.71984000e-06,0.00222176,-6.59716599e-11,0.186570,-10.5681,0,nan
1777061157.305072,822649.312000,4.39115000,1.72006000e-06,-0.00013824,1.54028340e-10,7.000638,98.1294,0,nan
1777061157.320328,822649.328000,4.38951000,1.72041000e-06,-0.00177824,5.04028340e-10,1.780917,119.3146,0,nan
1777061157.336069,822649.343000,4.38669000,1.71973000e-06,-0.00459824,-1.75971660e-10,0.240453,-166.4797,0,nan
1777061157.350598,822649.359000,4.38669000,1.71973000e-06,-0.00459824,-1.75971660e-10,0.240453,-166.4797,0,nan
1777061157.351598,822649.359000,4.38675000,1.71972000e-06,-0.00453824,-1.85971660e-10,0.257477,-165.5613,0,nan
1777061157.366602,822649.375000,4.38915000,1.71927000e-06,-0.00213824,-6.35971660e-10,1.868790,-118.1515,0,nan
1777061157.382188,822649.390000,4.38979000,1.71939000e-06,-0.00149824,-5.15971660e-10,2.163832,-114.8037,0,nan
1777061157.397571,822649.406000,4.38979000,1.71939000e-06,-0.00149824,-5.15971660e-10,2.163832,-114.8037,0,nan
1777061157.398607,822649.406000,4.39389000,1.71985000e-06,0.00260176,-5.59716599e-11,0.135170,-7.6980,0,nan
1777061157.412686,822649.421000,4.39389000,1.71985000e-06,0.00260176,-5.59716599e-11,0.135170,-7.6980,0,nan
1777061157.414686,822649.421000,4.39453000,1.72009000e-06,0.00324176,1.84028340e-10,0.356684,19.6305,0,nan
1777061157.428982,822649.437000,4.39453000,1.72009000e-06,0.00324176,1.84028340e-10,0.356684,19.6305,0,nan
1777061157.429981,822649.437000,4.39184000,1.72022000e-06,0.00055176,3.14028340e-10,3.576027,74.3769,0,nan
1777061157.445273,822649.453000,4.38821000,1.72055000e-06,-0.00307824,6.44028340e-10,1.314565,127.2605,0,nan
1777061157.460784,822649.468000,4.38707000,1.71991000e-06,-0.00421824,4.02834008e-12,0.006000,179.6562,0,nan
1777061157.474980,822649.484000,4.38670000,1.72009000e-06,-0.00458824,1.84028340e-10,0.252010,165.8554,0,nan
1777061157.491024,822649.500000,4.38670000,1.72009000e-06,-0.00458824,1.84028340e-10,0.252010,165.8554,0,nan
1777061157.492084,822649.500000,4.38955000,1.71960000e-06,-0.00173824,-3.05971660e-10,1.105988,-132.1189,0,nan
1777061157.506545,822649.515000,4.38955000,1.71960000e-06,-0.00173824,-3.05971660e-10,1.105988,-132.1189,0,nan
1777061157.507550,822649.515000,4.39198000,1.71946000e-06,0.00069176,-4.45971660e-10,4.050732,-76.1327,0,nan
1777061157.522275,822649.531000,4.39198000,1.71946000e-06,0.00069176,-4.45971660e-10,4.050732,-76.1327,0,nan
1777061157.523275,822649.531000,4.39480000,1.71961000e-06,0.00351176,-2.95971660e-10,0.529548,-27.9034,0,nan
1777061157.538782,822649.546000,4.39480000,1.71961000e-06,0.00351176,-2.95971660e-10,0.529548,-27.9034,0,nan
1777061157.539787,822649.546000,4.39374000,1.71988000e-06,0.00245176,-2.59716599e-11,0.066558,-3.8079,0,nan
1777061157.554296,822649.562000,4.39397000,1.72036000e-06,0.00268176,4.54028340e-10,1.063759,46.7696,0,nan
1777061157.569300,822649.578000,4.38977000,1.72056000e-06,-0.00151824,6.54028340e-10,2.706669,110.2771,0,nan
1777061157.584349,822649.593000,4.38755000,1.72022000e-06,-0.00373824,3.14028340e-10,0.527814,152.1743,0,nan
1777061157.600198,822649.609000,4.38869000,1.71986000e-06,-0.00259824,-4.59716599e-11,0.111171,-173.6564,0,nan
1777061157.614990,822649.625000,4.38869000,1.71986000e-06,-0.00259824,-4.59716599e-11,0.111171,-173.6564,0,nan
1777061157.615992,822649.625000,4.38798000,1.71969000e-06,-0.00330824,-2.15971660e-10,0.410184,-157.6973,0,nan
1777061157.631323,822649.640000,4.39200000,1.71931000e-06,0.00071176,-5.95971660e-10,5.261065,-79.2379,0,nan
1777061157.646718,822649.656000,4.39200000,1.71931000e-06,0.00071176,-5.95971660e-10,5.261065,-79.2379,0,nan
1777061157.647728,822649.656000,4.39401000,1.71967000e-06,0.00272176,-2.35971660e-10,0.544741,-28.5790,0,nan
1777061157.662236,822649.671000,4.39401000,1.71967000e-06,0.00272176,-2.35971660e-10,0.544741,-28.5790,0,nan
1777061157.663236,822649.671000,4.39601000,1.71989000e-06,0.00472176,-1.59716599e-11,0.021253,-1.2175,0,nan
1777061157.678237,822649.687000,4.39200000,1.72048000e-06,0.00071176,5.74028340e-10,5.067356,78.8366,0,nan
1777061157.693238,822649.703000,4.39176000,1.72016000e-06,0.00047176,2.54028340e-10,3.383324,73.5340,0,nan
1777061157.708746,822649.718000,4.39095000,1.72044000e-06,-0.00033824,5.34028340e-10,9.920087,95.7563,0,nan
1777061157.724261,822649.734000,4.38704000,1.71992000e-06,-0.00424824,1.40283401e-11,0.020748,178.8114,0,nan
1777061157.739261,822649.750000,4.38704000,1.71992000e-06,-0.00424824,1.40283401e-11,0.020748,178.8114,0,nan
1777061157.739261,822649.750000,4.38920000,1.71981000e-06,-0.00208824,-9.59716599e-11,0.288763,-163.8932,0,nan
1777061157.755109,822649.765000,4.38920000,1.71981000e-06,-0.00208824,-9.59716599e-11,0.288763,-163.8932,0,nan
1777061157.756109,822649.765000,4.39099000,1.71935000e-06,-0.00029824,-5.55971660e-10,11.712845,-94.8799,0,nan
1777061157.771112,822649.781000,4.39099000,1.71935000e-06,-0.00029824,-5.55971660e-10,11.712845,-94.8799,0,nan
1777061157.772113,822649.781000,4.39284000,1.71934000e-06,0.00155176,-5.65971660e-10,2.291663,-66.4253,0,nan
1777061157.787196,822649.796000,4.39284000,1.71934000e-06,0.00155176,-5.65971660e-10,2.291663,-66.4253,0,nan
1777061157.788197,822649.796000,4.39344000,1.71979000e-06,0.00215176,-1.15971660e-10,0.338640,-18.7082,0,nan
1777061157.803196,822649.812000,4.39344000,1.71979000e-06,0.00215176,-1.15971660e-10,0.338640,-18.7082,0,nan
1777061157.804196,822649.812000,4.39349000,1.72035000e-06,0.00220176,4.44028340e-10,1.267130,51.7200,0,nan
1777061157.819706,822649.828000,4.39168000,1.72038000e-06,0.00039176,4.74028340e-10,7.602691,82.5068,0,nan
1777061157.834214,822649.843000,4.38986000,1.72030000e-06,-0.00142824,3.94028340e-10,1.733426,119.9803,0,nan
1777061157.849234,822649.859000,4.38986000,1.72030000e-06,-0.00142824,3.94028340e-10,1.733426,119.9803,0,nan
1777061157.850233,822649.859000,4.38768000,1.72005000e-06,-0.00360824,1.44028340e-10,0.250803,165.9205,0,nan
1777061157.865233,822649.875000,4.38798000,1.71968000e-06,-0.00330824,-2.25971660e-10,0.429177,-156.7721,0,nan
1777061157.881233,822649.890000,4.38798000,1.71968000e-06,-0.00330824,-2.25971660e-10,0.429177,-156.7721,0,nan
1777061157.882233,822649.890000,4.39154000,1.71951000e-06,0.00025176,-3.95971660e-10,9.882396,-84.2219,0,nan
1777061157.896574,822649.906000,4.39154000,1.71951000e-06,0.00025176,-3.95971660e-10,9.882396,-84.2219,0,nan
1777061157.897573,822649.906000,4.39307000,1.71958000e-06,0.00178176,-3.25971660e-10,1.149506,-48.9787,0,nan
1777061157.913434,822649.921000,4.39307000,1.71958000e-06,0.00178176,-3.25971660e-10,1.149506,-48.9787,0,nan
1777061157.914491,822649.921000,4.39416000,1.71963000e-06,0.00287176,-2.75971660e-10,0.603805,-31.1238,0,nan
1777061157.929085,822649.937000,4.39370000,1.71996000e-06,0.00241176,5.40283401e-11,0.140756,8.0121,0,nan
1777061157.943761,822649.953000,4.39221000,1.72048000e-06,0.00092176,5.74028340e-10,3.912882,75.6640,0,nan
1777061157.959277,822649.968000,4.39104000,1.72048000e-06,-0.00024824,5.74028340e-10,14.529021,93.9373,0,nan
1777061157.974790,822649.984000,4.39049000,1.72011000e-06,-0.00079824,2.04028340e-10,1.605962,121.9097,0,nan
1777061157.989361,822650.000000,4.39049000,1.72011000e-06,-0.00079824,2.04028340e-10,1.605962,121.9097,0,nan
1777061157.990359,822650.000000,4.38816000,1.71982000e-06,-0.00312824,-8.59716599e-11,0.172677,-170.2029,0,nan
1777061158.005363,822650.015000,4.38816000,1.71982000e-06,-0.00312824,-8.59716599e-11,0.172677,-170.2029,0,nan
1777061158.007137,822650.015000,4.39147000,1.71953000e-06,0.00018176,-3.75971660e-10,12.997015,-85.6003,0,nan
1777061158.022145,822650.031000,4.39335000,1.71950000e-06,0.00206176,-4.05971660e-10,1.237195,-51.0521,0,nan
1777061158.037008,822650.046000,4.39354000,1.71964000e-06,0.00225176,-2.65971660e-10,0.742153,-36.5811,0,nan
1777061158.052504,822650.062000,4.39354000,1.71964000e-06,0.00225176,-2.65971660e-10,0.742153,-36.5811,0,nan
1777061158.053531,822650.062000,4.39370000,1.71992000e-06,0.00241176,1.40283401e-11,0.036547,2.0931,0,nan
1777061158.068535,822650.078000,4.39340000,1.72023000e-06,0.00211176,3.24028340e-10,0.964093,43.9526,0,nan
1777061158.083643,822650.093000,4.39007000,1.72037000e-06,-0.00121824,4.64028340e-10,2.393263,112.6771,0,nan
1777061158.097968,822650.109000,4.39007000,1.72037000e-06,-0.00121824,4.64028340e-10,2.393263,112.6771,0,nan
1777061158.098968,822650.109000,4.38763000,1.72006000e-06,-0.00365824,1.54028340e-10,0.264550,165.1819,0,nan
1777061158.113968,822650.125000,4.38763000,1.72006000e-06,-0.00365824,1.54028340e-10,0.264550,165.1819,0,nan
1777061158.114968,822650.125000,4.38916000,1.71949000e-06,-0.00212824,-4.15971660e-10,1.228068,-129.1555,0,nan
1777061158.130739,822650.140000,4.38916000,1.71949000e-06,-0.00212824,-4.15971660e-10,1.228068,-129.1555,0,nan
1777061158.131844,822650.140000,4.39103000,1.71934000e-06,-0.00025824,-5.65971660e-10,13.770387,-94.1535,0,nan
1777061158.146789,822650.156000,4.39103000,1.71934000e-06,-0.00025824,-5.65971660e-10,13.770387,-94.1535,0,nan
1777061158.147830,822650.156000,4.39138000,1.71911000e-06,0.00009176,-7.95971660e-10,54.505191,-88.9489,0,nan
1777061158.162965,822650.171000,4.39138000,1.71911000e-06,0.00009176,-7.95971660e-10,54.505191,-88.9489,0,nan
1777061158.163206,822650.171000,4.39426000,1.71927000e-06,0.00297176,-6.35971660e-10,1.344635,-53.3620,0,nan
1777061158.178252,822650.187000,4.39426000,1.71927000e-06,0.00297176,-6.35971660e-10,1.344635,-53.3620,0,nan
1777061158.179252,822650.187000,4.39593000,1.71986000e-06,0.00464176,-4.59716599e-11,0.062228,-3.5608,0,nan
1777061158.194843,822650.203000,4.39432000,1.71997000e-06,0.00303176,6.40283401e-11,0.132696,7.5588,0,nan
1777061158.209845,822650.218000,4.39004000,1.72000000e-06,-0.00124824,9.40283401e-11,0.473303,154.6717,0,nan
