sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us
-1,baseline_pre,0.000000,-0.000020,0.56100600,0.00000000,500,321799000,323296000
0,fwd,-5.000000,-4.006176,1.14701500,0.00000000,100,325768000,326065000
1,fwd,-4.800000,-4.800025,1.14701500,0.00000000,100,328531000,328828000
2,fwd,-4.600000,-4.600000,0.95338135,0.00259137,100,331309000,331606000
3,fwd,-4.400000,-4.399975,0.95167900,0.00000000,100,334081000,334378000
4,fwd,-4.200000,-4.200049,0.95167900,0.00000000,100,6859000,337156000
5,fwd,-4.000000,-4.000024,0.95167900,0.00000000,100,339637000,339934000
6,fwd,-3.800000,-3.799999,0.95167900,0.00000000,100,15000,342712000
7,fwd,-3.600000,-3.599974,0.95167900,0.00000000,100,345190000,345487000
8,fwd,-3.400000,-3.400048,0.95167900,0.00000000,100,347971000,348268000
9,fwd,-3.200000,-3.200023,0.95167900,0.00000000,100,350746000,351043000
10,fwd,-3.000000,-2.999998,0.95167900,0.00000000,100,2000,353899000
11,fwd,-2.800000,-2.799973,0.95114105,0.00125445,100,80000,356677000
12,fwd,-2.600000,-2.600048,0.75634200,0.00000000,100,359155000,359452000
13,fwd,-2.400000,-2.400023,0.75634200,0.00000000,100,361918000,362215000
14,fwd,-2.200000,-2.199998,0.75634200,0.00000000,100,364681000,364978000
15,fwd,-2.000000,-1.999973,0.75634200,0.00000000,100,367444000,367741000
16,fwd,-1.800000,-1.800047,0.75634200,0.00000000,100,204000,370501000
17,fwd,-1.600000,-1.600022,0.75634200,0.00000000,100,372985000,373282000
18,fwd,-1.400000,-1.399997,0.75634200,0.00000000,100,375763000,376060000
19,fwd,-1.200000,-1.199972,0.75634200,0.00000000,100,378535000,378832000
20,fwd,-1.000000,-1.000046,0.75634200,0.00000000,100,313000,381610000
21,fwd,-0.800000,-0.800021,0.75634200,0.00000000,100,384091000,384388000
22,fwd,-0.600000,-0.599996,0.75614610,0.00073537,100,386869000,387166000
23,fwd,-0.400000,-0.399971,0.56100600,0.00000000,100,389644000,389941000
24,fwd,-0.200000,-0.200045,0.56100600,0.00000000,100,392422000,392719000
25,fwd,0.000000,-0.000020,0.56100600,0.00000000,100,395200000,395497000
26,fwd,0.200000,0.200005,0.56100600,0.00000000,100,397978000,398275000
27,fwd,0.400000,0.400030,0.41084356,0.01621671,100,400759000,401056000
28,fwd,0.600000,0.599955,0.36567000,0.00000000,100,3531000,403828000
29,fwd,0.800000,0.799980,0.36567000,0.00000000,100,406291000,406588000
30,fwd,1.000000,1.000005,0.36566958,0.00000776,100,409057000,409354000
31,fwd,1.200000,1.200030,0.36566998,0.00000014,100,411835000,412132000
32,fwd,1.400000,1.399956,0.36567000,0.00000000,100,414715000,415012000
33,fwd,1.600000,1.599981,0.36567000,0.00000000,100,417496000,417793000
34,fwd,1.800000,1.800006,0.36567000,0.00000000,100,420274000,420571000
35,fwd,2.000000,2.000031,0.36567000,0.00000000,100,423052000,423349000
36,fwd,2.200000,2.199957,0.17033300,0.00000000,100,425827000,426124000
37,fwd,2.400000,2.399982,0.17033300,0.00000000,100,428605000,428902000
38,fwd,2.600000,2.600007,0.17033300,0.00000000,100,431380000,431677000
39,fwd,2.800000,2.800032,0.17033300,0.00000000,100,434296000,434593000
40,fwd,3.000000,2.999958,0.17033300,0.00000000,100,437059000,437356000
41,fwd,3.200000,3.199983,0.17033300,0.00000000,100,819000,440116000
42,fwd,3.400000,3.400008,0.17033300,0.00000000,100,42582000,442879000
43,fwd,3.600000,3.600033,0.17033300,0.00000000,100,445360000,445657000
44,fwd,3.800000,3.799959,0.17033300,0.00000000,100,448135000,448432000
45,fwd,4.000000,3.999984,0.17033300,0.00000000,100,450916000,451213000
46,fwd,4.200000,4.200009,0.17033300,0.00000000,100,688000,453985000
47,fwd,4.400000,4.400034,0.17033300,0.00000000,100,456469000,456766000
48,fwd,4.600000,4.599959,-0.02500300,0.00000000,100,459247000,459544000
49,fwd,4.800000,4.799984,-0.02500293,0.00000857,100,462028000,462325000
50,fwd,5.000000,5.000009,-0.02500300,0.00000000,100,464803000,465100000
-2,baseline_post,0.000000,-0.000020,0.56100600,0.00000000,500,468193000,469690000
