pass_index,sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us,mean_V_adc1,std_V_adc1,n_samples_adc1
-1,-1,baseline_pre,0.000000,-0.000040,2.50235209,0.00019855,500,47299000,49794000,2.49240920,0.00052313,500
0,0,fwd,-5.000000,-4.999970,4.98999593,0.00019190,500,53264000,55759000,4.96508193,0.00056513,500
0,1,fwd,-4.800000,-4.800045,4.89422071,0.00022786,500,59234000,61729000,4.86986617,0.00054705,500
0,2,fwd,-4.600000,-4.600020,4.79476104,0.00026487,500,65194000,67689000,4.77099851,0.00050162,500
0,3,fwd,-4.400000,-4.399995,4.69639206,0.00017271,500,71149000,73644000,4.67326477,0.00051019,500
0,4,fwd,-4.200000,-4.199970,4.59611173,0.00018623,500,77124000,79619000,4.57357717,0.00046256,500
0,5,fwd,-4.000000,-4.000044,4.49670687,0.00016172,500,83074000,85569000,4.47480121,0.00046743,500
0,6,fwd,-3.800000,-3.800019,4.39939039,0.00011394,500,89029000,91524000,4.37804348,0.00039366,500
0,7,fwd,-3.600000,-3.599994,4.29927600,0.00020475,500,94999000,97494000,4.27856483,0.00040623,500
0,8,fwd,-3.400000,-3.399969,4.20117051,0.00021352,500,100974000,103469000,4.18100530,0.00038646,500
0,9,fwd,-3.200000,-3.200043,4.09935279,0.00012716,500,106929000,109424000,4.07980480,0.00039810,500
0,10,fwd,-3.000000,-3.000018,4.00070543,0.00012856,500,112884000,115379000,3.98179133,0.00047794,500
0,11,fwd,-2.800000,-2.799993,3.89924386,0.00012241,500,118854000,121349000,3.88096024,0.00054080,500
0,12,fwd,-2.600000,-2.599968,3.80077812,0.00016773,500,124824000,127319000,3.78313048,0.00049390,500
0,13,fwd,-2.400000,-2.400042,3.70005731,0.00022966,500,130779000,133274000,3.68328819,0.00041625,500
0,14,fwd,-2.200000,-2.200017,3.59930914,0.00013205,500,136734000,139229000,3.58309898,0.00040901,500
0,15,fwd,-2.000000,-1.999992,3.49962722,0.00017292,500,142709000,145204000,3.48401328,0.00050416,500
0,16,fwd,-1.800000,-1.799967,3.40108082,0.00017441,500,148664000,151159000,3.38570285,0.00046976,500
0,17,fwd,-1.600000,-1.600041,3.30084051,0.00014671,500,154619000,157114000,3.28607629,0.00036336,500
0,18,fwd,-1.400000,-1.400016,3.20103513,0.00018293,500,160594000,163089000,3.18682812,0.00043036,500
0,19,fwd,-1.200000,-1.199991,3.10102506,0.00021380,500,166564000,169059000,3.08741650,0.00047619,500
0,20,fwd,-1.000000,-0.999966,3.00321013,0.00016485,500,172519000,175014000,2.99025710,0.00043577,500
0,21,fwd,-0.800000,-0.800041,2.90467390,0.00012449,500,178479000,180974000,2.89229756,0.00036632,500
0,22,fwd,-0.600000,-0.600016,2.80415466,0.00013108,500,184449000,186944000,2.79239927,0.00046120,500
0,23,fwd,-0.400000,-0.399991,2.70332921,0.00017688,500,190419000,192914000,2.69214212,0.00048204,500
0,24,fwd,-0.200000,-0.199966,2.60271369,0.00013252,500,196374000,198869000,2.59218942,0.00045073,500
0,25,fwd,0.000000,-0.000040,2.50263672,0.00015411,500,202349000,204844000,2.49267996,0.00038305,500
0,26,fwd,0.200000,0.199985,2.40419352,0.00027277,500,208324000,210819000,2.39474616,0.00047397,500
0,27,fwd,0.400000,0.400010,2.30611784,0.00013008,500,214274000,216769000,2.29737334,0.00052692,500
0,28,fwd,0.600000,0.600035,2.20793399,0.00025439,500,220229000,222724000,2.19975212,0.00048190,500
0,29,fwd,0.800000,0.799961,2.10958800,0.00020476,500,226204000,228699000,2.10196635,0.00038216,500
0,30,fwd,1.000000,0.999986,2.01122949,0.00018949,500,232174000,234669000,2.00412266,0.00038478,500
0,31,fwd,1.200000,1.200011,1.91051882,0.00018689,500,238134000,240629000,1.90402750,0.00043737,500
0,32,fwd,1.400000,1.400036,1.80954738,0.00012212,500,244104000,246599000,1.80373452,0.00043207,500
0,33,fwd,1.600000,1.599962,1.71014161,0.00015006,500,250179000,252674000,1.70479025,0.00030993,500
0,34,fwd,1.800000,1.799987,1.60962002,0.00012394,500,256154000,258649000,1.60496084,0.00045176,500
0,35,fwd,2.000000,2.000012,1.51113292,0.00018991,500,262109000,264604000,1.50694016,0.00037458,500
0,36,fwd,2.200000,2.200037,1.41143434,0.00015749,500,268064000,270559000,1.40786050,0.00028703,500
0,37,fwd,2.400000,2.399962,1.31089371,0.00030737,500,274039000,276534000,1.30796372,0.00038438,500
0,38,fwd,2.600000,2.599987,1.21153912,0.00016748,500,280009000,282504000,1.20912295,0.00032017,500
0,39,fwd,2.800000,2.800012,1.11199361,0.00017729,500,285964000,288459000,1.11021413,0.00034240,500
0,40,fwd,3.000000,3.000037,1.01189572,0.00018935,500,291939000,294434000,1.01069952,0.00030845,500
0,41,fwd,3.200000,3.199963,0.91045066,0.00020051,500,297904000,300399000,0.90978409,0.00030944,500
0,42,fwd,3.400000,3.399988,0.80983506,0.00014560,500,303879000,306374000,0.80961019,0.00031663,500
0,43,fwd,3.600000,3.600013,0.71237118,0.00014146,500,309834000,312329000,0.71244748,0.00021534,500
0,44,fwd,3.800000,3.800038,0.61093627,0.00016246,500,4000,318299000,0.61125613,0.00014001,500
0,45,fwd,4.000000,3.999964,0.51285542,0.00014867,500,321779000,324274000,0.51330816,0.00011738,500
0,46,fwd,4.200000,4.199989,0.41517272,0.00031669,500,327749000,330244000,0.41568234,0.00030272,500
0,47,fwd,4.400000,4.400014,0.31843652,0.00016927,500,333704000,336199000,0.31894094,0.00011710,500
0,48,fwd,4.600000,4.600039,0.21740492,0.00020291,502,339679000,342184000,0.21788378,0.00016571,500
0,49,fwd,4.800000,4.799965,0.11650783,0.00027997,500,345664000,348169000,0.11696885,0.00025881,500
0,50,fwd,5.000000,4.999990,0.01470387,0.00017965,501,51644000,354144000,0.01511677,0.00010130,500
0,51,fwd,5.000000,4.999990,0.01475685,0.00022575,500,357609000,360104000,0.01516337,0.00015831,500
0,52,rev,4.800000,4.799965,0.11325660,0.00018891,515,363579000,366149000,0.11370371,0.00016065,500
0,53,rev,4.600000,4.600039,0.21508709,0.00022956,500,369624000,372744000,0.21510641,0.00023487,598
0,54,rev,4.400000,4.400014,0.31602048,0.00020215,1301,944264000,382789000,0.31651978,0.00016519,500
0,55,rev,4.200000,4.199989,0.41337725,0.00039262,500,386264000,388759000,0.41389028,0.00037238,500
0,56,rev,4.000000,3.999964,0.51066077,0.00019849,500,392234000,394729000,0.51111057,0.00017367,500
0,57,rev,3.800000,3.800038,0.60935926,0.00013496,500,398319000,400814000,0.60970876,0.00013921,500
0,58,rev,3.600000,3.600013,0.71000700,0.00021383,500,404289000,406784000,0.71009117,0.00025629,500
0,59,rev,3.400000,3.399988,0.80786472,0.00018043,500,410239000,412734000,0.80769344,0.00036184,500
0,60,rev,3.200000,3.199963,0.90836939,0.00030888,500,416199000,418694000,0.90775976,0.00039602,500
0,61,rev,3.000000,3.000037,1.00936850,0.00016234,500,422174000,424669000,1.00822594,0.00038106,500
0,62,rev,2.800000,2.800012,1.10947159,0.00016196,500,428144000,430639000,1.10779020,0.00041072,500
0,63,rev,2.600000,2.599987,1.20966262,0.00024737,500,434099000,436594000,1.20740375,0.00040741,500
0,64,rev,2.400000,2.399962,1.30914514,0.00023881,500,440069000,442564000,1.30630662,0.00045853,500
0,65,rev,2.200000,2.200037,1.40938916,0.00026355,500,46039000,448534000,1.40595948,0.00049713,500
0,66,rev,2.000000,2.000012,1.50865274,0.00017075,500,451999000,454494000,1.50462947,0.00039042,500
0,67,rev,1.800000,1.799987,1.60842689,0.00014693,500,457954000,460449000,1.60378508,0.00048231,500
0,68,rev,1.600000,1.599962,1.70807988,0.00014843,500,463929000,466424000,1.70283127,0.00041901,500
0,69,rev,1.400000,1.400036,1.80818881,0.00012643,500,69899000,472394000,1.80236622,0.00043648,500
0,70,rev,1.200000,1.200011,1.90828774,0.00017601,500,475859000,478354000,1.90188242,0.00050471,500
0,71,rev,1.000000,0.999986,2.00935042,0.00029214,500,824000,484319000,2.00242406,0.00049221,500
0,72,rev,0.800000,0.799961,2.10814712,0.00014343,500,487789000,490284000,2.10050875,0.00044721,500
0,73,rev,0.600000,0.600035,2.20615765,0.00014906,500,493759000,496254000,2.19800365,0.00050557,500
0,74,rev,0.400000,0.400010,2.30369394,0.00022901,500,499714000,502209000,2.29493762,0.00042427,500
0,75,rev,0.200000,0.199985,2.40213054,0.00024052,500,505674000,508169000,2.39272706,0.00049603,500
0,76,rev,0.000000,-0.000040,2.50069214,0.00015287,500,511644000,514139000,2.49077706,0.00043511,500
0,77,rev,-0.200000,-0.199966,2.60067004,0.00016712,500,517599000,520094000,2.59012287,0.00047563,500
0,78,rev,-0.400000,-0.399991,2.70104682,0.00031287,500,523554000,526049000,2.68987165,0.00053633,500
0,79,rev,-0.600000,-0.600016,2.80184350,0.00018938,500,529529000,532024000,2.79009097,0.00038926,500
0,80,rev,-0.800000,-0.800041,2.90220837,0.00014521,500,535504000,537999000,2.88984643,0.00051352,500
0,81,rev,-1.000000,-0.999966,3.00114940,0.00011957,500,541459000,543954000,2.98815447,0.00034780,500
0,82,rev,-1.200000,-1.199991,3.09957586,0.00034742,500,7414000,549909000,3.08598620,0.00057059,500
0,83,rev,-1.400000,-1.400016,3.19894429,0.00018948,500,553389000,555884000,3.18478303,0.00044582,500
0,84,rev,-1.600000,-1.600041,3.29901703,0.00020446,500,559359000,561854000,3.28423797,0.00045578,500
0,85,rev,-1.800000,-1.799967,3.39920751,0.00013523,500,565319000,567814000,3.38383358,0.00047423,500
0,86,rev,-2.000000,-1.999992,3.49793892,0.00020841,500,571294000,573789000,3.48227301,0.00036207,500
0,87,rev,-2.200000,-2.200017,3.59737423,0.00011872,500,577259000,579754000,3.58114443,0.00044716,500
0,88,rev,-2.400000,-2.400042,3.69812627,0.00023475,500,583219000,585714000,3.68139100,0.00045506,500
0,89,rev,-2.600000,-2.599968,3.79868348,0.00017454,500,589174000,591669000,3.78095541,0.00044057,500
0,90,rev,-2.800000,-2.799993,3.89674129,0.00012458,500,595149000,597644000,3.87850866,0.00052348,500
0,91,rev,-3.000000,-3.000018,3.99808175,0.00018263,500,9000,603614000,3.97917981,0.00039240,500
0,92,rev,-3.200000,-3.200043,4.09753292,0.00019039,500,607079000,609574000,4.07797208,0.00043933,500
0,93,rev,-3.400000,-3.399969,4.19881866,0.00016805,500,613034000,615529000,4.17870062,0.00047099,500
0,94,rev,-3.600000,-3.599994,4.29752008,0.00022934,500,4000,621499000,4.27674806,0.00038123,500
0,95,rev,-3.800000,-3.800019,4.39732889,0.00019068,500,624984000,627479000,4.37597827,0.00047873,500
0,96,rev,-4.000000,-4.000044,4.49392321,0.00013875,500,630954000,633449000,4.47201428,0.00039329,500
0,97,rev,-4.200000,-4.199970,4.59255396,0.00017111,500,636924000,639419000,4.56999763,0.00042401,500
0,98,rev,-4.400000,-4.399995,4.69300236,0.00025695,500,94000,645389000,4.66990079,0.00053349,500
0,99,rev,-4.600000,-4.600020,4.79135455,0.00016695,500,648849000,651344000,4.76758399,0.00034258,500
0,100,rev,-4.800000,-4.800045,4.89119780,0.00017760,500,654809000,657304000,4.86686634,0.00050862,500
