pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56208000,0.92015900,395205485,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56210000,0.92036300,395293055,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56212000,0.92105600,395590496,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56214000,0.92105600,395590496,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56216000,0.92148500,395774956,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56218000,0.92081200,395485967,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56220000,0.92029100,395261793,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56222000,0.92035200,395288045,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56224000,0.92029700,395264373,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56226000,0.92029700,395264373,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56228000,0.92085700,395505134,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56230000,0.92129700,395693986,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56232000,0.92122400,395662759,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56234000,0.92122400,395662759,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56236000,0.92089900,395523110,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56238000,0.92024500,395242260,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56240000,0.92031700,395273349,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56242000,0.92065300,395417493,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56244000,0.92080600,395483201,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56246000,0.92080600,395483201,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56248000,0.92109500,395607236,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56250000,0.92150000,395781089,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56252000,0.92118000,395643947,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56254000,0.92072800,395449666,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56256000,0.92072800,395449666,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56258000,0.92036400,395293385,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56260000,0.92052600,395363037,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56262000,0.92107600,395599128,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56264000,0.92137100,395725637,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56266000,0.92137100,395725637,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56268000,0.92110000,395609679,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56270000,0.92066700,395423524,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56272000,0.92024700,395243187,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56274000,0.92012400,395190423,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56276000,0.92062400,395405074,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56278000,0.92062400,395405074,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56280000,0.92086400,395508227,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56282000,0.92090200,395524375,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56284000,0.92098500,395559978,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56286000,0.92098500,395559978,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56288000,0.92063800,395410900,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56290000,0.92018700,395217076,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56292000,0.92030500,395267841,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56294000,0.92083000,395493352,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56296000,0.92105000,395587941,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56298000,0.92105000,395587941,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56300000,0.92121300,395658096,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56302000,0.92043500,395323850,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56304000,0.92034900,395287023,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56306000,0.92046100,395334834,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56308000,0.92046100,395334834,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56310000,0.92067800,395427985,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56312000,0.92089800,395522620,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56314000,0.92111400,395615455,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56316000,0.92113700,395625462,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56318000,0.92113700,395625462,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56320000,0.92074900,395458544,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56322000,0.92044400,395327641,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56324000,0.92034300,395284462,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56326000,0.92075700,395461948,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56328000,0.92130200,395696026,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56330000,0.92130200,395696026,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56332000,0.92141400,395744212,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56334000,0.92117800,395643006,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56336000,0.92067300,395426229,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56338000,0.92031600,395272536,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56340000,0.92031600,395272536,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56342000,0.92012900,395192341,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56344000,0.92037800,395299362,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56346000,0.92112700,395621140,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56348000,0.92112700,395621140,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56350000,0.92143400,395752898,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56352000,0.92078700,395475016,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56354000,0.92003000,395149978,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56356000,0.92000800,395140642,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56358000,0.92035900,395291250,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56360000,0.92035900,395291250,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56362000,0.92092500,395534499,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56364000,0.92140400,395739807,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56366000,0.92139900,395737971,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56368000,0.92062300,395404628,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56370000,0.92062300,395404628,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56372000,0.92017700,395212828,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56374000,0.92034500,395285336,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56376000,0.92078700,395474864,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56378000,0.92094800,395544352,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56380000,0.92094800,395544352,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56382000,0.92087700,395513480,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56384000,0.92076500,395465612,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56386000,0.92040100,395309412,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56388000,0.92038800,395303846,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56390000,0.92053900,395368542,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56392000,0.92053900,395368542,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56394000,0.92092000,395532253,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56396000,0.92114700,395629824,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56398000,0.92135500,395719074,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56400000,0.92104100,395584305,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56402000,0.92104100,395584305,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56404000,0.92048100,395343471,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56406000,0.92038500,395302471,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56408000,0.92048500,395345291,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56410000,0.92089100,395519766,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56412000,0.92089100,395519766,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56414000,0.92126300,395679643,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56416000,0.92132300,395705228,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56418000,0.92060500,395396909,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56420000,0.92046500,395336765,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56422000,0.92037500,395297993,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56424000,0.92037500,395297993,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56426000,0.92073700,395453490,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56428000,0.92118100,395644204,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56430000,0.92114300,395627997,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56432000,0.92114300,395627997,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56434000,0.92140100,395738864,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56436000,0.92068400,395430683,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56438000,0.92037100,395296446,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56440000,0.92010000,395179909,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56442000,0.92010000,395179909,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56444000,0.92082000,395489326,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56446000,0.92136100,395721651,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56448000,0.92154000,395798227,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56450000,0.92076800,395467015,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56452000,0.92034400,395284758,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56454000,0.92034400,395284758,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56456000,0.92039700,395307677,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56458000,0.92069000,395433511,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56460000,0.92104100,395584014,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56462000,0.92134000,395712717,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56464000,0.92134000,395712717,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56466000,0.92148800,395775965,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56468000,0.92084400,395499393,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56470000,0.92037100,395296454,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56472000,0.91993000,395106860,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56474000,0.91993000,395106860,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56476000,0.92047900,395342871,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56478000,0.92111600,395616350,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56480000,0.92145300,395761262,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56482000,0.92141200,395743661,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56484000,0.92141200,395743661,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56486000,0.92056500,395379469,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56488000,0.92032500,395276552,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56490000,0.92028600,395259679,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56492000,0.92084200,395498573,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56494000,0.92098100,395558240,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56496000,0.92098100,395558240,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56498000,0.92107600,395599128,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56500000,0.92102100,395575383,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56502000,0.92036600,395293979,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56504000,0.92042500,395319517,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56506000,0.92042500,395319517,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56508000,0.92054600,395371287,1
