pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us,mean_V_adc2,std_V_adc2,n_samples_adc2
-1,-1,baseline_pre,0.000000,9.999960,0.0000,0.00094269,0.00000111,500,20862000,21860000,-0.02034139,0.00033734,500
0,0,fwd,0.000000,9.999960,0.0000,0.00094271,0.00000106,500,25346000,26344000,-0.02012261,0.00033911,501
0,1,fwd,0.500000,10.500023,15.4300,0.10261438,0.00028856,500,29840000,30838000,0.10688856,0.00031655,500
0,2,fwd,1.000000,10.999986,30.8600,0.25959378,0.00029310,501,34324000,35324000,0.26486609,0.00031453,500
0,3,fwd,1.500000,11.500048,46.2900,0.41747248,0.00031797,500,38820000,39818000,0.42370825,0.00033959,500
0,4,fwd,2.000000,12.000012,61.7200,0.57196399,0.00029568,500,43300000,44298000,0.57913536,0.00032290,500
0,5,fwd,2.500000,12.499975,77.1500,0.73487386,0.00030173,500,47782000,48780000,0.74299990,0.00033600,500
0,6,fwd,3.000000,13.000037,92.5800,0.89111770,0.00028400,500,52264000,53262000,0.90018936,0.00032503,500
0,7,fwd,3.500000,13.500001,108.0100,1.04352177,0.00028977,500,56756000,57754000,1.05351291,0.00032974,500
0,8,fwd,4.000000,13.999964,123.4400,1.19969298,0.00040107,500,61236000,62234000,1.21062026,0.00042590,500
0,9,fwd,4.500000,14.500027,138.8700,1.35937378,0.00029599,500,65730000,66728000,1.37126619,0.00033843,500
0,10,fwd,5.000000,14.999990,154.3000,1.51936464,0.00029378,500,70208000,71206000,1.53223650,0.00032421,500
0,11,fwd,5.500000,15.499953,169.7300,1.66952752,0.00031682,500,74700000,75698000,1.68331357,0.00034036,500
0,12,fwd,6.000000,16.000016,185.1600,1.83447293,0.00031507,500,79176000,80174000,1.84924073,0.00034699,500
0,13,fwd,6.500000,16.499979,200.5900,1.99372432,0.00030772,500,83654000,84654000,2.00946074,0.00032665,501
0,14,fwd,7.000000,17.000041,216.0200,2.15631187,0.00029259,500,88132000,89132000,2.17301346,0.00033023,500
0,15,fwd,7.500000,17.500005,231.4500,2.31584993,0.00028163,500,92622000,93622000,2.33351427,0.00031195,500
0,16,fwd,8.000000,17.999968,246.8800,2.47307677,0.00027063,500,97098000,98098000,2.49170119,0.00030789,500
0,17,fwd,8.500000,18.500030,262.3100,2.63134520,0.00026967,500,101590000,102590000,2.65092301,0.00030565,500
0,18,fwd,9.000000,18.999994,277.7400,2.78594991,0.00031674,500,106066000,107066000,2.80645569,0.00033787,500
0,19,fwd,9.500000,19.499957,293.1700,2.94425759,0.00028862,500,110558000,111558000,2.96571455,0.00032686,500
0,20,fwd,10.000000,20.000020,308.6000,3.10367471,0.00028104,500,115030000,116030000,3.12610157,0.00030719,500
0,21,fwd,10.500000,20.499983,324.0300,3.26108901,0.00029485,500,119522000,120522000,3.28448002,0.00031742,502
0,22,fwd,11.000000,21.000045,339.4600,3.41984552,0.00050802,500,123998000,124998000,3.44419692,0.00053635,500
0,23,fwd,11.500000,21.500009,354.8900,3.57996809,0.00030400,500,128612000,129612000,3.60523373,0.00032404,500
0,24,fwd,12.000000,21.999972,370.3200,3.73796679,0.00028625,500,133086000,134086000,3.76418651,0.00030762,502
0,25,fwd,12.500000,22.500034,385.7500,3.89442451,0.00026938,500,137574000,138574000,3.92159034,0.00029897,500
0,26,fwd,13.000000,22.999998,401.1800,4.05250992,0.00028011,500,142050000,143050000,4.08063007,0.00031113,501
0,27,fwd,13.500000,23.499961,416.6100,4.21000263,0.00026822,500,146536000,147536000,4.23908966,0.00029569,500
0,28,fwd,14.000000,24.000023,432.0400,4.36827063,0.00027593,500,151010000,152010000,4.39832488,0.00030940,501
0,29,fwd,14.500000,24.499987,447.4700,4.52710217,0.00027412,500,155480000,156480000,4.55812441,0.00030971,501
0,30,fwd,14.500000,24.499987,447.4700,4.52680692,0.00027597,500,159956000,160956000,4.55784780,0.00029638,500
0,31,rev,14.000000,24.000023,432.0400,4.38216305,0.00029048,501,164430000,165430000,4.41230382,0.00031745,500
0,32,rev,13.500000,23.499961,416.6100,4.22527945,0.00026899,500,168904000,169904000,4.25446223,0.00030232,500
0,33,rev,13.000000,22.999998,401.1800,4.06633107,0.00029733,500,173392000,174392000,4.09454262,0.00031785,501
0,34,rev,12.500000,22.500034,385.7500,3.90642125,0.00028376,500,177864000,178864000,3.93366147,0.00030799,500
0,35,rev,12.000000,21.999972,370.3200,3.75116470,0.00027580,500,182338000,183338000,3.77747098,0.00030823,502
0,36,rev,11.500000,21.500009,354.8900,3.59028602,0.00028890,500,186810000,187810000,3.61560955,0.00031984,500
0,37,rev,11.000000,21.000045,339.4600,3.43478566,0.00034029,500,191294000,192294000,3.45921771,0.00037111,500
0,38,rev,10.500000,20.499983,324.0300,3.27866570,0.00033723,500,195772000,196770000,3.30216244,0.00035952,500
0,39,rev,10.000000,20.000020,308.6000,3.12067650,0.00028251,500,200384000,201384000,3.14320092,0.00030704,501
0,40,rev,9.500000,19.499957,293.1700,2.96062312,0.00027139,500,204854000,205854000,2.98218571,0.00030533,501
0,41,rev,9.000000,18.999994,277.7400,2.80477590,0.00028470,500,209324000,210324000,2.82541320,0.00029630,501
0,42,rev,8.500000,18.500030,262.3100,2.64965866,0.00028192,500,213798000,214798000,2.66934089,0.00030945,501
0,43,rev,8.000000,17.999968,246.8800,2.48950466,0.00027239,500,218268000,219268000,2.50822971,0.00030851,500
0,44,rev,7.500000,17.500005,231.4500,2.33135163,0.00029222,500,222744000,223744000,2.34912098,0.00031845,501
0,45,rev,7.000000,17.000041,216.0200,2.17996108,0.00029464,500,227216000,228216000,2.19680535,0.00031732,501
0,46,rev,6.500000,16.499979,200.5900,2.02760839,0.00027807,500,231688000,232688000,2.04354339,0.00030086,501
0,47,rev,6.000000,16.000016,185.1600,1.87348081,0.00039217,500,236172000,237172000,1.88850053,0.00043749,500
0,48,rev,5.500000,15.499953,169.7300,1.71022931,0.00047935,500,240644000,241644000,1.72427162,0.00049293,501
0,49,rev,5.000000,14.999990,154.3000,1.55628978,0.00048122,500,245118000,246118000,1.56939044,0.00048912,501
0,50,rev,4.500000,14.500027,138.8700,1.40298121,0.00030472,500,249588000,250588000,1.41514185,0.00033327,500
0,51,rev,4.000000,13.999964,123.4400,1.24698205,0.00029156,500,254058000,255058000,1.25819960,0.00033050,500
0,52,rev,3.500000,13.500001,108.0100,1.09727925,0.00027468,500,258532000,259532000,1.10760328,0.00031872,500
0,53,rev,3.000000,13.000037,92.5800,0.93534213,0.00028375,500,263002000,264002000,0.94469349,0.00033136,501
0,54,rev,2.500000,12.499975,77.1500,0.77304615,0.00028748,500,267472000,268472000,0.78141624,0.00031402,500
0,55,rev,2.000000,12.000012,61.7200,0.61423324,0.00028118,500,271944000,272944000,0.62166055,0.00031461,500
0,56,rev,1.500000,11.500048,46.2900,0.46359792,0.00027897,500,276418000,277418000,0.47011165,0.00030598,501
0,57,rev,1.000000,10.999986,30.8600,0.30392840,0.00030342,500,280902000,281902000,0.30945910,0.00031762,500
0,58,rev,0.500000,10.500023,15.4300,0.14775774,0.00029770,500,285374000,286374000,0.15233654,0.00033186,501
0,59,rev,0.000000,9.999960,0.0000,0.00094418,0.00000107,500,289844000,290844000,-0.00773981,0.00033551,500
1,0,fwd,0.000000,9.999960,0.0000,0.00094418,0.00000117,500,294318000,295318000,-0.00763522,0.00036093,501
1,1,fwd,0.500000,10.500023,15.4300,0.10209046,0.00033759,500,298926000,299926000,0.10634786,0.00035406,500
1,2,fwd,1.000000,10.999986,30.8600,0.26081482,0.00033881,500,303412000,304412000,0.26607759,0.00035964,500
1,3,fwd,1.500000,11.500048,46.2900,0.41859780,0.00034523,500,307884000,308884000,0.42484471,0.00037346,501
1,4,fwd,2.000000,12.000012,61.7200,0.57340180,0.00030726,500,312368000,313368000,0.58057748,0.00033364,500
1,5,fwd,2.500000,12.499975,77.1500,0.73562597,0.00030670,500,316842000,317842000,0.74376745,0.00034763,500
1,6,fwd,3.000000,13.000037,92.5800,0.89162491,0.00031444,500,321326000,322326000,0.90071202,0.00033097,500
1,7,fwd,3.500000,13.500001,108.0100,1.04523308,0.00033113,500,325798000,326798000,1.05523649,0.00038012,501
1,8,fwd,4.000000,13.999964,123.4400,1.20016201,0.00034843,500,330284000,331284000,1.21110843,0.00037397,501
1,9,fwd,4.500000,14.500027,138.8700,1.35931935,0.00033397,500,334756000,335756000,1.37121622,0.00037943,500
1,10,fwd,5.000000,14.999990,154.3000,1.52140462,0.00028556,500,339240000,340240000,1.53428799,0.00031006,500
1,11,fwd,5.500000,15.499953,169.7300,1.67239121,0.00029599,500,343712000,344712000,1.68618499,0.00032155,500
1,12,fwd,6.000000,16.000016,185.1600,1.83617280,0.00031415,500,348198000,349198000,1.85095293,0.00035070,501
1,13,fwd,6.500000,16.499979,200.5900,1.99812555,0.00033873,500,352668000,353668000,2.01389165,0.00036446,500
1,14,fwd,7.000000,17.000041,216.0200,2.15948492,0.00031852,500,357154000,358154000,2.17621029,0.00034383,500
1,15,fwd,7.500000,17.500005,231.4500,2.31852510,0.00032972,500,361628000,362628000,2.33622385,0.00035159,501
1,16,fwd,8.000000,17.999968,246.8800,2.47641600,0.00032535,500,366270000,367270000,2.49505557,0.00034842,501
1,17,fwd,8.500000,18.500030,262.3100,2.63416904,0.00033382,500,370740000,371740000,2.65376370,0.00037638,502
1,18,fwd,9.000000,18.999994,277.7400,2.78993594,0.00034090,500,375228000,376228000,2.81046204,0.00036655,501
1,19,fwd,9.500000,19.499957,293.1700,2.94685297,0.00034397,500,379698000,380698000,2.96835052,0.00036838,501
1,20,fwd,10.000000,20.000020,308.6000,3.10774097,0.00031525,500,384186000,385186000,3.13019960,0.00035817,502
1,21,fwd,10.500000,20.499983,324.0300,3.26400745,0.00030732,500,388652000,389652000,3.28741119,0.00032873,500
1,22,fwd,11.000000,21.000045,339.4600,3.42257191,0.00032214,500,393122000,394122000,3.44693241,0.00035068,502
1,23,fwd,11.500000,21.500009,354.8900,3.58248742,0.00029921,500,397594000,398594000,3.60777798,0.00031960,500
1,24,fwd,12.000000,21.999972,370.3200,3.74040434,0.00031822,500,402064000,403064000,3.76663170,0.00033517,501
1,25,fwd,12.500000,22.500034,385.7500,3.89769912,0.00029902,500,406534000,407534000,3.92488867,0.00032723,500
1,26,fwd,13.000000,22.999998,401.1800,4.05592410,0.00033213,500,411006000,412006000,4.08407375,0.00035407,500
1,27,fwd,13.500000,23.499961,416.6100,4.21334383,0.00029311,500,415474000,416474000,4.24245413,0.00031811,500
1,28,fwd,14.000000,24.000023,432.0400,4.37111472,0.00032200,500,419946000,420946000,4.40118378,0.00034481,500
1,29,fwd,14.500000,24.499987,447.4700,4.52982508,0.00032378,500,424416000,425416000,4.56087090,0.00034123,501
1,30,fwd,14.500000,24.499987,447.4700,4.52955837,0.00033269,500,428904000,429904000,4.56060614,0.00035880,502
1,31,rev,14.000000,24.000023,432.0400,4.38382636,0.00032368,500,433372000,434372000,4.41398441,0.00034809,501
1,32,rev,13.500000,23.499961,416.6100,4.22596318,0.00029738,500,437858000,438858000,4.25514375,0.00032389,502
1,33,rev,13.000000,22.999998,401.1800,4.06699007,0.00029324,500,442328000,443328000,4.09520962,0.00032549,501
1,34,rev,12.500000,22.500034,385.7500,3.90808445,0.00034869,500,446814000,447814000,3.93533081,0.00037156,500
1,35,rev,12.000000,21.999972,370.3200,3.75205634,0.00054049,500,451282000,452282000,3.77834774,0.00054675,501
1,36,rev,11.500000,21.500009,354.8900,3.59163050,0.00054659,500,455756000,456756000,3.61697592,0.00057317,501
1,37,rev,11.000000,21.000045,339.4600,3.43593025,0.00036315,500,460222000,461222000,3.46037422,0.00040031,501
1,38,rev,10.500000,20.499983,324.0300,3.27910211,0.00035985,500,464694000,465694000,3.30260883,0.00038157,501
1,39,rev,10.000000,20.000020,308.6000,3.12220806,0.00038764,500,469162000,470162000,3.14474521,0.00041514,500
1,40,rev,9.500000,19.499957,293.1700,2.96122031,0.00035487,500,473634000,474634000,2.98278035,0.00037869,501
1,41,rev,9.000000,18.999994,277.7400,2.80560852,0.00032888,500,478102000,479102000,2.82623173,0.00035778,500
1,42,rev,8.500000,18.500030,262.3100,2.65136144,0.00032470,500,482572000,483572000,2.67104947,0.00036404,500
1,43,rev,8.000000,17.999968,246.8800,2.49224766,0.00033986,500,487042000,488042000,2.51099297,0.00036329,502
1,44,rev,7.500000,17.500005,231.4500,2.33178515,0.00034885,500,491526000,492526000,2.34956115,0.00036425,500
1,45,rev,7.000000,17.000041,216.0200,2.18084055,0.00037688,500,495998000,496998000,2.19770036,0.00041512,502
1,46,rev,6.500000,16.499979,200.5900,2.02784826,0.00031145,500,500482000,501482000,2.04378780,0.00033978,501
1,47,rev,6.000000,16.000016,185.1600,1.87380371,0.00031180,500,504950000,505950000,1.88881748,0.00032832,500
1,48,rev,5.500000,15.499953,169.7300,1.71250483,0.00029067,500,509424000,510424000,1.72653749,0.00032543,502
1,49,rev,5.000000,14.999990,154.3000,1.55843069,0.00031106,500,513894000,514894000,1.57153468,0.00033461,500
1,50,rev,4.500000,14.500027,138.8700,1.39938525,0.00029787,500,518380000,519380000,1.41151686,0.00033837,500
1,51,rev,4.000000,13.999964,123.4400,1.24846002,0.00031248,500,522846000,523846000,1.25968917,0.00035607,500
1,52,rev,3.500000,13.500001,108.0100,1.09640098,0.00030342,500,527322000,528322000,1.10670144,0.00035218,501
1,53,rev,3.000000,13.000037,92.5800,0.93507790,0.00031748,500,531788000,532788000,0.94441339,0.00035273,500
1,54,rev,2.500000,12.499975,77.1500,0.77193353,0.00031133,500,536272000,537272000,0.78030985,0.00034137,500
1,55,rev,2.000000,12.000012,61.7200,0.61359128,0.00030023,500,540742000,541742000,0.62100936,0.00031786,500
1,56,rev,1.500000,11.500048,46.2900,0.46286478,0.00029351,500,545214000,546214000,0.46937549,0.00033618,502
1,57,rev,1.000000,10.999986,30.8600,0.30475922,0.00030206,500,549682000,550682000,0.31029149,0.00032080,500
1,58,rev,0.500000,10.500023,15.4300,0.15023722,0.00029961,500,554156000,555156000,0.15481398,0.00032963,500
1,59,rev,0.000000,9.999960,0.0000,0.00094422,0.00000106,501,558626000,559626000,-0.00589789,0.00032781,500
