step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms
small_up,unloaded,0.5,1.0,141,514,0,0.2283,4.2994,4.0711,nan,nan,6.4002,2.1
small_up,unloaded,0.5,1.0,141,514,1,0.6726,4.2926,3.62,nan,nan,7.3856,1.6
small_up,unloaded,0.5,1.0,141,514,2,-0.2158,4.2952,4.511,nan,nan,5.87,1.8
mid_up,unloaded,0.5,2.5,141,1631,0,-1.6428,6.0684,7.7112,nan,nan,2.2253,2.1
mid_up,unloaded,0.5,2.5,141,1631,1,-1.6702,6.0606,7.7309,nan,nan,2.32,2.0
mid_up,unloaded,0.5,2.5,141,1631,2,-1.695,6.0625,7.7575,nan,nan,2.2884,2.2
large_up,unloaded,0.5,5.0,141,3492,0,-2.2127,6.1102,8.3229,499.8,nan,1.5591,2.0
large_up,unloaded,0.5,5.0,141,3492,1,-2.3134,6.1063,8.4197,499.0,nan,1.5877,2.0
large_up,unloaded,0.5,5.0,141,3492,2,-2.285,6.1108,8.3958,499.3,nan,1.5389,2.0
large_dn,unloaded,5.0,0.5,3492,141,0,5.4201,-2.0856,-7.5057,nan,nan,0.9912,4.8
large_dn,unloaded,5.0,0.5,3492,141,1,4.7639,-2.0921,-6.856,nan,nan,0.9907,4.7
large_dn,unloaded,5.0,0.5,3492,141,2,2.8208,-2.0992,-4.92,nan,nan,1.2358,5.8
small_up,loaded,0.5,1.0,141,514,0,0.1604,4.5331,4.3727,nan,nan,3.359,2.3
small_up,loaded,0.5,1.0,141,514,1,0.1097,4.526,4.4163,nan,nan,3.487,2.1
small_up,loaded,0.5,1.0,141,514,2,-0.117,4.5254,4.6425,nan,nan,5.9141,1.9
mid_up,loaded,0.5,2.5,141,1631,0,-1.4168,6.1709,7.5877,nan,nan,2.4925,2.1
mid_up,loaded,0.5,2.5,141,1631,1,-1.1464,6.1738,7.3202,nan,nan,2.5442,2.1
mid_up,loaded,0.5,2.5,141,1631,2,-1.0895,6.1666,7.256,nan,nan,2.6659,2.2
large_up,loaded,0.5,5.0,141,3492,0,-2.2889,6.1415,8.4304,nan,nan,1.1682,2.0
large_up,loaded,0.5,5.0,141,3492,1,-2.2812,6.1365,8.4176,499.6,nan,1.2298,1.9
large_up,loaded,0.5,5.0,141,3492,2,-2.1026,6.1518,8.2543,nan,nan,1.069,2.0
large_dn,loaded,5.0,0.5,3492,141,0,3.1924,-2.0402,-5.2326,494.9,nan,2.2887,2.1
large_dn,loaded,5.0,0.5,3492,141,1,5.4459,-2.0402,-7.4861,475.6,nan,1.5998,1.9
large_dn,loaded,5.0,0.5,3492,141,2,5.7735,-2.0408,-7.8143,498.0,nan,1.5254,1.9
