host_timestamp_s,monotonic_s,kind,detail
1782847537.182849,14202.328000,session,start console_20260630_152536
1782847571.872760,14237.015000,session,recording start
1782847582.501704,14247.640000,arm,arm
1782847582.502703,14247.640000,cmd,cycle 3 0.5 200 500 5
1782847583.536162,14248.687000,cmd,ping
1782847584.537990,14249.687000,cmd,ping
1782847585.535566,14250.687000,cmd,ping
1782847586.540174,14251.687000,cmd,ping
1782847587.538452,14252.687000,cmd,ping
1782847588.545849,14253.687000,cmd,ping
1782847589.536446,14254.687000,cmd,ping
1782847590.557388,14255.703000,cmd,ping
1782847591.564301,14256.703000,cmd,ping
1782847592.555372,14257.703000,cmd,ping
1782847593.555598,14258.703000,cmd,ping
1782847594.552957,14259.703000,cmd,ping
1782847595.304307,14260.453000,session,recording stop
1782847595.560041,14260.703000,cmd,ping
1782847596.551704,14261.703000,cmd,ping
1782847597.559450,14262.703000,cmd,ping
1782847598.558415,14263.703000,cmd,ping
1782847599.554063,14264.703000,cmd,ping
1782847600.560712,14265.703000,cmd,ping
1782847600.581209,14265.718000,disarm,disarm
1782847600.778429,14265.921000,session,end complete
