host_timestamp_s,monotonic_s,position_mm
1782847571.863297,14237.015000,67.999967
1782847571.884288,14237.031000,67.999967
1782847571.904694,14237.046000,67.999967
1782847571.925479,14237.078000,67.999967
1782847571.945681,14237.093000,67.999967
1782847571.966346,14237.109000,67.999967
1782847571.988717,14237.140000,67.999967
1782847572.009266,14237.156000,67.999967
1782847572.029341,14237.171000,67.999967
1782847572.049641,14237.187000,67.999967
1782847572.070151,14237.218000,67.999967
1782847572.090229,14237.234000,67.999967
1782847572.111196,14237.250000,67.999967
1782847572.131943,14237.281000,67.999967
1782847572.152086,14237.296000,67.999967
1782847572.192428,14237.343000,67.999967
1782847572.213675,14237.359000,67.999967
1782847572.234895,14237.375000,67.999967
1782847572.255276,14237.406000,67.999967
1782847572.275364,14237.421000,67.999967
1782847572.295502,14237.437000,67.999967
1782847572.316753,14237.468000,67.999967
1782847572.337673,14237.484000,67.999967
1782847572.357770,14237.500000,67.999967
1782847572.378681,14237.531000,67.999967
1782847572.398806,14237.546000,67.999967
1782847572.420122,14237.562000,67.999967
1782847572.441022,14237.593000,67.999967
1782847572.461361,14237.609000,67.999967
1782847572.482549,14237.625000,67.999967
1782847572.503386,14237.656000,67.999967
1782847572.523881,14237.671000,67.999967
1782847572.547420,14237.687000,67.999967
1782847572.567737,14237.718000,67.999967
1782847572.588144,14237.734000,67.999967
1782847572.608333,14237.750000,67.999967
1782847572.628706,14237.781000,67.999967
1782847572.648793,14237.796000,67.999967
1782847572.669228,14237.812000,67.999967
1782847572.689850,14237.828000,67.999967
1782847572.710549,14237.859000,67.999967
1782847572.731710,14237.875000,67.999967
1782847572.754727,14237.906000,67.999967
1782847572.775208,14237.921000,67.999967
1782847572.795598,14237.937000,67.999967
1782847572.816132,14237.968000,67.999967
1782847572.836565,14237.984000,67.999967
1782847572.856708,14238.000000,67.999967
1782847572.877231,14238.015000,67.999967
1782847572.897547,14238.046000,67.999967
1782847572.918408,14238.062000,67.999967
1782847572.938972,14238.078000,67.999967
1782847572.959364,14238.109000,67.999967
1782847572.980104,14238.125000,67.999967
1782847573.000361,14238.140000,67.999967
1782847573.020637,14238.171000,67.999967
1782847573.040888,14238.187000,67.999967
1782847573.061116,14238.203000,67.999967
1782847573.081602,14238.234000,67.999967
1782847573.103170,14238.250000,67.999967
1782847573.123691,14238.265000,67.999967
1782847573.144105,14238.296000,67.999967
1782847573.166635,14238.312000,67.999967
1782847573.187267,14238.328000,67.999967
1782847573.207408,14238.359000,67.999967
1782847573.227537,14238.375000,67.999967
1782847573.248021,14238.390000,67.999967
1782847573.268291,14238.406000,67.999967
1782847573.288752,14238.437000,67.999967
1782847573.310151,14238.453000,67.999967
1782847573.330553,14238.468000,67.999967
1782847573.352423,14238.500000,67.999967
1782847573.373111,14238.515000,67.999967
1782847573.393336,14238.531000,67.999967
1782847573.413652,14238.562000,67.999967
1782847573.434640,14238.578000,67.999967
1782847573.454739,14238.593000,67.999967
1782847573.475244,14238.625000,67.999967
1782847573.502176,14238.640000,67.999967
1782847573.522706,14238.671000,67.999967
1782847573.543188,14238.687000,67.999967
1782847573.563939,14238.703000,67.999967
1782847573.584176,14238.734000,67.999967
1782847573.604381,14238.750000,67.999967
1782847573.624555,14238.765000,67.999967
1782847573.645057,14238.796000,67.999967
1782847573.665484,14238.812000,67.999967
1782847573.686351,14238.828000,67.999967
