host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1782848330.710255,14995.859000,892085000,1,laser,1.41023400,605690936,903830045,444053
1782848330.716022,14995.859000,892086000,2,load,0.09108200,152810,903831060,444053
1782848330.720021,14995.859000,892087000,1,laser,1.40993200,605561294,903832067,444054
1782848330.721021,14995.859000,892088000,2,load,0.09059900,152000,903833082,444054
1782848330.722021,14995.875000,892089000,1,laser,1.40965600,605442529,903834096,444055
1782848330.722021,14995.875000,892090000,2,load,0.09286400,155800,903835114,444055
1782848330.722021,14995.875000,892091000,1,laser,1.41054800,605825667,903836121,444056
1782848330.723024,14995.875000,892092000,2,load,0.09286400,155800,903837137,444056
1782848330.724021,14995.875000,892093000,1,laser,1.41054800,605825667,903838153,444057
1782848330.724646,14995.875000,892094000,2,load,0.08689800,145790,903839162,444057
1782848330.725173,14995.875000,892095000,1,laser,1.41148300,606227522,903840176,444058
1782848330.725173,14995.875000,892096000,2,load,0.08438200,141570,903841191,444058
1782848330.725173,14995.875000,892097000,1,laser,1.40963400,605433232,903842205,444059
1782848330.726177,14995.875000,892098000,2,load,0.08439400,141590,903843214,444059
1782848330.726177,14995.875000,892099000,1,laser,1.40971300,605467267,903844230,444060
1782848330.726177,14995.875000,892100000,2,load,0.08139600,136560,903845246,444060
1782848330.727681,14995.875000,892101000,1,laser,1.41080900,605937784,903846253,444061
1782848330.727681,14995.875000,892102000,2,load,0.08425700,141360,903847268,444061
1782848330.728685,14995.875000,892103000,1,laser,1.41080900,605937784,903848285,444062
1782848330.728685,14995.875000,892104000,2,load,0.08425700,141360,903849294,444062
1782848330.729686,14995.875000,892105000,1,laser,1.41031200,605724383,903850310,444063
1782848330.729686,14995.875000,892106000,2,load,0.08608100,144420,903851319,444063
1782848330.730686,14995.875000,892107000,1,laser,1.41007700,605623634,903852333,444064
1782848330.731685,14995.875000,892108000,2,load,0.08999100,150980,903853348,444064
1782848330.731685,14995.875000,892109000,1,laser,1.41042600,605773249,903854365,444065
1782848330.732686,14995.875000,892110000,2,load,0.07985800,133980,903855374,444065
1782848330.733690,14995.875000,892111000,1,laser,1.41008700,605627652,903856390,444066
1782848330.733690,14995.875000,892112000,2,load,0.08280900,138930,903857399,444066
1782848330.734689,14995.875000,892113000,1,laser,1.41008200,605625693,903858413,444067
1782848330.734689,14995.875000,892114000,2,load,0.08280900,138930,903859428,444067
1782848330.734689,14995.875000,892115000,1,laser,1.41008200,605625693,903860435,444068
1782848330.735689,14995.875000,892116000,2,load,0.08691000,145810,903861450,444068
1782848330.735689,14995.875000,892117000,1,laser,1.41200100,606449735,903862464,444069
1782848330.736689,14995.875000,892118000,2,load,0.09240500,155030,903863479,444069
1782848330.736689,14995.875000,892119000,1,laser,1.41116600,606091164,903864493,444070
1782848330.737690,14995.890000,892120000,2,load,0.09021800,151360,903865508,444070
1782848330.737690,14995.890000,892121000,1,laser,1.41032000,605727700,903866515,444071
1782848330.738689,14995.890000,892122000,2,load,0.08664100,145360,903867530,444071
1782848330.738689,14995.890000,892123000,1,laser,1.41151100,606239470,903868544,444072
1782848330.738689,14995.890000,892124000,2,load,0.08664100,145360,903869559,444072
1782848330.739691,14995.890000,892125000,1,laser,1.41151100,606239470,903870573,444073
1782848330.740651,14995.890000,892126000,2,load,0.08837600,148270,903871582,444073
1782848330.741183,14995.890000,892127000,1,laser,1.41021900,605684412,903872598,444074
1782848330.741613,14995.890000,892128000,2,load,0.08173600,137130,903873614,444074
1782848330.742617,14995.890000,892129000,1,laser,1.40987900,605538287,903874621,444075
1782848330.743617,14995.890000,892130000,2,load,0.07970300,133720,903875636,444075
1782848330.744617,14995.890000,892131000,1,laser,1.41101400,606025987,903876653,444076
1782848330.745617,14995.890000,892132000,2,load,0.09005700,151090,903877662,444076
1782848330.746617,14995.890000,892133000,1,laser,1.41000400,605592110,903878678,444077
1782848330.748121,14995.890000,892134000,2,load,0.07870200,132040,903879687,444077
1782848330.749126,14995.890000,892135000,1,laser,1.41000400,605592110,903880701,444078
1782848330.749126,14995.890000,892136000,2,load,0.07870200,132040,903881716,444078
1782848330.751255,14995.890000,892137000,1,laser,1.41005900,605615915,903882733,444079
1782848330.752259,14995.890000,892138000,2,load,0.08527600,143070,903883742,444079
1782848330.753258,14995.890000,892139000,1,laser,1.41118000,606097025,903884758,444080
1782848330.754262,14995.906000,892140000,2,load,0.08620600,144630,903885767,444080
1782848330.755263,14995.906000,892141000,1,laser,1.40954000,605392751,903886781,444081
1782848330.756625,14995.906000,892142000,2,load,0.08013200,134440,903887796,444081
1782848330.757153,14995.906000,892143000,1,laser,1.41002300,605600431,903888806,444082
1782848330.758157,14995.906000,892144000,2,load,0.08007300,134340,903889822,444082
1782848330.758845,14995.906000,892145000,1,laser,1.41110700,606065710,903890838,444083
1782848330.771360,14995.921000,892146000,2,load,0.08007300,134340,903891847,444083
1782848330.778139,14995.921000,892147000,1,laser,1.41110700,606065710,903892861,444084
1782848330.782139,14995.921000,892148000,2,load,0.08548500,143420,903893876,444084
1782848330.783139,14995.921000,892149000,1,laser,1.41013400,605647722,903894886,444085
1782848330.783139,14995.921000,892150000,2,load,0.08364300,140330,903895902,444085
1782848330.784139,14995.921000,892151000,1,laser,1.41018800,605671233,903896909,444086
1782848330.784139,14995.921000,892152000,2,load,0.08864400,148720,903897924,444086
1782848330.784139,14995.921000,892153000,1,laser,1.41048300,605797872,903898941,444087
1782848330.785646,14995.937000,892154000,2,load,0.08462700,141980,903899950,444087
1782848330.786327,14995.937000,892155000,1,laser,1.40978600,605498510,903900966,444088
1782848330.786854,14995.937000,892156000,2,load,0.08462700,141980,903901982,444088
1782848330.786854,14995.937000,892157000,1,laser,1.40978600,605498510,903902989,444089
1782848330.787373,14995.937000,892158000,2,load,0.08661200,145310,903904004,444089
1782848330.787900,14995.937000,892159000,1,laser,1.41005900,605615553,903905021,444090
1782848330.788422,14995.937000,892160000,2,load,0.08168200,137040,903906030,444090
1782848330.788952,14995.937000,892161000,1,laser,1.41210500,606494377,903907046,444091
1782848330.789463,14995.937000,892162000,2,load,0.08738600,146610,903908055,444091
1782848330.789990,14995.937000,892163000,1,laser,1.41162600,606288577,903909069,444092
1782848330.790510,14995.937000,892164000,2,load,0.09521800,159750,903910084,444092
1782848330.791089,14995.937000,892165000,1,laser,1.41083500,605949208,903911101,444093
1782848330.791617,14995.937000,892166000,2,load,0.08615300,144540,903912110,444093
1782848330.792142,14995.937000,892167000,1,laser,1.41083500,605949208,903913126,444094
1782848330.792665,14995.937000,892168000,2,load,0.08615300,144540,903914135,444094
1782848330.792665,14995.937000,892169000,1,laser,1.41058900,605843209,903915149,444095
1782848330.793191,14995.937000,892170000,2,load,0.07842200,131570,903916164,444095
1782848330.793716,14995.937000,892171000,1,laser,1.40929700,605288629,903917181,444096
1782848330.794240,14995.937000,892172000,2,load,0.08148600,136710,903918190,444096
1782848330.794761,14995.937000,892173000,1,laser,1.40971600,605468337,903919206,444097
1782848330.795283,14995.937000,892174000,2,load,0.08252900,138460,903920215,444097
1782848330.795805,14995.937000,892175000,1,laser,1.41170800,606324000,903921229,444098
1782848330.795805,14995.937000,892176000,2,load,0.08603300,144340,903922244,444098
1782848330.796323,14995.937000,892177000,1,laser,1.41151900,606242729,903923251,444099
1782848330.796849,14995.937000,892178000,2,load,0.08603300,144340,903924266,444099
1782848330.797378,14995.937000,892179000,1,laser,1.41151900,606242729,903925280,444100
1782848330.797900,14995.937000,892180000,2,load,0.09484300,159120,903926295,444100
1782848330.798429,14995.937000,892181000,1,laser,1.41121500,606112154,903927309,444101
1782848330.798429,14995.937000,892182000,2,load,0.09149900,153510,903928318,444101
1782848330.798949,14995.937000,892183000,1,laser,1.41003200,605604291,903929334,444102
1782848330.798949,14995.937000,892184000,2,load,0.08432900,141480,903930350,444102
1782848330.799954,14995.937000,892185000,1,laser,1.40944600,605352569,903931357,444103
1782848330.800631,14995.953000,892186000,2,load,0.08721400,146320,903932375,444103
1782848330.801634,14995.953000,892187000,1,laser,1.40969000,605457353,903933382,444104
1782848330.802635,14995.953000,892188000,2,load,0.08721400,146320,903934398,444104
1782848330.804036,14995.953000,892189000,1,laser,1.40969000,605457353,903935414,444105
1782848330.804539,14995.953000,892190000,2,load,0.08992000,150860,903936430,444105
1782848330.805595,14995.953000,892191000,1,laser,1.41089500,605974633,903937437,444106
1782848330.806695,14995.953000,892192000,2,load,0.08961600,150350,903938452,444106
1782848330.807738,14995.953000,892193000,1,laser,1.41096600,606005346,903939469,444107
1782848330.808786,14995.953000,892194000,2,load,0.08166400,137010,903940478,444107
1782848330.809816,14995.953000,892195000,1,laser,1.41127300,606137359,903941494,444108
1782848330.810870,14995.953000,892196000,2,load,0.08794700,147550,903942503,444108
1782848330.811916,14995.953000,892197000,1,laser,1.41182400,606374032,903943517,444109
1782848330.812964,14995.953000,892198000,2,load,0.08487700,142400,903944532,444109
1782848330.814004,14995.953000,892199000,1,laser,1.41182400,606374032,903945549,444110
1782848330.815054,14995.953000,892200000,2,load,0.08487700,142400,903946558,444110
1782848330.815579,14995.953000,892201000,1,laser,1.41016100,605659306,903947574,444111
1782848330.816732,14995.968000,892202000,2,load,0.08420300,141270,903948583,444111
1782848330.817894,14995.968000,892203000,1,laser,1.40809500,604772132,903949597,444112
1782848330.818898,14995.968000,892204000,2,load,0.08717800,146260,903950612,444112
1782848330.819898,14995.968000,892205000,1,laser,1.40963400,605433102,903951629,444113
1782848330.821057,14995.968000,892206000,2,load,0.08568800,143760,903952638,444113
1782848330.822166,14995.968000,892207000,1,laser,1.41062500,605858873,903953654,444114
1782848330.839489,14995.984000,892208000,2,load,0.07873200,132090,903954663,444114
1782848330.844488,14995.984000,892209000,1,laser,1.41104700,606040198,903955677,444115
1782848330.844488,14995.984000,892210000,2,load,0.07873200,132090,903956692,444115
1782848330.845488,14995.984000,892211000,1,laser,1.41104700,606040198,903957699,444116
1782848330.845488,14995.984000,892212000,2,load,0.07411200,124340,903958714,444116
1782848330.846488,14995.984000,892213000,1,laser,1.41068600,605884980,903959728,444117
1782848330.846488,14995.984000,892214000,2,load,0.07391600,124010,903960743,444117
1782848330.847487,14996.000000,892215000,1,laser,1.40892900,605130192,903961757,444118
1782848330.847487,14996.000000,892216000,2,load,0.07817100,131150,903962766,444118
1782848330.848489,14996.000000,892217000,1,laser,1.40833400,604874631,903963782,444119
1782848330.848489,14996.000000,892218000,2,load,0.08500800,142620,903964798,444119
1782848330.849488,14996.000000,892219000,1,laser,1.40921700,605253984,903965808,444120
1782848330.849488,14996.000000,892220000,2,load,0.08500800,142620,903966823,444120
1782848330.849488,14996.000000,892221000,1,laser,1.40921700,605253984,903967830,444121
1782848330.850490,14996.000000,892222000,2,load,0.09100400,152680,903968846,444121
1782848330.850490,14996.000000,892223000,1,laser,1.41007200,605621242,903969862,444122
1782848330.851579,14996.000000,892224000,2,load,0.08804800,147720,903970871,444122
1782848330.851987,14996.000000,892225000,1,laser,1.41026300,605703148,903971885,444123
1782848330.852492,14996.000000,892226000,2,load,0.08777400,147260,903972900,444123
1782848330.853049,14996.000000,892227000,1,laser,1.41078000,605925582,903973917,444124
1782848330.853583,14996.000000,892228000,2,load,0.09076000,152270,903974926,444124
1782848330.854106,14996.000000,892229000,1,laser,1.40925900,605272284,903975942,444125
1782848330.854635,14996.000000,892230000,2,load,0.09369900,157200,903976951,444125
1782848330.854635,14996.000000,892231000,1,laser,1.40925900,605272284,903977965,444126
1782848330.855164,14996.000000,892232000,2,load,0.09369900,157200,903978980,444126
1782848330.855694,14996.000000,892233000,1,laser,1.40793600,604703859,903979997,444127
1782848330.856221,14996.000000,892234000,2,load,0.08144400,136640,903981006,444127
1782848330.856744,14996.000000,892235000,1,laser,1.40943500,605347933,903982022,444128
1782848330.857265,14996.000000,892236000,2,load,0.08035900,134820,903983031,444128
1782848330.857786,14996.000000,892237000,1,laser,1.41071000,605895079,903984045,444129
1782848330.857786,14996.000000,892238000,2,load,0.08277900,138880,903985060,444129
1782848330.858305,14996.000000,892239000,1,laser,1.41013800,605649780,903986067,444130
1782848330.858826,14996.000000,892240000,2,load,0.08338100,139890,903987082,444130
1782848330.859353,14996.000000,892241000,1,laser,1.41070000,605891068,903988096,444131
1782848330.859875,14996.000000,892242000,2,load,0.08338100,139890,903989111,444131
1782848330.860398,14996.000000,892243000,1,laser,1.41070000,605891068,903990125,444132
1782848330.860929,14996.000000,892244000,2,load,0.08419200,141250,903991134,444132
1782848330.861452,14996.000000,892245000,1,laser,1.40933200,605303403,903992150,444133
1782848330.861976,14996.000000,892246000,2,load,0.08993100,150880,903993159,444133
1782848330.862495,14996.000000,892247000,1,laser,1.40848500,604939762,903994173,444134
1782848330.863542,14996.015000,892248000,2,load,0.07903000,132590,903995188,444134
1782848330.864797,14996.015000,892249000,1,laser,1.40942300,605342563,903996205,444135
1782848330.865059,14996.015000,892250000,2,load,0.08634900,144870,903997214,444135
1782848330.866063,14996.015000,892251000,1,laser,1.41098500,606013276,903998230,444136
1782848330.867063,14996.015000,892252000,2,load,0.08634900,144870,903999239,444136
1782848330.868503,14996.015000,892253000,1,laser,1.41098500,606013276,904000253,444137
1782848330.869560,14996.015000,892254000,2,load,0.08711200,146150,904001268,444137
1782848330.870594,14996.015000,892255000,1,laser,1.41128900,606143913,904002285,444138
1782848330.871647,14996.015000,892256000,2,load,0.08518700,142920,904003294,444138
1782848330.872708,14996.015000,892257000,1,laser,1.41146200,606218193,904004310,444139
1782848330.873757,14996.015000,892258000,2,load,0.07712200,129390,904005319,444139
1782848330.874811,14996.015000,892259000,1,laser,1.41002500,605601047,904006333,444140
1782848330.875854,14996.015000,892260000,2,load,0.07867800,132000,904007348,444140
1782848330.876906,14996.015000,892261000,1,laser,1.41019700,605674868,904008355,444141
1782848330.877950,14996.015000,892262000,2,load,0.08100300,135900,904009370,444141
1782848330.878477,14996.031000,892263000,1,laser,1.41019700,605674868,904010384,444142
1782848330.879523,14996.031000,892264000,2,load,0.08100300,135900,904011399,444142
1782848330.880527,14996.031000,892265000,1,laser,1.41032400,605729429,904012413,444143
1782848330.881529,14996.031000,892266000,2,load,0.08545500,143370,904013428,444143
1782848330.882529,14996.031000,892267000,1,laser,1.41076300,605918278,904014435,444144
1782848330.894979,14996.046000,892268000,2,load,0.08297000,139200,904015450,444144
1782848330.902136,14996.046000,892269000,1,laser,1.40983500,605519611,904016464,444145
1782848330.906345,14996.046000,892270000,2,load,0.07702100,129220,904017479,444145
1782848330.906863,14996.046000,892271000,1,laser,1.40982400,605514992,904018493,444146
1782848330.907396,14996.046000,892272000,2,load,0.08196800,137520,904019502,444146
1782848330.907920,14996.046000,892273000,1,laser,1.40974800,605482313,904020518,444147
1782848330.908443,14996.046000,892274000,2,load,0.08196800,137520,904021534,444147
1782848330.908966,14996.046000,892275000,1,laser,1.40974800,605482313,904022541,444148
1782848330.909488,14996.046000,892276000,2,load,0.08720200,146300,904023556,444148
1782848330.910012,14996.062000,892277000,1,laser,1.40964700,605438567,904024573,444149
1782848330.910536,14996.062000,892278000,2,load,0.08402500,140970,904025582,444149
1782848330.910536,14996.062000,892279000,1,laser,1.40898200,605153263,904026598,444150
1782848330.911049,14996.062000,892280000,2,load,0.08477600,142230,904027607,444150
1782848330.911049,14996.062000,892281000,1,laser,1.40979400,605501901,904028621,444151
1782848330.912054,14996.062000,892282000,2,load,0.09055700,151930,904029636,444151
1782848330.912054,14996.062000,892283000,1,laser,1.41027300,605707436,904030653,444152
1782848330.913054,14996.062000,892284000,2,load,0.09055700,151930,904031662,444152
1782848330.913054,14996.062000,892285000,1,laser,1.41027300,605707436,904032678,444153
1782848330.914055,14996.062000,892286000,2,load,0.08776200,147240,904033687,444153
1782848330.914055,14996.062000,892287000,1,laser,1.41029000,605714922,904034701,444154
1782848330.915053,14996.062000,892288000,2,load,0.08267800,138710,904035716,444154
1782848330.915053,14996.062000,892289000,1,laser,1.41115500,606086331,904036733,444155
1782848330.915944,14996.062000,892290000,2,load,0.08018600,134530,904037742,444155
1782848330.916450,14996.062000,892291000,1,laser,1.40992400,605557625,904038758,444156
1782848330.916980,14996.062000,892292000,2,load,0.07674100,128750,904039767,444156
1782848330.917505,14996.062000,892293000,1,laser,1.41050500,605807207,904040781,444157
1782848330.918043,14996.062000,892294000,2,load,0.08873300,148870,904041796,444157
1782848330.918564,14996.062000,892295000,1,laser,1.41050500,605807207,904042803,444158
1782848330.919092,14996.062000,892296000,2,load,0.08873300,148870,904043818,444158
1782848330.919614,14996.062000,892297000,1,laser,1.41186600,606391705,904044832,444159
1782848330.919614,14996.062000,892298000,2,load,0.08470400,142110,904045847,444159
1782848330.920137,14996.062000,892299000,1,laser,1.41078700,605928423,904046861,444160
1782848330.920658,14996.062000,892300000,2,load,0.08620000,144620,904047870,444160
1782848330.923269,14996.062000,892301000,1,laser,1.41156900,606264099,904048886,444161
1782848330.923791,14996.062000,892302000,2,load,0.08171200,137090,904049902,444161
1782848330.924315,14996.062000,892303000,1,laser,1.41125100,606127572,904050909,444162
1782848330.924315,14996.062000,892304000,2,load,0.08140800,136580,904051927,444162
1782848330.924844,14996.062000,892305000,1,laser,1.41125100,606127572,904052934,444163
1782848330.925365,14996.078000,892306000,2,load,0.08140800,136580,904053950,444163
1782848330.925893,14996.078000,892307000,1,laser,1.40930700,605292856,904054966,444164
1782848330.926413,14996.078000,892308000,2,load,0.08248100,138380,904055975,444164
1782848330.927458,14996.078000,892309000,1,laser,1.41028800,605714252,904056989,444165
1782848330.927794,14996.078000,892310000,2,load,0.08534200,143180,904058004,444165
1782848330.928798,14996.078000,892311000,1,laser,1.41135600,606172740,904059021,444166
1782848330.929798,14996.078000,892312000,2,load,0.08406600,141040,904060030,444166
1782848330.929798,14996.078000,892313000,1,laser,1.41022500,605687079,904061046,444167
1782848330.931884,14996.078000,892314000,2,load,0.08374500,140500,904062055,444167
1782848330.932911,14996.078000,892315000,1,laser,1.41150800,606238111,904063069,444168
1782848330.933916,14996.078000,892316000,2,load,0.08374500,140500,904064084,444168
1782848330.934915,14996.078000,892317000,1,laser,1.41150800,606238111,904065101,444169
1782848330.935915,14996.078000,892318000,2,load,0.08412600,141140,904066110,444169
1782848330.936915,14996.078000,892319000,1,laser,1.41027500,605708560,904067126,444170
1782848330.937915,14996.078000,892320000,2,load,0.08467400,142060,904068135,444170
1782848330.938915,14996.078000,892321000,1,laser,1.40944000,605349762,904069149,444171
1782848330.938915,14996.078000,892322000,2,load,0.08456700,141880,904070164,444171
1782848330.939915,14996.078000,892323000,1,laser,1.40914400,605222782,904071171,444172
1782848330.940915,14996.093000,892324000,2,load,0.08348800,140070,904072186,444172
1782848330.942420,14996.093000,892325000,1,laser,1.40976600,605489927,904073200,444173
1782848330.943587,14996.093000,892326000,2,load,0.08811400,147830,904074215,444173
1782848330.944635,14996.093000,892327000,1,laser,1.40976600,605489927,904075229,444174
1782848330.945158,14996.093000,892328000,2,load,0.08811400,147830,904076238,444174
1782848330.946203,14996.093000,892329000,1,laser,1.40862900,605001436,904077254,444175
