host_timestamp_s,monotonic_s,fields_json
1782848330.922748,14996.062000,"{""t_ms"":875456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":906311944,""m4_us"":904047870,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848331.971154,14997.109000,"{""t_ms"":876456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":907349350,""m4_us"":905085319,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848332.993868,14998.140000,"{""t_ms"":877456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":908386855,""m4_us"":906122823,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848334.042706,14999.187000,"{""t_ms"":878456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":909424367,""m4_us"":907160327,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848335.092645,15000.234000,"{""t_ms"":879456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":910461829,""m4_us"":908197799,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848336.107633,15001.250000,"{""t_ms"":880456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":911499290,""m4_us"":909235252,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848337.164064,15002.312000,"{""t_ms"":881456,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":912536737,""m4_us"":910272679,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848338.230150,15003.375000,"{""t_ms"":882464,""hwm"":26,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":495,""rate2"":494,""prod1"":511,""prod2"":511,""sma_state"":5,""m7_us"":913581647,""m4_us"":911295930,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848339.287745,15004.437000,"{""t_ms"":883502,""hwm"":49,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":493,""rate2"":493,""prod1"":512,""prod2"":511,""sma_state"":6,""m7_us"":914658717,""m4_us"":912349543,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848340.303166,15005.453000,"{""t_ms"":884502,""hwm"":53,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":529,""rate2"":528,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":915696666,""m4_us"":913432541,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1782848341.355118,15006.500000,"{""t_ms"":885502,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":916734025,""m4_us"":914469981,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
