host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1782154467.222812,1088342.390000,166137000,3,sma_v,0.00000000,1258,170267951,0
1782154467.223813,1088342.390000,166137000,4,sma_i,0.15553700,0,170267951,0
1782154467.224812,1088342.390000,166137000,5,sma_r,-0.10000000,0,170267951,0
1782154467.229891,1088342.390000,166144000,3,sma_v,0.00000000,1258,170275197,1
1782154467.230896,1088342.390000,166144000,4,sma_i,0.25082500,0,170275197,1
1782154467.231894,1088342.390000,166144000,5,sma_r,-0.10000000,0,170275197,1
1782154467.240403,1088342.406000,166154000,3,sma_v,0.00000000,1258,170285572,2
1782154467.241403,1088342.406000,166154000,4,sma_i,0.12820400,0,170285572,2
1782154467.242023,1088342.406000,166154000,5,sma_r,-0.10000000,0,170285572,2
1782154467.251033,1088342.406000,166164000,3,sma_v,0.00000000,1258,170295918,3
1782154467.252032,1088342.406000,166164000,4,sma_i,0.19540800,0,170295918,3
1782154467.253039,1088342.406000,166164000,5,sma_r,-0.10000000,0,170295918,3
1782154467.261041,1088342.421000,166174000,3,sma_v,0.00000000,1258,170306296,4
1782154467.262038,1088342.421000,166174000,4,sma_i,0.21704500,0,170306296,4
1782154467.263040,1088342.421000,166174000,5,sma_r,-0.10000000,0,170306296,4
1782154467.271553,1088342.437000,166184000,3,sma_v,0.00000000,1258,170316670,5
1782154467.272552,1088342.437000,166184000,4,sma_i,0.14859300,0,170316670,5
1782154467.273556,1088342.437000,166184000,5,sma_r,-0.10000000,0,170316670,5
1782154467.281552,1088342.437000,166194000,3,sma_v,0.00008700,1258,170327014,6
1782154467.282552,1088342.437000,166194000,4,sma_i,0.17786300,0,170327014,6
1782154467.283554,1088342.437000,166194000,5,sma_r,-0.09951100,0,170327014,6
1782154467.292174,1088342.453000,166204000,3,sma_v,0.00186000,1258,170337393,7
1782154467.293173,1088342.453000,166204000,4,sma_i,0.19548100,0,170337393,7
1782154467.294171,1088342.453000,166204000,5,sma_r,-0.09048700,0,170337393,7
1782154467.302684,1088342.468000,166214000,3,sma_v,0.00000000,1258,170347767,8
1782154467.303691,1088342.468000,166214000,4,sma_i,0.17833200,0,170347767,8
1782154467.304693,1088342.468000,166214000,5,sma_r,-0.10000000,0,170347767,8
1782154467.312690,1088342.468000,166224000,3,sma_v,0.00000000,1258,170358143,9
1782154467.313689,1088342.468000,166224000,4,sma_i,0.18235500,0,170358143,9
1782154467.314690,1088342.468000,166224000,5,sma_r,-0.10000000,0,170358143,9
1782154467.323211,1088342.484000,166234000,3,sma_v,0.00364400,1258,170368491,10
1782154467.324211,1088342.484000,166234000,4,sma_i,0.20393600,0,170368491,10
1782154467.325211,1088342.484000,166234000,5,sma_r,-0.08213100,0,170368491,10
1782154467.333205,1088342.500000,166244000,3,sma_v,0.00000000,1258,170378867,11
1782154467.334709,1088342.500000,166244000,4,sma_i,0.19274100,0,170378867,11
1782154467.335717,1088342.500000,166244000,5,sma_r,-0.10000000,0,170378867,11
1782154467.343681,1088342.500000,166254000,3,sma_v,0.00061900,1258,170389243,12
1782154467.345369,1088342.500000,166254000,4,sma_i,0.15948000,0,170389243,12
1782154467.346376,1088342.500000,166254000,5,sma_r,-0.09611600,0,170389243,12
1782154467.354384,1088342.515000,166264000,3,sma_v,0.00000000,1258,170399588,13
1782154467.355382,1088342.515000,166264000,4,sma_i,0.12162700,0,170399588,13
1782154467.356382,1088342.515000,166264000,5,sma_r,-0.10000000,0,170399588,13
1782154467.364477,1088342.531000,166274000,3,sma_v,0.00000000,1258,170409960,14
1782154467.365477,1088342.531000,166274000,4,sma_i,0.08634200,0,170409960,14
1782154467.366477,1088342.531000,166274000,5,sma_r,-0.10000000,0,170409960,14
1782154467.374777,1088342.531000,166284000,3,sma_v,0.00000000,1258,170420341,15
1782154467.375779,1088342.531000,166284000,4,sma_i,0.12251500,0,170420341,15
1782154467.376778,1088342.531000,166284000,5,sma_r,-0.10000000,0,170420341,15
1782154467.385784,1088342.546000,166294000,3,sma_v,0.00029400,1258,170430691,16
1782154467.386783,1088342.546000,166294000,4,sma_i,0.21598900,0,170430691,16
1782154467.387783,1088342.546000,166294000,5,sma_r,-0.09863900,0,170430691,16
1782154467.396392,1088342.562000,166304000,3,sma_v,0.00000000,1258,170441068,17
1782154467.397394,1088342.562000,166304000,4,sma_i,0.15721300,0,170441068,17
1782154467.398009,1088342.562000,166304000,5,sma_r,-0.10000000,0,170441068,17
1782154467.406015,1088342.562000,166314000,3,sma_v,0.00000000,1258,170451445,18
1782154467.407519,1088342.562000,166314000,4,sma_i,0.21010400,0,170451445,18
1782154467.408525,1088342.562000,166314000,5,sma_r,-0.10000000,0,170451445,18
1782154467.416525,1088342.578000,166324000,3,sma_v,0.00000000,1258,170461791,19
1782154467.417526,1088342.578000,166324000,4,sma_i,0.21383100,0,170461791,19
1782154467.419031,1088342.578000,166324000,5,sma_r,-0.10000000,0,170461791,19
1782154467.426606,1088342.593000,166334000,3,sma_v,0.00131700,1258,170472171,20
1782154467.428110,1088342.593000,166334000,4,sma_i,0.19284300,0,170472171,20
1782154467.428717,1088342.593000,166334000,5,sma_r,-0.09317200,0,170472171,20
1782154467.436980,1088342.593000,166344000,3,sma_v,0.00099700,1258,170482546,21
1782154467.438117,1088342.593000,166344000,4,sma_i,0.21200000,0,170482546,21
1782154467.439123,1088342.593000,166344000,5,sma_r,-0.09529600,0,170482546,21
1782154467.448122,1088342.609000,166354000,3,sma_v,0.00048000,1258,170492894,22
1782154467.449122,1088342.609000,166354000,4,sma_i,0.22496700,0,170492894,22
1782154467.450124,1088342.609000,166354000,5,sma_r,-0.09786700,0,170492894,22
1782154467.458237,1088342.625000,166364000,3,sma_v,0.00145900,1258,170503269,23
1782154467.459248,1088342.625000,166364000,4,sma_i,0.20196300,0,170503269,23
1782154467.460244,1088342.625000,166364000,5,sma_r,-0.09277500,0,170503269,23
1782154467.468243,1088342.625000,166374000,3,sma_v,0.00000000,1258,170513647,24
1782154467.469242,1088342.625000,166374000,4,sma_i,0.13294000,0,170513647,24
1782154467.470288,1088342.625000,166374000,5,sma_r,-0.10000000,0,170513647,24
1782154467.479287,1088342.640000,166384000,3,sma_v,0.00022300,1258,170523991,25
1782154467.480288,1088342.640000,166384000,4,sma_i,0.26262700,0,170523991,25
1782154467.480288,1088342.640000,166384000,5,sma_r,-0.09914900,0,170523991,25
1782154467.489286,1088342.656000,166394000,3,sma_v,0.00017400,1258,170534370,26
1782154467.490285,1088342.656000,166394000,4,sma_i,0.21657000,0,170534370,26
1782154467.491284,1088342.656000,166394000,5,sma_r,-0.09919700,0,170534370,26
1782154467.499286,1088342.656000,166404000,3,sma_v,0.00076000,1258,170544747,27
1782154467.500288,1088342.656000,166404000,4,sma_i,0.17321700,0,170544747,27
1782154467.501287,1088342.656000,166404000,5,sma_r,-0.09561100,0,170544747,27
1782154467.509489,1088342.671000,166414000,3,sma_v,0.00256400,1258,170555091,28
1782154467.510487,1088342.671000,166414000,4,sma_i,0.19917600,0,170555091,28
1782154467.511487,1088342.671000,166414000,5,sma_r,-0.08712500,0,170555091,28
1782154467.520645,1088342.687000,166424000,3,sma_v,0.00400000,1258,170565471,29
1782154467.520991,1088342.687000,166424000,4,sma_i,0.19492600,0,170565471,29
1782154467.521995,1088342.687000,166424000,5,sma_r,-0.07948100,0,170565471,29
1782154467.530995,1088342.687000,166434000,3,sma_v,0.00000000,1258,170575848,30
1782154467.531995,1088342.687000,166434000,4,sma_i,0.13184400,0,170575848,30
1782154467.532995,1088342.687000,166434000,5,sma_r,-0.10000000,0,170575848,30
1782154467.541040,1088342.703000,166444000,3,sma_v,0.00112900,1258,170586193,31
1782154467.542037,1088342.703000,166444000,4,sma_i,0.21107900,0,170586193,31
1782154467.543037,1088342.703000,166444000,5,sma_r,-0.09465000,0,170586193,31
1782154467.551701,1088342.718000,166454000,3,sma_v,0.00000000,1258,170596573,32
1782154467.552699,1088342.718000,166454000,4,sma_i,0.07998700,0,170596573,32
1782154467.553698,1088342.718000,166454000,5,sma_r,-0.10000000,0,170596573,32
1782154467.561710,1088342.718000,166464000,3,sma_v,0.00000000,1258,170606948,33
1782154467.562706,1088342.718000,166464000,4,sma_i,0.19181500,0,170606948,33
1782154467.563706,1088342.718000,166464000,5,sma_r,-0.10000000,0,170606948,33
1782154467.572681,1088342.734000,166474000,3,sma_v,0.00000000,1258,170617323,34
1782154467.572681,1088342.734000,166474000,4,sma_i,0.17823800,0,170617323,34
1782154467.573682,1088342.734000,166474000,5,sma_r,-0.10000000,0,170617323,34
1782154467.582303,1088342.750000,166484000,3,sma_v,0.00154500,1258,170627673,35
1782154467.583310,1088342.750000,166484000,4,sma_i,0.17986400,0,170627673,35
1782154467.584307,1088342.750000,166484000,5,sma_r,-0.09141200,0,170627673,35
1782154467.593308,1088342.750000,166494000,3,sma_v,0.00000000,1258,170638050,36
1782154467.594309,1088342.750000,166494000,4,sma_i,0.19287200,0,170638050,36
1782154467.595308,1088342.750000,166494000,5,sma_r,-0.10000000,0,170638050,36
1782154467.603327,1088342.765000,166504000,3,sma_v,0.00155500,1258,170648428,37
1782154467.604328,1088342.765000,166504000,4,sma_i,0.15004500,0,170648428,37
1782154467.605334,1088342.765000,166504000,5,sma_r,-0.08963500,0,170648428,37
1782154467.614124,1088342.781000,166514000,3,sma_v,0.00000000,1258,170658770,38
1782154467.614290,1088342.781000,166514000,4,sma_i,0.14160500,0,170658770,38
1782154467.615294,1088342.781000,166514000,5,sma_r,-0.10000000,0,170658770,38
1782154467.623803,1088342.781000,166524000,3,sma_v,0.00355600,1258,170669152,39
1782154467.624871,1088342.781000,166524000,4,sma_i,0.22228800,0,170669152,39
1782154467.626378,1088342.781000,166524000,5,sma_r,-0.08400400,0,170669152,39
1782154467.633972,1088342.796000,166534000,3,sma_v,0.00165400,1258,170679530,40
1782154467.634973,1088342.796000,166534000,4,sma_i,0.18504900,0,170679530,40
1782154467.636030,1088342.796000,166534000,5,sma_r,-0.09106100,0,170679530,40
1782154467.644848,1088342.812000,166544000,3,sma_v,0.00049200,1258,170689873,41
1782154467.645852,1088342.812000,166544000,4,sma_i,0.14966900,0,170689873,41
1782154467.646852,1088342.812000,166544000,5,sma_r,-0.09671300,0,170689873,41
1782154467.654852,1088342.812000,166554000,3,sma_v,0.00000000,1258,170700251,42
