t_rel_s,sma_v,sma_i,sma_r
0,0,0.155537,-0.1
0.0099999905,0,0.22846552,-0.1
0.019999981,0,0.13711157,-0.1
0.029999971,0,0.1970944,-0.1
0.039999962,0,0.21200645,-0.1
0.049999952,1.0953051e-05,0.14935366,-0.1
0.059999943,0.00029728308,0.17829408,-0.0995473
0.069999933,0.0017471308,0.19488184,-0.091642281
0.079999924,0,0.17976526,-0.098299248
0.089999914,4.2197335e-05,0.18200206,-0.1
0.099999905,0.0035057645,0.20106649,-0.086205867
0.1099999,0.00014335026,0.19476404,-0.095058805
0.11999989,0.00056763737,0.16745901,-0.097414721
0.12999988,9.0924372e-05,0.1313433,-0.098614206
0.13999987,0,0.095657833,-0.1
0.14999986,0,0.1120965,-0.1
0.15999985,0.00021461249,0.18225622,-0.099253793
0.16999984,9.9226817e-05,0.18259421,-0.099308283
0.17999983,0,0.18551419,-0.1
0.18999982,0,0.21207521,-0.1
0.19999981,0.00082132235,0.20334929,-0.097334751
0.2099998,0.0011255751,0.20184391,-0.094007809
0.21999979,0.00072640278,0.21753172,-0.096158089
0.22999978,0.00093390524,0.21658477,-0.096514644
0.23999977,0.00079193719,0.17735098,-0.094622067
0.24999976,9.2253119e-05,0.17484964,-0.099785236
0.25999975,0.00020572691,0.25100016,-0.099160016
0.26999974,0.00038060821,0.20561912,-0.098649305
0.27999973,0.0013833801,0.1796403,-0.094342523
0.28999972,0.0029916911,0.19823546,-0.086161392
0.29999971,0.0031626086,0.18448933,-0.081004237
0.3099997,0.00020419111,0.13828717,-0.099657994
0.31999969,0.00094138038,0.2015549,-0.094770035
0.32999969,0,0.081244572,-0.099555164
0.33999968,0,0.19167124,-0.1
0.34999967,2.097874e-05,0.17825799,-0.1
0.35999966,0.0014736043,0.17978777,-0.092620687
0.36999965,6.9688678e-05,0.191101,-0.098051126
0.37999964,0.0014749983,0.15652684,-0.092242764
0.38999963,0.00018902696,0.14285755,-0.097416628
0.39999962,0.0031917807,0.20658408,-0.089151003
0.40999961,0.0018710363,0.19301692,-0.088707853
0.4199996,0.00070958525,0.15955726,-0.094602792
0.42999959,0.00010034882,0.17166638,-0.098670913
0.43999958,0.0021209566,0.15229764,-0.088279272
0.44999957,0.0030667032,0.15081185,-0.079466392
0.45999956,0.0045470602,0.19944975,-0.078895263
0.46999955,0.0038941916,0.20050516,-0.079450686
0.47999954,0.0021121042,0.2014953,-0.086862769
0.48999953,0.0016857683,0.19670032,-0.091735974
0.49999952,0.0014430721,0.1728602,-0.090291034
0.50999951,0.000512338,0.19303733,-0.096215272
0.5199995,0.00054487674,0.21365945,-0.098596904
0.52999949,0.0010377748,0.21045852,-0.094947967
0.53999949,0.0004605864,0.17214974,-0.096519547
0.54999948,0.00065804925,0.19588389,-0.098220676
0.55999947,0.0024314746,0.2308011,-0.090680961
0.56999946,0.003297555,0.20467369,-0.082934474
0.57999945,0.0024896376,0.21936184,-0.089245316
0.58999944,0.0022679086,0.22539839,-0.087469743
0.59999943,0,0.22905832,-0.099533477
0.60999942,0,0.202403,-0.1
0.61999941,0.00010067279,0.25746007,-0.1
0.6299994,0.0010532813,0.2333861,-0.096098746
0.63999939,0.0011974565,0.20345258,-0.094718617
0.64999938,0.0031979319,0.20593551,-0.085584315
0.65999937,0.0006119428,0.14650816,-0.093452373
0.66999936,0.0018386632,0.16181273,-0.090679897
0.67999935,0.0005006647,0.1827472,-0.095327411
0.68999934,6.564084e-05,0.18699091,-0.099412476
0.69999933,0.0004259798,0.19925112,-0.098368775
0.70999932,0.0019192262,0.18273447,-0.09057859
0.71999931,0.00097011285,0.22463351,-0.093221278
0.7299993,0.0068278077,0.17949108,-0.063679819
0.73999929,0.0037697342,0.14697758,-0.064663113
0.74999928,0.001107337,0.1630522,-0.093606243
0.75999928,0.00078731817,0.14816323,-0.09409102
0.76999927,0.00019395264,0.16021521,-0.097709023
0.77999926,0.00026058808,0.1744102,-0.098875637
0.78999925,0.0003660407,0.16586641,-0.097534685
0.79999924,0.00014713781,0.19526446,-0.098817838
0.80999923,0.00014654464,0.20577219,-0.099581591
0.81999922,0.00049828023,0.1857875,-0.097824421
0.82999921,0.00048351608,0.19031669,-0.096896608
0.8399992,0,0.14948813,-0.1
0.84999919,0.00022972672,0.14918468,-0.099402272
0.85999918,0.00053642517,0.17077332,-0.095515079
0.86999917,0.00014361288,0.25031557,-0.099807905
0.87999916,0.0012998127,0.1969179,-0.097059944
0.88999915,0.004052693,0.23052755,-0.080268021
0.89999914,0.00011806207,0.14437288,-0.099376082
0.90999913,0.0015928463,0.16195394,-0.090777617
0.91999912,0.0015679618,0.18177371,-0.091943498
0.92999911,0.0037679284,0.21777994,-0.084753793
0.9399991,0.00021970022,0.17597424,-0.095543311
0.94999909,7.7426621e-06,0.17092502,-0.099844146
0.95999908,0.00038870186,0.21544895,-0.098653913
0.96999907,0.00090692594,0.18009917,-0.095231003
0.97999907,0.0042449722,0.13464262,-0.071462927
0.98999906,0.00094068817,0.20105808,-0.084139865
0.99999905,0,0.1877976,-0.1
1.009999,0,0.16511415,-0.1
1.019999,0.0024318111,0.18728098,-0.091488049
1.029999,0.0027464076,0.19609943,-0.084869278
