host_timestamp_s,monotonic_s,fields_json
1783440840.896824,607495.125000,"{""t_ms"":452714,""hwm"":256,""cap"":256,""dropped"":176,""dropped_total"":62531,""crc_err"":0,""crc_err_total"":0,""rate1"":420,""rate2"":424,""prod1"":436,""prod2"":421,""sma_state"":0,""m7_us"":465856298,""m4_us"":463293095,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440841.514815,607495.750000,"{""t_ms"":453774,""hwm"":256,""cap"":256,""dropped"":175,""dropped_total"":62706,""crc_err"":0,""crc_err_total"":0,""rate1"":433,""rate2"":412,""prod1"":435,""prod2"":422,""sma_state"":0,""m7_us"":466951950,""m4_us"":464389815,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440842.341798,607496.578000,"{""t_ms"":454837,""hwm"":256,""cap"":256,""dropped"":179,""dropped_total"":62885,""crc_err"":0,""crc_err_total"":0,""rate1"":428,""rate2"":413,""prod1"":431,""prod2"":424,""sma_state"":0,""m7_us"":468051461,""m4_us"":465488583,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440843.919301,607498.156000,"{""t_ms"":455898,""hwm"":256,""cap"":256,""dropped"":176,""dropped_total"":63061,""crc_err"":0,""crc_err_total"":0,""rate1"":435,""rate2"":409,""prod1"":438,""prod2"":419,""sma_state"":0,""m7_us"":469148208,""m4_us"":466590356,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440845.239965,607499.468000,"{""t_ms"":456960,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":63239,""crc_err"":0,""crc_err_total"":0,""rate1"":421,""rate2"":421,""prod1"":433,""prod2"":423,""sma_state"":0,""m7_us"":470246588,""m4_us"":467686096,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440846.630584,607500.859000,"{""t_ms"":458022,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":63417,""crc_err"":0,""crc_err_total"":0,""rate1"":420,""rate2"":422,""prod1"":422,""prod2"":434,""sma_state"":0,""m7_us"":471345597,""m4_us"":468783880,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440848.205110,607502.437000,"{""t_ms"":459083,""hwm"":256,""cap"":256,""dropped"":176,""dropped_total"":63593,""crc_err"":0,""crc_err_total"":0,""rate1"":416,""rate2"":427,""prod1"":434,""prod2"":423,""sma_state"":0,""m7_us"":472442298,""m4_us"":469881699,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440849.794758,607504.031000,"{""t_ms"":460144,""hwm"":256,""cap"":256,""dropped"":177,""dropped_total"":63770,""crc_err"":0,""crc_err_total"":0,""rate1"":433,""rate2"":410,""prod1"":429,""prod2"":427,""sma_state"":0,""m7_us"":473539979,""m4_us"":470979499,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440851.318118,607505.546000,"{""t_ms"":461206,""hwm"":256,""cap"":256,""dropped"":177,""dropped_total"":63947,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":419,""prod1"":435,""prod2"":421,""sma_state"":0,""m7_us"":474637947,""m4_us"":472077296,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440852.881571,607507.109000,"{""t_ms"":462267,""hwm"":256,""cap"":256,""dropped"":177,""dropped_total"":64124,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":420,""prod1"":434,""prod2"":423,""sma_state"":0,""m7_us"":475735516,""m4_us"":473173080,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440854.503204,607508.734000,"{""t_ms"":463329,""hwm"":256,""cap"":256,""dropped"":177,""dropped_total"":64301,""crc_err"":0,""crc_err_total"":0,""rate1"":422,""rate2"":420,""prod1"":425,""prod2"":431,""sma_state"":0,""m7_us"":476833458,""m4_us"":474271864,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440856.244372,607510.468000,"{""t_ms"":464391,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":64479,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":418,""prod1"":430,""prod2"":426,""sma_state"":0,""m7_us"":477931960,""m4_us"":475371667,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440857.978470,607512.203000,"{""t_ms"":465455,""hwm"":256,""cap"":256,""dropped"":179,""dropped_total"":64658,""crc_err"":0,""crc_err_total"":0,""rate1"":411,""rate2"":430,""prod1"":419,""prod2"":436,""sma_state"":0,""m7_us"":479032332,""m4_us"":476471464,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440859.936430,607514.171000,"{""t_ms"":466517,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":64836,""crc_err"":0,""crc_err_total"":0,""rate1"":423,""rate2"":419,""prod1"":421,""prod2"":435,""sma_state"":0,""m7_us"":480130381,""m4_us"":477569248,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440862.106355,607516.343000,"{""t_ms"":467578,""hwm"":256,""cap"":256,""dropped"":175,""dropped_total"":65011,""crc_err"":0,""crc_err_total"":0,""rate1"":421,""rate2"":423,""prod1"":428,""prod2"":428,""sma_state"":0,""m7_us"":481227199,""m4_us"":478667016,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440864.513442,607518.750000,"{""t_ms"":468640,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":65189,""crc_err"":0,""crc_err_total"":0,""rate1"":419,""rate2"":423,""prod1"":429,""prod2"":427,""sma_state"":0,""m7_us"":482325534,""m4_us"":479763816,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440866.633675,607520.859000,"{""t_ms"":469701,""hwm"":256,""cap"":256,""dropped"":177,""dropped_total"":65366,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":420,""prod1"":438,""prod2"":419,""sma_state"":0,""m7_us"":483422823,""m4_us"":480862542,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783440868.583851,607522.812000,"{""t_ms"":470763,""hwm"":256,""cap"":256,""dropped"":178,""dropped_total"":65544,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":418,""prod1"":433,""prod2"":423,""sma_state"":0,""m7_us"":484521808,""m4_us"":481959304,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441170.723671,607824.953000,"{""t_ms"":105698,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":13982,""crc_err"":0,""crc_err_total"":0,""rate1"":429,""rate2"":421,""prod1"":429,""prod2"":434,""sma_state"":0,""m7_us"":107492094,""m4_us"":104917873,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
