frame_idx,host_timestamp_s,monotonic_s,cycle_idx,mode,rel_path,laser_mm
0,1783441169.941850,607824.062000,0,snap,snapshots/cyc00_607824062.jpg,-2.1447
1,1783441169.951360,607824.062000,0,fast,cycle_00/000000.jpg,-2.1447
2,1783441170.036003,607824.187000,0,fast,cycle_00/000001.jpg,-2.1457
3,1783441170.140624,607824.265000,0,fast,cycle_00/000002.jpg,-2.1457
4,1783441170.230051,607824.375000,0,fast,cycle_00/000003.jpg,-2.1449
5,1783441170.345619,607824.453000,0,fast,cycle_00/000004.jpg,-2.1443
6,1783441170.437475,607824.578000,0,fast,cycle_00/000005.jpg,-2.1429
7,1783441170.533546,607824.671000,0,fast,cycle_00/000006.jpg,-2.1423
8,1783441170.636169,607824.765000,0,fast,cycle_00/000007.jpg,-2.1412
9,1783441170.842113,607824.859000,0,fast,cycle_00/000008.jpg,-2.1401
10,1783441171.732039,607825.875000,0,heartbeat,cycle_00/000009.jpg,-2.1312
11,1783441172.745459,607826.875000,0,heartbeat,cycle_00/000010.jpg,-2.1288
12,1783441173.429195,607827.562000,1,snap,snapshots/cyc01_607827562.jpg,-2.1303
13,1783441173.434203,607827.562000,1,fast,cycle_01/000000.jpg,-2.1303
14,1783441173.539626,607827.671000,1,fast,cycle_01/000001.jpg,-2.1297
15,1783441173.644138,607827.765000,1,fast,cycle_01/000002.jpg,-2.1288
16,1783441173.731980,607827.875000,1,fast,cycle_01/000003.jpg,-2.1284
17,1783441173.840014,607827.968000,1,fast,cycle_01/000004.jpg,-2.1268
18,1783441173.942353,607828.078000,1,fast,cycle_01/000005.jpg,-2.1255
19,1783441174.036635,607828.171000,1,fast,cycle_01/000006.jpg,-2.1244
20,1783441174.133632,607828.265000,1,fast,cycle_01/000007.jpg,-2.1233
21,1783441174.235026,607828.359000,1,fast,cycle_01/000008.jpg,-2.1221
22,1783441174.349147,607828.468000,1,fast,cycle_01/000009.jpg,-2.1206
23,1783441175.337520,607829.468000,1,heartbeat,cycle_01/000010.jpg,-2.1145
24,1783441176.347663,607830.468000,1,heartbeat,cycle_01/000011.jpg,-2.1161
25,1783441177.343529,607831.468000,1,heartbeat,cycle_01/000012.jpg,-2.1279
26,1783441178.348424,607832.468000,1,heartbeat,cycle_01/000013.jpg,-2.1341
27,1783441179.332114,607833.468000,1,heartbeat,cycle_01/000014.jpg,-2.1372
28,1783441180.348238,607834.468000,1,heartbeat,cycle_01/000015.jpg,-2.1429
29,1783441181.367872,607835.468000,1,heartbeat,cycle_01/000016.jpg,-2.1461
30,1783441182.346068,607836.468000,1,heartbeat,cycle_01/000017.jpg,-2.1510
31,1783441183.352016,607837.468000,1,heartbeat,cycle_01/000018.jpg,-2.1538
32,1783441184.347047,607838.468000,1,heartbeat,cycle_01/000019.jpg,-2.1505
33,1783441185.357301,607839.468000,1,heartbeat,cycle_01/000020.jpg,-2.1508
34,1783441186.340373,607840.468000,1,heartbeat,cycle_01/000021.jpg,-2.1505
35,1783441187.354508,607841.468000,1,heartbeat,cycle_01/000022.jpg,-2.1442
36,1783441188.342190,607842.484000,1,heartbeat,cycle_01/000023.jpg,-2.1359
37,1783441189.352303,607843.484000,1,heartbeat,cycle_01/000024.jpg,-2.1469
38,1783441190.451795,607844.562000,1,heartbeat,cycle_01/000025.jpg,-2.1704
39,1783441191.445377,607845.578000,1,heartbeat,cycle_01/000026.jpg,-2.1756
40,1783441192.558872,607846.671000,1,heartbeat,cycle_01/000027.jpg,-2.1920
41,1783441193.549037,607847.671000,1,heartbeat,cycle_01/000028.jpg,-2.2210
42,1783441194.559881,607848.671000,1,heartbeat,cycle_01/000029.jpg,-2.2265
43,1783441195.561561,607849.671000,1,heartbeat,cycle_01/000030.jpg,-2.2208
44,1783441196.555787,607850.687000,1,heartbeat,cycle_01/000031.jpg,-2.2047
45,1783441197.651957,607851.781000,1,heartbeat,cycle_01/000032.jpg,-2.2106
