host_timestamp_s,monotonic_s,kind,detail
1783533257.168440,699909.546000,session,start console_20260708_135416
1783534052.446082,700704.828000,arm,arm
1783534052.447084,700704.828000,cmd,idle 0.5
1783534066.757422,700719.140000,disarm,disarm
1783534070.713190,700723.093000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1783534072.713133,700725.093000,disarm,disarm
1783534072.775629,700725.156000,disarm,disarm
1783534072.837513,700725.218000,disarm,disarm
1783534072.899742,700725.281000,disarm,disarm
1783534072.976978,700725.359000,disarm,disarm
1783534073.024165,700725.406000,disarm,disarm
1783534073.098379,700725.484000,disarm,disarm
1783534073.164830,700725.546000,disarm,disarm
1783534073.197881,700725.578000,reconnect,H7 restart requested
1783534074.293236,700726.671000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1783534076.295649,700728.671000,disarm,disarm
1783534076.355438,700728.734000,disarm,disarm
1783534076.417925,700728.796000,disarm,disarm
1783534076.480531,700728.859000,disarm,disarm
1783534076.543904,700728.921000,disarm,disarm
1783534076.605519,700728.984000,disarm,disarm
1783534076.666654,700729.046000,disarm,disarm
1783534076.729924,700729.109000,disarm,disarm
1783534076.790819,700729.171000,disarm,disarm
1783534076.853615,700729.234000,disarm,disarm
1783534076.915414,700729.296000,disarm,disarm
1783534076.977223,700729.359000,disarm,disarm
1783534077.052623,700729.437000,disarm,disarm
1783534077.108361,700729.484000,disarm,disarm
1783534077.169009,700729.546000,disarm,disarm
1783534077.241341,700729.625000,disarm,disarm
1783534077.293993,700729.671000,disarm,disarm
1783534077.364980,700729.750000,disarm,disarm
1783534077.415477,700729.796000,disarm,disarm
1783534077.490276,700729.875000,disarm,disarm
1783534077.546442,700729.921000,disarm,disarm
1783534077.615536,700730.000000,disarm,disarm
1783534077.669056,700730.046000,disarm,disarm
1783534077.736765,700730.125000,disarm,disarm
1783534077.792824,700730.171000,disarm,disarm
1783534077.862601,700730.250000,disarm,disarm
1783534077.922325,700730.296000,disarm,disarm
1783534077.984303,700730.359000,disarm,disarm
1783534078.054197,700730.437000,disarm,disarm
1783534078.114604,700730.500000,disarm,disarm
1783534078.169215,700730.546000,disarm,disarm
1783534078.228564,700730.609000,disarm,disarm
1783534078.297305,700730.671000,disarm,disarm
1783534078.391032,700730.765000,disarm,disarm
1783534078.433732,700730.812000,disarm,disarm
1783534078.484843,700730.859000,disarm,disarm
1783534078.542062,700730.921000,disarm,disarm
1783534078.617285,700731.000000,disarm,disarm
1783534078.668645,700731.046000,disarm,disarm
1783534078.739308,700731.125000,disarm,disarm
1783534083.449292,700735.828000,arm,arm
1783534083.449292,700735.828000,cmd,idle 0.5
1783534111.134946,700763.515000,reconnect,camera reconfigured
1783534130.878169,700783.265000,session,recording start
1783534130.887194,700783.265000,camera,video recording start
1783534145.445770,700797.828000,session,recording stop
1783534145.445770,700797.828000,camera,video recording stop (30 frames)
1783534147.101707,700799.484000,warn,H7 silent 1.5s — no new samples (critical; other instruments still recording)
1783534148.846260,700801.234000,disarm,disarm
1783534149.702185,700802.078000,disarm,disarm
1783534150.051279,700802.437000,disarm,disarm
1783534150.262549,700802.640000,disarm,disarm
1783534151.205516,700803.593000,baseline,start probe_v=0.5 dur=2s
1783534151.219584,700803.593000,arm,arm
1783534151.221151,700803.609000,cmd,idle 0.5
1783534153.565533,700805.953000,disarm,disarm
1783534153.565533,700805.953000,baseline,done cold_R=—ohm laser=4.227V load=-2.355V load_offset=-2.355 warn=1
1783534168.097627,700820.484000,arm,arm
1783534168.172894,700820.546000,cmd,idle 0.5
1783534174.583750,700826.968000,baseline,start probe_v=0.5 dur=2s
1783534174.658778,700827.046000,arm,arm
1783534174.736795,700827.125000,cmd,idle 0.5
1783534177.080885,700829.468000,disarm,disarm
1783534177.088581,700829.468000,baseline,done cold_R=—ohm laser=4.227V load=-2.359V load_offset=-2.359 warn=1
1783534194.346106,700846.734000,warn,H7 silent 1.1s — no new samples (critical; other instruments still recording)
1783534196.533707,700848.921000,disarm,disarm
1783534197.003380,700849.390000,disarm,disarm
1783534197.317234,700849.703000,disarm,disarm
1783534197.784971,700850.171000,disarm,disarm
1783534198.097535,700850.484000,disarm,disarm
1783534198.331146,700850.718000,disarm,disarm
1783534198.643188,700851.031000,disarm,disarm
1783534199.034427,700851.421000,disarm,disarm
1783534199.268557,700851.656000,disarm,disarm
1783534199.580797,700851.968000,disarm,disarm
1783534200.004779,700852.390000,disarm,disarm
1783534200.519195,700852.906000,disarm,disarm
1783534201.300229,700853.687000,disarm,disarm
1783534201.612033,700854.000000,reconnect,H7 restart requested
1783534202.744841,700855.125000,warn,H7 silent 1.1s — no new samples (critical; other instruments still recording)
1783534209.346132,700861.734000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1783534220.284407,700872.671000,disarm,disarm
1783534220.663078,700873.046000,session,end complete
