t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
0,-3928.633,0.21330009,0.512178,0.114371,4.378207,79.999979
0.0099999905,-3925.2147,0.21318491,0.51293046,0.11502479,4.3645988,79.999979
0.019999981,-3925.4011,0.21349216,0.51475856,0.11661318,4.3266184,79.999979
0.029999971,-3925.2481,0.2135935,0.51658666,0.11820157,4.288638,79.999979
0.039999962,-3925.2481,0.21327958,0.51841477,0.11978996,4.2506575,79.999979
0.049999952,-3924.3302,0.21382059,0.52024287,0.12137835,4.2126771,79.999979
0.059999943,-3925.4044,0.21294188,0.52207097,0.12296674,4.1746967,79.999979
0.069999933,-3922.8254,0.21334803,0.52389907,0.12455513,4.1367163,79.999979
0.079999924,-3924.1958,0.21363889,0.52572718,0.12614352,4.0987359,79.999979
0.089999914,-3923.5631,0.21352215,0.52755528,0.12773191,4.0607555,79.999979
0.099999905,-3919.4996,0.21320744,0.52938338,0.1293203,4.0227751,79.999979
0.1099999,-3922.4864,0.21375942,0.53121148,0.13090869,3.9847947,79.999979
0.11999989,-3918.0316,0.21368472,0.53303959,0.13249708,3.9468142,79.999979
0.12999988,-3915.7602,0.21346488,0.53486769,0.13408547,3.9088338,79.999979
0.13999987,-3914.8725,0.21395617,0.53669579,0.13567386,3.8708534,79.999979
0.14999986,-3914.5931,0.21361257,0.53852389,0.13726225,3.832873,79.999979
0.15999985,-3914.5931,0.21337932,0.5399317,0.13870878,3.7948926,79.999979
0.16999984,-3914.8165,0.21350446,0.53627153,0.13844476,3.7749148,79.999979
0.17999983,-3914.0404,0.21371178,0.53261137,0.13818074,3.7553667,79.999979
0.18999982,-3908.8949,0.2140309,0.5289512,0.13791672,3.7358187,79.999979
0.19999981,-3910.5714,0.21364075,0.52529103,0.13765271,3.7162706,79.999979
0.2099998,-3911.5541,0.21364075,0.52163086,0.13738869,3.6967226,79.999979
0.21999979,-3910.1589,0.21439092,0.51797069,0.13712467,3.6771745,79.999979
0.22999978,-3910.0271,0.21401858,0.51431052,0.13686065,3.6576265,79.999979
0.23999977,-3906.6332,0.21360105,0.51065035,0.13659663,3.6380784,79.999979
0.24999976,-3906.2313,0.21479758,0.50699018,0.13633261,3.6185304,79.999979
0.25999975,-3910.1475,0.21449372,0.50333001,0.13606859,3.5989824,79.999979
0.26999974,-3906.9804,0.2138527,0.49966985,0.13580457,3.5794343,79.999979
0.27999973,-3905.0671,0.21425248,0.49600968,0.13554055,3.5598863,79.999979
0.28999972,-3905.0671,0.21406352,0.49234951,0.13527653,3.5403382,79.999979
0.29999971,-3906.6482,0.21413455,0.48868934,0.13501252,3.5207902,79.999979
0.3099997,-3903.6397,0.21397149,0.4879291,0.13561764,3.4990783,79.999979
0.31999969,-3902.5507,0.21410316,0.48925957,0.13699852,3.475435,79.999979
0.32999969,-3902.4082,0.21454448,0.49059003,0.1383794,3.4517917,79.999979
0.33999968,-3902.8324,0.2141539,0.4919205,0.13976029,3.4281485,79.999979
0.34999967,-3904.4364,0.2142447,0.49325097,0.14114117,3.4045052,79.999979
0.35999966,-3901.9342,0.21429846,0.49458144,0.14252205,3.3808619,79.999979
0.36999965,-3898.5082,0.2143078,0.4959119,0.14390294,3.3572187,79.999979
0.37999964,-3897.9425,0.21416481,0.49724237,0.14528382,3.3335754,79.999979
0.38999963,-3897.4081,0.21384013,0.49857284,0.14666471,3.3099321,79.999979
0.39999962,-3899.5064,0.21439102,0.49990331,0.14804559,3.2862889,79.999979
0.40999961,-3899.1565,0.21476679,0.50123377,0.14942647,3.2626456,79.999979
0.4199996,-3898.84,0.21474399,0.50256424,0.15080736,3.2390023,79.999979
0.42999959,-3896.1285,0.21436627,0.50389471,0.15218824,3.2153591,79.999979
0.43999958,-3897.1019,0.21391698,0.50522857,0.15356912,3.1917158,79.999979
0.44999957,-3893.1566,0.21447785,0.50678329,0.15321864,3.2053387,79.999979
0.45999956,-3891.4613,0.21460481,0.50833801,0.15269602,3.2280603,79.999979
0.46999955,-3893.7504,0.21454789,0.50989273,0.15217339,3.2507819,79.999979
0.47999954,-3895.5295,0.2145335,0.51144745,0.15165077,3.2735035,79.999979
0.48999953,-3893.6698,0.21502138,0.51300217,0.15112815,3.2962251,79.999979
0.49999952,-3891.9493,0.21461136,0.51455689,0.15060553,3.3189467,79.999979
0.50999951,-3890.9101,0.21412924,0.51611161,0.15008291,3.3416683,79.999979
0.5199995,-3892.8669,0.21444849,0.51766633,0.14956028,3.36439,79.999979
0.52999949,-3892.465,0.21455657,0.51922105,0.14903766,3.3871116,79.999979
0.53999949,-3891.1544,0.21478899,0.52077576,0.14851504,3.4098332,79.999979
0.54999948,-3888.4388,0.21433148,0.52233048,0.14799242,3.4325548,79.999979
0.55999947,-3889.3162,0.21463229,0.5238852,0.14746979,3.4552764,79.999979
0.56999946,-3887.6425,0.2146477,0.52543992,0.14694717,3.477998,79.999979
0.57999945,-3889.0204,0.21516881,0.52699464,0.14642455,3.5007196,79.999979
0.58999944,-3887.6681,0.21477323,0.52854936,0.14590193,3.5234413,79.999979
0.59999943,-3886.5525,0.21506545,0.53010408,0.1453793,3.5461629,79.999979
0.60999942,-3887.6001,0.21366767,0.53158187,0.14485668,3.5688845,79.999979
0.61999941,-3884.454,0.21505328,0.53139812,0.14385394,3.5963885,79.999979
0.6299994,-3882.6465,0.2146542,0.53121437,0.14280188,3.6243837,79.999979
0.63999939,-3882.5003,0.21495225,0.53103062,0.14174982,3.6523789,79.999979
0.64999938,-3882.9744,0.21526704,0.53084687,0.14069776,3.6803742,79.999979
0.65999937,-3880.2235,0.21498732,0.53066313,0.1396457,3.7083694,79.999979
0.66999936,-3881.2767,0.21512748,0.53047938,0.13859365,3.7363646,79.999979
0.67999935,-3879.862,0.21425139,0.53029563,0.13754159,3.7643599,79.999979
0.68999934,-3878.4176,0.21460077,0.53011188,0.13648953,3.7923551,79.999979
0.69999933,-3879.9286,0.21429939,0.52992813,0.13543747,3.8203503,79.999979
0.70999932,-3875.8425,0.2147285,0.52974438,0.13438541,3.8483456,79.999979
0.71999931,-3875.0152,0.21484725,0.52956063,0.13333335,3.8763408,79.999979
0.7299993,-3875.8717,0.2146357,0.52937688,0.13228129,3.904336,79.999979
0.73999929,-3877.3313,0.21507166,0.52919313,0.13122923,3.9323313,79.999979
0.74999928,-3873.6734,0.21517824,0.52900939,0.13017717,3.9603265,79.999979
0.75999928,-3874.326,0.21504058,0.52790957,0.12978609,3.9692361,79.999979
0.76999927,-3874.6109,0.2144685,0.52662825,0.12963375,3.9639655,79.999979
0.77999926,-3874.8838,0.21469259,0.52534693,0.12948142,3.9586949,79.999979
0.78999925,-3874.1484,0.21501113,0.52406561,0.12932908,3.9534243,79.999979
