cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_peak_ohm,dR_peak_ohm,dR_peak_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.32346,nan,nan,5.16512,nan,19.4672,4.27601,0.989024,-0.0137685,0.0154678,0.740591,0.0135179,4.25597,3.63361,0.789174
2,3.31086,4.32346,4.33559,1.00281,4.74608,0.410488,9.77496,4.23248,0.978956,-0.00012997,0.0152882,0.137826,0.00803915,3.69068,3.18714,-0.239652
3,6.67311,4.32346,4.35568,1.00745,4.60611,0.250424,6.53751,4.34575,1.00516,0.00738175,0.0187178,0.178843,0.00559795,3.68749,3.21516,0.0162836
4,10.3021,4.32346,4.42146,1.02267,4.60815,0.186695,6.58478,4.31672,0.99844,0.0111873,0.0192822,0.186566,0.00174067,3.80196,3.21643,0.107616
5,13.62,4.32346,4.27347,0.988437,4.77995,0.506482,10.5584,4.28817,0.991837,0.0120069,0.0188447,0.131475,0.00262956,3.79403,3.39508,0.186758
6,16.9251,4.32346,4.32245,0.999767,5.01095,0.688496,15.9013,4.34304,1.00453,0.0137873,0.0192082,0.135188,0.00157442,3.63039,3.17832,-0.11274
7,20.3533,4.32346,4.2802,0.989995,4.27386,-0.0063397,-1.14715,4.1638,0.963071,0.0139213,0.136871,0.258724,0.0867906,4.36271,3.19236,1.70695
8,24.4641,4.32346,4.08705,0.945318,4.25185,0.164805,-1.6563,4.23718,0.980044,0.0889715,0.0306999,0.15784,-0.010197,3.82462,3.32381,0.0333266
9,27.6214,4.32346,4.28562,0.991247,4.43662,0.150999,2.61727,4.27794,0.98947,0.0778594,0.0293153,0.127772,-0.000834794,3.90081,3.43105,-0.0505675
10,31.3355,4.32346,4.2775,0.98937,4.75615,0.478649,10.008,4.20033,0.97152,0.0731358,0.0281836,0.169679,-0.000889316,3.90538,3.37185,-0.0573721
