host_timestamp_s,monotonic_s,position_mm
1783958620.733324,1125263.828000,79.999979
1783958620.753881,1125263.859000,79.999979
1783958620.774379,1125263.875000,79.999979
1783958620.795974,1125263.890000,79.999979
1783958620.816304,1125263.921000,79.999979
1783958620.836683,1125263.937000,79.999979
1783958620.858549,1125263.953000,79.999979
1783958620.879049,1125263.984000,79.999979
1783958620.899323,1125264.000000,79.999979
1783958620.919606,1125264.015000,79.999979
1783958620.940819,1125264.046000,79.999979
1783958620.961417,1125264.062000,79.999979
1783958620.983827,1125264.078000,79.999979
1783958621.004359,1125264.109000,79.999979
1783958621.024775,1125264.125000,79.999979
1783958621.045249,1125264.140000,79.999979
1783958621.066192,1125264.171000,79.999979
1783958621.086636,1125264.187000,79.999979
1783958621.106883,1125264.203000,79.999979
1783958621.126948,1125264.234000,79.999979
1783958621.147177,1125264.250000,79.999979
1783958621.169490,1125264.265000,79.999979
1783958621.190448,1125264.296000,79.999979
1783958621.210971,1125264.312000,79.999979
1783958621.231333,1125264.328000,79.999979
1783958621.251518,1125264.343000,79.999979
1783958621.272706,1125264.375000,79.999979
1783958621.293178,1125264.390000,79.999979
1783958621.314927,1125264.421000,79.999979
1783958621.335107,1125264.437000,79.999979
1783958621.355321,1125264.453000,79.999979
1783958621.377012,1125264.484000,79.999979
1783958621.397655,1125264.500000,79.999979
1783958621.417907,1125264.515000,79.999979
1783958621.438779,1125264.531000,79.999979
1783958621.459621,1125264.562000,79.999979
1783958621.479778,1125264.578000,79.999979
1783958621.500244,1125264.593000,79.999979
1783958621.520701,1125264.625000,79.999979
1783958621.542071,1125264.640000,79.999979
1783958621.565454,1125264.671000,79.999979
1783958621.585519,1125264.687000,79.999979
1783958621.605936,1125264.703000,79.999979
1783958621.627441,1125264.734000,79.999979
1783958621.647889,1125264.750000,79.999979
1783958621.668355,1125264.765000,79.999979
1783958621.690174,1125264.796000,79.999979
1783958621.710751,1125264.812000,79.999979
1783958621.731258,1125264.828000,79.999979
1783958621.751714,1125264.843000,79.999979
1783958621.772106,1125264.875000,79.999979
1783958621.792631,1125264.890000,79.999979
1783958621.813114,1125264.906000,79.999979
1783958621.833637,1125264.937000,79.999979
1783958621.853925,1125264.953000,79.999979
1783958621.875785,1125264.968000,79.999979
1783958621.895950,1125265.000000,79.999979
1783958621.916380,1125265.015000,79.999979
1783958621.936554,1125265.031000,79.999979
1783958621.957625,1125265.062000,79.999979
1783958621.978137,1125265.078000,79.999979
1783958622.000798,1125265.093000,79.999979
1783958622.021283,1125265.125000,79.999979
1783958622.044540,1125265.140000,79.999979
1783958622.068676,1125265.171000,79.999979
1783958622.089221,1125265.187000,79.999979
1783958622.110300,1125265.203000,79.999979
1783958622.130424,1125265.234000,79.999979
1783958622.150871,1125265.250000,79.999979
1783958622.172230,1125265.265000,79.999979
1783958622.192680,1125265.296000,79.999979
1783958622.213287,1125265.312000,79.999979
1783958622.233493,1125265.328000,79.999979
1783958622.254524,1125265.359000,79.999979
1783958622.275353,1125265.375000,79.999979
1783958622.295437,1125265.390000,79.999979
1783958622.316066,1125265.421000,79.999979
1783958622.336194,1125265.437000,79.999979
1783958622.356638,1125265.453000,79.999979
1783958622.378719,1125265.484000,79.999979
1783958622.399208,1125265.500000,79.999979
1783958622.419717,1125265.515000,79.999979
1783958622.441344,1125265.546000,79.999979
1783958622.462119,1125265.562000,79.999979
1783958622.482341,1125265.578000,79.999979
1783958622.502506,1125265.609000,79.999979
1783958622.522952,1125265.625000,79.999979
1783958622.543070,1125265.640000,79.999979
1783958622.563679,1125265.656000,79.999979
1783958622.583810,1125265.687000,79.999979
1783958622.603925,1125265.703000,79.999979
1783958622.624689,1125265.718000,79.999979
1783958622.645245,1125265.750000,79.999979
1783958622.665611,1125265.765000,79.999979
1783958622.686343,1125265.781000,79.999979
1783958622.707165,1125265.812000,79.999979
1783958622.727611,1125265.828000,79.999979
1783958622.750451,1125265.843000,79.999979
1783958622.770744,1125265.875000,79.999979
1783958622.790859,1125265.890000,79.999979
1783958622.811469,1125265.906000,79.999979
1783958622.831814,1125265.937000,79.999979
1783958622.852247,1125265.953000,79.999979
1783958622.872393,1125265.968000,79.999979
1783958622.893170,1125266.000000,79.999979
1783958622.915010,1125266.015000,79.999979
1783958622.937911,1125266.031000,79.999979
1783958622.958481,1125266.062000,79.999979
1783958622.978981,1125266.078000,79.999979
1783958623.002384,1125266.109000,79.999979
1783958623.023274,1125266.125000,79.999979
1783958623.043803,1125266.140000,79.999979
1783958623.064535,1125266.171000,79.999979
1783958623.084692,1125266.187000,79.999979
1783958623.104927,1125266.203000,79.999979
1783958623.126192,1125266.218000,79.999979
1783958623.146594,1125266.250000,79.999979
1783958623.167021,1125266.265000,79.999979
1783958623.187798,1125266.281000,79.999979
1783958623.208200,1125266.312000,79.999979
1783958623.228347,1125266.328000,79.999979
1783958623.248771,1125266.343000,79.999979
1783958623.269562,1125266.375000,79.999979
1783958623.289747,1125266.390000,79.999979
1783958623.310695,1125266.406000,79.999979
1783958623.331666,1125266.437000,79.999979
1783958623.352125,1125266.453000,79.999979
1783958623.373511,1125266.468000,79.999979
1783958623.394246,1125266.500000,79.999979
1783958623.414634,1125266.515000,79.999979
1783958623.436440,1125266.531000,79.999979
1783958623.457181,1125266.562000,79.999979
1783958623.477477,1125266.578000,79.999979
1783958623.497772,1125266.593000,79.999979
1783958623.518416,1125266.625000,79.999979
1783958623.539640,1125266.640000,79.999979
1783958623.560514,1125266.656000,79.999979
1783958623.580620,1125266.687000,79.999979
1783958623.600716,1125266.703000,79.999979
1783958623.622846,1125266.718000,79.999979
1783958623.643331,1125266.750000,79.999979
1783958623.663409,1125266.765000,79.999979
1783958623.684427,1125266.781000,79.999979
1783958623.704873,1125266.796000,79.999979
1783958623.725233,1125266.828000,79.999979
1783958623.745945,1125266.843000,79.999979
1783958623.767089,1125266.859000,79.999979
