t_rel_s,displacement_um,force_N,stage_mm
0,-4959.9495,0.21622632,79.999979
0.0099999905,-4959.9495,0.21622632,79.999979
0.019999981,-4960.4219,0.21580108,79.999979
0.029999971,-4960.0841,0.21496544,79.999979
0.039999962,-4956.9142,0.21547089,79.999979
0.049999952,-4956.7365,0.21575822,79.999979
0.059999943,-4959.2525,0.21580843,79.999979
0.069999933,-4959.5665,0.21635395,79.999979
0.079999924,-4960.5994,0.21681937,79.999979
0.089999914,-4958.8222,0.21593074,79.999979
0.099999905,-4958.7784,0.21655335,79.999979
0.1099999,-4957.3059,0.21553392,79.999979
0.11999989,-4960.5077,0.21618557,79.999979
0.12999988,-4960.4892,0.21661079,79.999979
0.13999987,-4960.4706,0.21661079,79.999979
0.14999986,-4958.1405,0.21603696,79.999979
0.15999985,-4960.7478,0.21648468,79.999979
0.16999984,-4957.7317,0.21623833,79.999979
0.17999983,-4959.9595,0.21596307,79.999979
0.18999982,-4960.4623,0.21574023,79.999979
0.19999981,-4960.965,0.21542279,79.999979
0.2099998,-4957.9156,0.21551453,79.999979
0.21999979,-4960.1863,0.21590712,79.999979
0.22999978,-4959.3971,0.21578753,79.999979
0.23999977,-4958.921,0.21628439,79.999979
0.24999976,-4958.921,0.21641454,79.999979
0.25999975,-4959.0262,0.21641454,79.999979
0.26999974,-4957.9608,0.21586014,79.999979
0.27999973,-4960.3935,0.2169094,79.999979
0.28999972,-4959.0386,0.21579091,79.999979
0.29999971,-4959.0861,0.21540945,79.999979
0.3099997,-4960.8294,0.21637474,79.999979
0.31999969,-4960.6864,0.21637474,79.999979
0.32999969,-4956.9328,0.21580753,79.999979
0.33999968,-4957.7277,0.21533708,79.999979
0.34999967,-4960.9941,0.21493388,79.999979
0.35999966,-4958.2412,0.21692812,79.999979
0.36999965,-4958.3562,0.21571878,79.999979
0.37999964,-4957.409,0.21548414,79.999979
0.38999963,-4957.1729,0.21543462,79.999979
0.39999962,-4957.4216,0.2156581,79.999979
0.40999961,-4958.8713,0.21597722,79.999979
0.4199996,-4958.7992,0.21690142,79.999979
0.42999959,-4958.9808,0.2169587,79.999979
0.43999958,-4957.3132,0.21631707,79.999979
0.44999957,-4957.0276,0.2156865,79.999979
0.45999956,-4958.7976,0.21568579,79.999979
0.46999955,-4957.9719,0.21622648,79.999979
0.47999954,-4957.9819,0.21549731,79.999979
0.48999953,-4958.2295,0.2166605,79.999979
0.49999952,-4957.5299,0.21626961,79.999979
0.50999951,-4956.8303,0.21585957,79.999979
0.5199995,-4961.2452,0.21514769,79.999979
0.52999949,-4956.9558,0.21619485,79.999979
0.53999949,-4957.957,0.21568174,79.999979
0.54999948,-4956.9934,0.21564087,79.999979
0.55999947,-4957.2416,0.21627886,79.999979
0.56999946,-4957.4177,0.21673239,79.999979
0.57999945,-4957.5272,0.21592953,79.999979
0.58999944,-4958.0552,0.21564666,79.999979
0.59999943,-4958.0552,0.21566739,79.999979
0.60999942,-4960.4705,0.21582733,79.999979
0.61999941,-4958.1523,0.21546605,79.999979
0.6299994,-4958.322,0.21533145,79.999979
0.63999939,-4959.4728,0.21524014,79.999979
0.64999938,-4958.3163,0.21653011,79.999979
0.65999937,-4958.173,0.216456,79.999979
0.66999936,-4957.8864,0.21567999,79.999979
0.67999935,-4957.2746,0.21598331,79.999979
0.68999934,-4957.9607,0.21631962,79.999979
0.69999933,-4958.4168,0.21662937,79.999979
0.70999932,-4957.5552,0.21647666,79.999979
0.71999931,-4959.2215,0.21518132,79.999979
0.7299993,-4960.037,0.21618899,79.999979
0.73999929,-4958.0165,0.21603988,79.999979
0.74999928,-4958.3229,0.21612929,79.999979
0.75999928,-4958.6294,0.21621871,79.999979
0.76999927,-4960.3224,0.21574629,79.999979
0.77999926,-4957.8353,0.21650799,79.999979
0.78999925,-4959.7658,0.21565709,79.999979
0.79999924,-4958.1172,0.21526088,79.999979
0.80999923,-4959.0767,0.21525287,79.999979
0.81999922,-4960.0362,0.21525287,79.999979
0.82999921,-4957.6197,0.21487505,79.999979
0.8399992,-4958.7968,0.21612926,79.999979
0.84999919,-4960.492,0.21590818,79.999979
0.85999918,-4957.7521,0.21625362,79.999979
0.86999917,-4959.988,0.21600047,79.999979
0.87999916,-4960.6781,0.21555221,79.999979
0.88999915,-4959.5378,0.21638542,79.999979
0.89999914,-4957.4388,0.21578135,79.999979
0.90999913,-4958.3566,0.21669809,79.999979
0.91999912,-4957.9202,0.21543389,79.999979
0.92999911,-4957.1157,0.21569535,79.999979
0.9399991,-4958.8482,0.21562534,79.999979
0.94999909,-4960.4763,0.21583673,79.999979
0.95999908,-4960.7288,0.21604813,79.999979
0.96999907,-4957.2106,0.21585916,79.999979
0.97999907,-4957.8762,0.21603065,79.999979
0.98999906,-4961.1086,0.2166751,79.999979
0.99999905,-4959.3319,0.21585447,79.999979
1.009999,-4960.1455,0.21532732,79.999979
1.019999,-4960.686,0.21480018,79.999979
1.029999,-4959.9512,0.2149853,79.999979
1.039999,-4959.1279,0.21605221,79.999979
1.049999,-4957.1002,0.21653205,79.999979
1.059999,-4958.4464,0.21633507,79.999979
1.069999,-4958.9577,0.21609453,79.999979
1.079999,-4959.8679,0.21622741,79.999979
1.089999,-4957.0773,0.21589605,79.999979
1.099999,-4958.2417,0.21599564,79.999979
1.1099989,-4960.1688,0.2151063,79.999979
1.1199989,-4958.2005,0.21557789,79.999979
1.1299989,-4960.164,0.21494104,79.999979
1.1399989,-4958.9125,0.21470227,79.999979
1.1499989,-4958.1175,0.21501975,79.999979
1.1599989,-4958.4035,0.2154728,79.999979
1.1699989,-4958.0183,0.21600586,79.999979
1.1799989,-4957.2198,0.21539456,79.999979
1.1899989,-4957.764,0.21546994,79.999979
1.1999989,-4958.8569,0.21616835,79.999979
1.2099988,-4959.4879,0.21596763,79.999979
1.2199988,-4958.7271,0.21504586,79.999979
1.2299988,-4960.6053,0.21548982,79.999979
1.2399988,-4958.0264,0.21576821,79.999979
1.2499988,-4959.3242,0.21558369,79.999979
1.2599988,-4960.3368,0.2156363,79.999979
1.2699988,-4960.4919,0.21571839,79.999979
1.2799988,-4956.8519,0.21554912,79.999979
1.2899988,-4960.1323,0.2164515,79.999979
1.2999988,-4957.788,0.21620475,79.999979
1.3099988,-4958.2754,0.21619073,79.999979
1.3199987,-4957.4647,0.21619073,79.999979
1.3299987,-4956.8137,0.21619073,79.999979
1.3399987,-4960.6839,0.21625842,79.999979
1.3499987,-4956.9026,0.21617162,79.999979
1.3599987,-4957.4648,0.21602197,79.999979
1.3699987,-4959.1117,0.21614378,79.999979
1.3799987,-4957.0554,0.21555902,79.999979
1.3899987,-4957.0633,0.21522354,79.999979
1.3999987,-4958.013,0.21504955,79.999979
1.4099987,-4958.0026,0.21524841,79.999979
1.4199986,-4960.0698,0.21563266,79.999979
1.4299986,-4960.9017,0.21515945,79.999979
1.4399986,-4956.9701,0.21593631,79.999979
1.4499986,-4957.5285,0.21590753,79.999979
1.4599986,-4958.0785,0.21553364,79.999979
1.4699986,-4957.1616,0.21569782,79.999979
1.4799986,-4957.8848,0.21591407,79.999979
1.4899986,-4959.7781,0.2164341,79.999979
1.4999986,-4956.7695,0.21579502,79.999979
1.5099986,-4956.7695,0.2157118,79.999979
1.5199986,-4957.2996,0.21567009,79.999979
1.5299985,-4957.9185,0.21649327,79.999979
1.5399985,-4960.3849,0.21503399,79.999979
1.5499985,-4960.682,0.21560176,79.999979
1.5599985,-4957.1716,0.2157612,79.999979
1.5699985,-4957.0538,0.21562276,79.999979
1.5799985,-4957.6197,0.21474086,79.999979
1.5899985,-4958.175,0.2148015,79.999979
1.5999985,-4960.5628,0.21560207,79.999979
1.6099985,-4960.9399,0.21608184,79.999979
1.6199985,-4957.8937,0.21664587,79.999979
1.6299984,-4958.6777,0.21559248,79.999979
1.6399984,-4959.4221,0.21559676,79.999979
1.6499984,-4959.8451,0.21559941,79.999979
1.6599984,-4959.6814,0.21566609,79.999979
1.6699984,-4957.2898,0.21621488,79.999979
1.6799984,-4957.6073,0.21626259,79.999979
1.6899984,-4959.2296,0.21710582,79.999979
1.6999984,-4960.0825,0.21726802,79.999979
1.7099984,-4960.4777,0.21625599,79.999979
1.7199984,-4957.2104,0.21610394,79.999979
1.7299984,-4958.2807,0.21614353,79.999979
1.7399983,-4957.7708,0.21597014,79.999979
1.7499983,-4958.7467,0.21636789,79.999979
1.7599983,-4959.6447,0.21604739,79.999979
1.7699983,-4960.0081,0.21574478,79.999979
1.7799983,-4957.5885,0.21550899,79.999979
1.7899983,-4957.9387,0.21577396,79.999979
1.7999983,-4957.7254,0.21650331,79.999979
1.8099983,-4959.9728,0.21608939,79.999979
1.8199983,-4957.6502,0.2151462,79.999979
1.8299983,-4958.503,0.21517695,79.999979
1.8399982,-4959.4384,0.21545158,79.999979
1.8499982,-4957.3187,0.21625788,79.999979
1.8599982,-4958.7658,0.21686241,79.999979
1.8699982,-4959.0461,0.21536759,79.999979
1.8799982,-4959.8715,0.21580277,79.999979
1.8899982,-4960.697,0.2164256,79.999979
1.8999982,-4958.8915,0.21623974,79.999979
1.9099982,-4956.9056,0.21533094,79.999979
1.9199982,-4959.0602,0.21579661,79.999979
1.9299982,-4960.8047,0.21529376,79.999979
