host_timestamp_s,monotonic_s,position_mm
1783960161.467632,1126804.562000,79.999979
1783960161.490432,1126804.593000,79.999979
1783960161.511081,1126804.609000,79.999979
1783960161.531494,1126804.625000,79.999979
1783960161.551935,1126804.656000,79.999979
1783960161.572437,1126804.671000,79.999979
1783960161.592825,1126804.687000,79.999979
1783960161.613843,1126804.718000,79.999979
1783960161.634347,1126804.734000,79.999979
1783960161.654779,1126804.750000,79.999979
1783960161.675155,1126804.781000,79.999979
1783960161.695313,1126804.796000,79.999979
1783960161.715655,1126804.812000,79.999979
1783960161.736133,1126804.828000,79.999979
1783960161.756494,1126804.859000,79.999979
1783960161.777024,1126804.875000,79.999979
1783960161.797439,1126804.890000,79.999979
1783960161.818345,1126804.921000,79.999979
1783960161.838805,1126804.937000,79.999979
1783960161.859367,1126804.953000,79.999979
1783960161.880213,1126804.984000,79.999979
1783960161.900663,1126805.000000,79.999979
1783960161.922230,1126805.015000,79.999979
1783960161.943274,1126805.046000,79.999979
1783960161.963386,1126805.062000,79.999979
1783960161.984061,1126805.078000,79.999979
1783960162.005084,1126805.109000,79.999979
1783960162.028440,1126805.125000,79.999979
1783960162.049407,1126805.156000,79.999979
1783960162.069951,1126805.171000,79.999979
1783960162.090199,1126805.187000,79.999979
1783960162.110292,1126805.203000,79.999979
1783960162.130869,1126805.234000,79.999979
1783960162.151081,1126805.250000,79.999979
1783960162.171977,1126805.265000,79.999979
1783960162.192558,1126805.296000,79.999979
1783960162.212952,1126805.312000,79.999979
1783960162.235696,1126805.328000,79.999979
1783960162.256442,1126805.359000,79.999979
1783960162.276816,1126805.375000,79.999979
1783960162.297734,1126805.390000,79.999979
1783960162.318202,1126805.421000,79.999979
1783960162.338617,1126805.437000,79.999979
1783960162.359159,1126805.453000,79.999979
1783960162.379418,1126805.484000,79.999979
1783960162.399583,1126805.500000,79.999979
1783960162.419744,1126805.515000,79.999979
1783960162.439963,1126805.546000,79.999979
1783960162.460489,1126805.562000,79.999979
1783960162.483890,1126805.578000,79.999979
