host_timestamp_s,monotonic_s,fields_json
1783960161.821434,1126804.921000,"{""t_ms"":1611301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1669553043,""m4_us"":1667290308,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960162.876378,1126805.968000,"{""t_ms"":1612301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1670590852,""m4_us"":1668328148,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960163.917803,1126807.015000,"{""t_ms"":1613301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1671628737,""m4_us"":1669365984,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960164.942872,1126808.046000,"{""t_ms"":1614301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1672666611,""m4_us"":1670403860,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960165.990103,1126809.093000,"{""t_ms"":1615301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1673704516,""m4_us"":1671441760,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960167.013277,1126810.109000,"{""t_ms"":1616301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1674742418,""m4_us"":1672479687,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960168.058707,1126811.156000,"{""t_ms"":1617301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1675780272,""m4_us"":1673517546,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960169.087377,1126812.187000,"{""t_ms"":1618301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1676818186,""m4_us"":1674555434,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960170.132959,1126813.234000,"{""t_ms"":1619301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1677856047,""m4_us"":1675593290,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960171.173771,1126814.265000,"{""t_ms"":1620301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1678893857,""m4_us"":1676631143,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960172.200271,1126815.296000,"{""t_ms"":1621301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1679931852,""m4_us"":1677669088,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960173.249184,1126816.343000,"{""t_ms"":1622301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1680969792,""m4_us"":1678707018,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960174.294572,1126817.390000,"{""t_ms"":1623301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1682007661,""m4_us"":1679744890,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960175.315422,1126818.421000,"{""t_ms"":1624301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1683045509,""m4_us"":1680782768,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960176.368902,1126819.468000,"{""t_ms"":1625301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1684083276,""m4_us"":1681820560,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960177.388827,1126820.484000,"{""t_ms"":1626301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1685121088,""m4_us"":1682858372,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960178.441477,1126821.546000,"{""t_ms"":1627301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1686158935,""m4_us"":1683896221,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783960179.487597,1126822.593000,"{""t_ms"":1628301,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":1687196833,""m4_us"":1684934064,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
