host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1784146046.171883,55925.312000,3570155000,1,laser,4.96237900,2131325544,3617970699,1748659
1784146046.181818,55925.328000,3570156000,2,load,2.28050900,3826060,3617971715,1748660
1784146046.182339,55925.328000,3570157000,1,laser,4.96212500,2131216483,3617972722,1748660
1784146046.182855,55925.328000,3570158000,2,load,2.28726900,3837400,3617973737,1748661
1784146046.183376,55925.328000,3570159000,1,laser,4.96324400,2131697199,3617974750,1748661
1784146046.190061,55925.343000,3570160000,2,load,2.28107000,3827000,3617975766,1748662
1784146046.191625,55925.343000,3570161000,1,laser,4.96289400,2131546592,3617976779,1748662
1784146046.193179,55925.343000,3570162000,2,load,2.27952000,3824400,3617977795,1748663
1784146046.193705,55925.343000,3570163000,1,laser,4.96343500,2131778977,3617978808,1748663
1784146046.194225,55925.343000,3570164000,2,load,2.28083700,3826610,3617979823,1748664
1784146046.194746,55925.343000,3570165000,1,laser,4.96343500,2131778977,3617980837,1748664
1784146046.195270,55925.343000,3570166000,2,load,2.28083700,3826610,3617981846,1748665
1784146046.195789,55925.343000,3570167000,1,laser,4.96377100,2131923543,3617982859,1748665
1784146046.196310,55925.343000,3570168000,2,load,2.28159400,3827880,3617983875,1748666
1784146046.196845,55925.343000,3570169000,1,laser,4.96214000,2131222625,3617984888,1748666
1784146046.197373,55925.343000,3570170000,2,load,2.28057500,3826170,3617985903,1748667
1784146046.197900,55925.343000,3570171000,1,laser,4.96165500,2131014360,3617986917,1748667
1784146046.198428,55925.343000,3570172000,2,load,2.27490700,3816660,3617987932,1748668
1784146046.198428,55925.343000,3570173000,1,laser,4.96261800,2131428277,3617988939,1748668
1784146046.198962,55925.343000,3570174000,2,load,2.28275100,3829820,3617989954,1748669
1784146046.199478,55925.343000,3570175000,1,laser,4.96250500,2131379835,3617990968,1748669
1784146046.200002,55925.343000,3570176000,2,load,2.28275100,3829820,3617991983,1748670
1784146046.200523,55925.343000,3570177000,1,laser,4.96250500,2131379835,3617992997,1748670
