cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.06233,nan,nan,4.22534,nan,4.01286,4.38993,1.08064,0.2375,0.0152602,1.0729,0.00677973,392.381,-1.86268,-3.5311
2,3.21841,4.06233,nan,nan,4.22184,nan,3.92658,4.41352,1.08645,0.243735,0.0133837,2.3193,0.00944518,345.675,nan,nan
3,7.63385,4.06233,nan,nan,4.21785,nan,3.82851,nan,nan,0.248143,0.0147016,1.1165,0.00552161,363.453,nan,nan
4,10.8977,4.06233,nan,nan,4.22707,nan,4.05546,nan,nan,0.253346,0.013369,1.34243,nan,325.758,-21.5933,nan
5,14.3842,4.06233,nan,nan,4.19771,nan,3.33261,nan,nan,0.252753,0.012465,1.44682,nan,303.926,-27.3084,nan
6,17.9605,4.06233,nan,nan,4.22518,nan,4.009,nan,nan,0.253223,0.011297,1.24645,0.000434222,277.722,-18.0311,nan
7,21.3563,4.06233,nan,nan,4.20364,nan,3.47879,nan,nan,0.252958,0.0144003,1.16578,0.00412542,342.123,-17.5683,nan
8,24.6505,4.06233,nan,nan,4.19658,nan,3.30499,nan,nan,0.255992,-0.0118885,2.79757,0.000341506,-301.921,-28.9615,-50.5828
9,29.7228,4.06233,nan,nan,4.22523,nan,4.01012,nan,nan,nan,nan,1.72919,nan,nan,nan,nan
10,33.7201,4.06233,nan,nan,4.20186,nan,3.4349,nan,nan,nan,nan,1.48647,nan,nan,nan,nan
