t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
0,5024.4904,0.49350574,0.996517,0.258249,3.758748,0.25734952,79.999979
0.0099999905,5024.453,0.49350574,0.996517,0.258249,3.758748,0.25734952,79.999979
0.019999981,5024.8886,0.49350574,0.996517,0.258249,3.758748,0.25734952,79.999979
0.029999971,5024.6679,0.49350574,0.996517,0.258249,3.758748,0.25734952,79.999979
0.039999962,5025.2751,0.49350574,0.99688325,0.25808935,3.7620431,0.25726849,79.999979
0.049999952,5024.8863,0.49350574,0.9975678,0.25775928,3.7696971,0.25711703,79.999979
0.059999943,5025.2678,0.49350574,0.99825236,0.25742922,3.7773511,0.25696557,79.999979
0.069999933,5024.7162,0.49350574,0.99893692,0.25709916,3.7850051,0.25681412,79.999979
0.079999924,5024.7974,0.49350574,0.99962147,0.2567691,3.7926591,0.25666266,79.999979
0.089999914,5024.8606,0.49350574,1.000306,0.25643903,3.800313,0.2565112,79.999979
0.099999905,5024.6093,0.49350574,1.0009906,0.25610897,3.807967,0.25635975,79.999979
0.1099999,5025.2589,0.49350574,1.0013199,0.25569546,3.8158083,0.25601012,79.999979
0.11999989,5024.8834,0.49350574,1.0004468,0.25489126,3.8249773,0.25498986,79.999979
0.12999988,5024.8131,0.49350574,0.99957374,0.25408707,3.8341463,0.2539696,79.999979
0.13999987,5024.7677,0.49350574,0.99870067,0.25328287,3.8433153,0.25294934,79.999979
0.14999986,5024.7817,0.49350574,0.99782761,0.25247868,3.8524844,0.25192907,79.999979
0.15999985,5024.6592,0.49350574,0.99695455,0.25167448,3.8616534,0.25090881,79.999979
0.16999984,5024.2754,0.49350574,0.99608149,0.25087028,3.8708224,0.24988855,79.999979
0.17999983,5024.3649,0.49350574,0.99520843,0.25006609,3.8799915,0.24886829,79.999979
0.18999982,5024.8862,0.49350574,0.99576537,0.24979201,3.8861729,0.24876826,79.999979
0.19999981,5024.1549,0.49350574,0.99675673,0.24972781,3.8911715,0.24894779,79.999979
0.2099998,5024.0485,0.49350574,0.99774809,0.2496636,3.8961701,0.24912733,79.999979
0.21999979,5023.916,0.49282967,0.99873945,0.2495994,3.9011686,0.24930686,79.999979
0.22999978,5023.6126,0.49189485,0.99973081,0.2495352,3.9061672,0.24948639,79.999979
0.23999977,5024.2761,0.49350574,1.0007222,0.249471,3.9111658,0.24966592,79.999979
0.24999976,5024.163,0.49336989,1.0017135,0.2494068,3.9161644,0.24984545,79.999979
0.25999975,5024.1449,0.48940424,1.0027049,0.24934259,3.921163,0.25002499,79.999979
0.26999974,5024.2942,0.49350574,1.0036963,0.24927839,3.9261616,0.25020452,79.999979
0.27999973,5024.0681,0.49350574,1.0046876,0.24921419,3.9311602,0.25038405,79.999979
0.28999972,5023.6481,0.48461555,1.0042897,0.24911404,3.9317771,0.25018365,79.999979
0.29999971,5024.3746,0.49350574,1.0022067,0.24897027,3.9257796,0.24952239,79.999979
0.3099997,5024.281,0.49350574,1.0001236,0.24882651,3.919782,0.24886113,79.999979
0.31999969,5023.9561,0.49350574,0.99804057,0.24868275,3.9137844,0.24819987,79.999979
0.32999969,5023.9561,0.49225301,0.99595752,0.24853899,3.9077868,0.24753861,79.999979
0.33999968,5023.9561,0.48992615,0.99387447,0.24839522,3.9017892,0.24687735,79.999979
0.34999967,5024.8397,0.49350574,0.99179142,0.24825146,3.8957917,0.24621609,79.999979
0.35999966,5024.2675,0.49350574,0.98970837,0.2481077,3.8897941,0.24555483,79.999979
0.36999965,5023.7389,0.48289572,0.98974579,0.24853736,3.8825911,0.24603355,79.999979
0.37999964,5024.52,0.49350574,0.99050569,0.24922577,3.8746988,0.24690067,79.999979
0.38999963,5024.2217,0.49350574,0.9912656,0.24991417,3.8668065,0.2477678,79.999979
0.39999962,5023.8367,0.49350574,0.9920255,0.25060257,3.8589142,0.24863492,79.999979
0.40999961,5024.491,0.49350574,0.9927854,0.25129098,3.8510219,0.24950205,79.999979
0.4199996,5024.1412,0.48979455,0.99354531,0.25197938,3.8431296,0.25036918,79.999979
0.42999959,5024.3772,0.49343628,0.99430521,0.25266778,3.8352373,0.2512363,79.999979
0.43999958,5024.2493,0.49345822,0.99505469,0.25311653,3.8311148,0.25180221,79.999979
0.44999957,5024.1473,0.492846,0.99577131,0.25254731,3.8430043,0.25141931,79.999979
0.45999956,5024.0259,0.49173172,0.99648794,0.25197809,3.8548937,0.25103641,79.999979
0.46999955,5024.0758,0.49286442,0.99720457,0.25140888,3.8667832,0.25065351,79.999979
0.47999954,5023.4865,0.48557934,0.9979212,0.25083966,3.8786727,0.25027061,79.999979
0.48999953,5023.7608,0.4848267,0.99863782,0.25027044,3.8905622,0.24988771,79.999979
0.49999952,5023.807,0.49295336,0.99935445,0.24970123,3.9024517,0.24950481,79.999979
0.50999951,5023.9332,0.49350574,1.0000711,0.24913201,3.9143412,0.24912191,79.999979
0.5199995,5023.9559,0.49350574,1.0007877,0.24856279,3.9262307,0.24873901,79.999979
0.52999949,5023.6908,0.48090938,1.0015043,0.24799358,3.9381202,0.24835611,79.999979
0.53999949,5022.6383,0.47648476,1.002221,0.24742436,3.9500097,0.24797321,79.999979
0.54999948,5024.1618,0.48742742,1.0024611,0.24873736,3.9321964,0.24935157,79.999979
0.55999947,5024.1182,0.49348924,1.0026678,0.25018259,3.9104113,0.25085366,79.999979
0.56999946,5023.4109,0.48471139,1.0028745,0.25162781,3.8886262,0.25235575,79.999979
0.57999945,5023.3768,0.48066057,1.0030812,0.25307304,3.8668412,0.25385784,79.999979
0.58999944,5023.52,0.47605813,1.0032879,0.25451826,3.8450561,0.25535993,79.999979
0.59999943,5023.8808,0.49203535,1.0034946,0.25596349,3.823271,0.25686203,79.999979
0.60999942,5023.5358,0.48561669,1.0037012,0.25740871,3.8014859,0.25836412,79.999979
0.61999941,5023.1573,0.47251546,1.0039079,0.25885394,3.7797009,0.25986621,79.999979
0.6299994,5023.2533,0.4742588,1.0025134,0.25893255,3.7717489,0.25959029,79.999979
0.63999939,5023.7395,0.49137602,1.0004628,0.25845119,3.7710109,0.25858582,79.999979
0.64999938,5024.1237,0.49137602,0.99841226,0.25796983,3.7702729,0.25758136,79.999979
0.65999937,5023.4041,0.47717291,0.99636168,0.25748848,3.7695349,0.25657689,79.999979
0.66999936,5023.2979,0.48406731,0.99431109,0.25700712,3.7687969,0.25557242,79.999979
0.67999935,5023.3898,0.48228078,0.99226051,0.25652576,3.7680588,0.25456796,79.999979
0.68999934,5022.9421,0.47734638,0.99020992,0.2560444,3.7673208,0.25356349,79.999979
0.69999933,5022.9749,0.47088082,0.98815934,0.25556304,3.7665828,0.25255903,79.999979
0.70999932,5023.0077,0.47423335,0.98610876,0.25508168,3.7658448,0.25155456,79.999979
0.71999931,5023.3414,0.47431305,0.98405817,0.25460032,3.7651068,0.2505501,79.999979
0.7299993,5023.1555,0.47171749,0.98237425,0.25410309,3.7660696,0.24962359,79.999979
0.73999929,5022.9492,0.46985421,0.98378197,0.25347204,3.7813737,0.24935446,79.999979
0.74999928,5022.9115,0.47114147,0.98518969,0.25284099,3.7966778,0.24908532,79.999979
0.75999928,5023.0431,0.47540877,0.9865974,0.25220994,3.8119819,0.24881619,79.999979
0.76999927,5023.1747,0.47967607,0.98800512,0.25157889,3.827286,0.24854705,79.999979
0.77999926,5023.5307,0.48107648,0.98941284,0.25094783,3.8425901,0.24827791,79.999979
0.78999925,5022.5855,0.46741303,0.99082055,0.25031678,3.8578942,0.24800878,79.999979
0.79999924,5022.9195,0.47064892,0.99222827,0.24968573,3.8731983,0.24773964,79.999979
