host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1784158121.979118,68001.125000,794359000,1,laser,2.47312300,1062198190,803960756,395190
1784158121.979633,68001.125000,794360000,2,load,-0.04738600,-79500,803961771,395190
1784158121.980872,68001.125000,794361000,1,laser,2.47241200,1061892764,803962778,395191
1784158121.981549,68001.125000,794362000,2,load,-0.04897100,-82160,803963793,395191
1784158121.982639,68001.125000,794363000,1,laser,2.47122300,1061382169,803964807,395192
1784158121.983743,68001.125000,794364000,2,load,-0.04344600,-72890,803965822,395192
1784158121.984815,68001.125000,794365000,1,laser,2.47150000,1061501120,803966829,395193
1784158121.987520,68001.140000,776393000,3,sma_v,0.49773600,141,804612929,37971
1784158121.987520,68001.140000,776393000,4,sma_i,0.11576100,0,804612929,37971
1784158121.987520,68001.140000,776393000,5,sma_r,4.19970000,0,804612929,37971
1784158121.988059,68001.140000,794366000,2,load,-0.04169900,-69960,803967845,395193
1784158121.988059,68001.140000,794367000,1,laser,2.47150000,1061501120,803968852,395194
1784158121.988059,68001.140000,794368000,2,load,-0.04169900,-69960,803969867,395194
1784158121.988807,68001.140000,794369000,1,laser,2.47244700,1061907808,803970880,395195
1784158121.989887,68001.140000,794370000,2,load,-0.05075300,-85150,803971896,395195
1784158121.990420,68001.140000,794371000,1,laser,2.47227600,1061834691,803972903,395196
1784158121.991431,68001.140000,794372000,2,load,-0.05129000,-86050,803973918,395196
1784158121.992427,68001.140000,794373000,1,laser,2.47310200,1062189344,803974925,395197
1784158121.993930,68001.140000,794374000,2,load,-0.04230100,-70970,803975941,395197
1784158121.993930,68001.140000,794375000,1,laser,2.47265300,1061996476,803976954,395198
1784158121.996006,68001.140000,794376000,2,load,-0.04592500,-77050,803977963,395198
1784158121.997012,68001.140000,794377000,1,laser,2.47124800,1061393029,803978976,395199
1784158121.998012,68001.140000,794378000,2,load,-0.04592500,-77050,803979992,395199
1784158121.999011,68001.140000,794379000,1,laser,2.47124800,1061393029,803980999,395200
1784158122.000011,68001.140000,794380000,2,load,-0.04692100,-78720,803982014,395200
1784158122.000517,68001.140000,794381000,1,laser,2.47133700,1061431074,803983028,395201
1784158122.001523,68001.156000,794382000,2,load,-0.05620100,-94290,803984037,395201
1784158122.002527,68001.156000,794383000,1,laser,2.47224300,1061820153,803985050,395202
1784158122.003526,68001.156000,794384000,2,load,-0.04953700,-83110,803986065,395202
1784158122.005036,68001.156000,794385000,1,laser,2.47199500,1061713651,803987072,395203
1784158122.005741,68001.156000,794386000,2,load,-0.05157000,-86520,803988088,395203
1784158122.006797,68001.156000,794387000,1,laser,2.47294100,1062119984,803989101,395204
1784158122.007841,68001.156000,794388000,2,load,-0.04493000,-75380,803990110,395204
1784158122.008893,68001.156000,794389000,1,laser,2.47294100,1062119984,803991124,395205
1784158122.009973,68001.156000,794390000,2,load,-0.04493000,-75380,803992139,395205
1784158122.011062,68001.156000,794391000,1,laser,2.47249700,1061929343,803993146,395206
1784158122.019586,68001.171000,794392000,2,load,-0.03965500,-66530,803994161,395206
