host_timestamp_s,monotonic_s,fields_json
1784158122.801240,68001.953000,"{""t_ms"":777171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":805420317,""m4_us"":804775576,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3524,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158123.832961,68002.984000,"{""t_ms"":778171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":806456768,""m4_us"":805812053,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3157,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158124.869690,68004.015000,"{""t_ms"":779171,""hwm"":5,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":807493329,""m4_us"":806848549,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3065,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158125.906268,68005.046000,"{""t_ms"":780171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":808529709,""m4_us"":807885041,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3132,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158126.943103,68006.093000,"{""t_ms"":781171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":809566468,""m4_us"":808921496,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3063,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158127.982498,68007.125000,"{""t_ms"":782171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":810602747,""m4_us"":809958001,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3550,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158129.015731,68008.156000,"{""t_ms"":783171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":811639632,""m4_us"":810994475,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3288,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158130.053847,68009.203000,"{""t_ms"":784171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":812675640,""m4_us"":812030961,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3624,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158131.087830,68010.234000,"{""t_ms"":785171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":813712136,""m4_us"":813067438,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3132,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158132.132602,68011.281000,"{""t_ms"":786171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":814748644,""m4_us"":814103915,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3123,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
