sweep,level_mA,heat_ms,cycle,E_int_J,t_heat_s
sweep_20260731_145838,150,100,1,0.010605239624915708,0.099604
sweep_20260731_145838,150,100,2,0.010684018769555367,0.09968
sweep_20260731_145838,150,100,3,0.010383537605332182,0.099338
sweep_20260731_145838,150,100,4,0.010604939166407843,0.09996
sweep_20260731_145838,150,100,5,0.010892112409957135,0.099742
sweep_20260731_145838,150,100,6,0.019919267532270444,0.099492
sweep_20260731_145838,250,100,1,0.029563595292204918,0.099596
sweep_20260731_145838,250,100,2,0.03994467794134019,0.099213
sweep_20260731_145838,250,100,3,0.028626079105260382,0.099507
sweep_20260731_145838,250,100,4,0.027872933981257376,0.099394
sweep_20260731_145838,250,100,5,0.030579694728914517,0.099575
sweep_20260731_145838,250,100,6,0.031732664762923385,0.099894
sweep_20260731_145838,350,100,1,0.0553970200137588,0.099527
sweep_20260731_145838,350,100,2,0.05551445429761867,0.099248
sweep_20260731_145838,350,100,3,0.05594918641962244,0.09937
sweep_20260731_145838,350,100,4,0.05587758756966851,0.099536
sweep_20260731_145838,350,100,5,0.05301671824995956,0.09958
sweep_20260731_145838,350,100,6,0.055289716315235146,0.099347
sweep_20260731_145838,450,100,1,0.09017183423487185,0.099364
sweep_20260731_145838,450,100,2,0.08854508578877932,0.099589
sweep_20260731_145838,450,100,3,0.08934769535452003,0.099543
sweep_20260731_145838,450,100,4,0.08984384961367786,0.09943
sweep_20260731_145838,450,100,5,0.08995274472107526,0.09958
sweep_20260731_145838,450,100,6,0.08957198086768714,0.099475
sweep_20260731_145838,550,100,1,0.13392959798265974,0.099289
sweep_20260731_145838,550,100,2,0.27486975465221375,0.099023
sweep_20260731_145838,550,100,3,0.13531375700823287,0.099395
sweep_20260731_145838,550,100,4,0.13308880653280866,0.099186
sweep_20260731_145838,550,100,5,0.13615896324336835,0.099989
sweep_20260731_145838,550,100,6,0.13588995657537395,0.099537
sweep_20260731_145838,650,100,1,0.18456704408877095,0.099529
sweep_20260731_145838,650,100,2,0.19122942327271297,0.099673
sweep_20260731_145838,650,100,3,0.18841831097811762,0.099375
sweep_20260731_145838,650,100,4,0.188001278665483,0.099832
sweep_20260731_145838,650,100,5,0.18787895704576238,0.09965
sweep_20260731_145838,650,100,6,0.18735063959837062,0.09937
sweep_20260731_145838,750,100,1,0.2478088823325162,0.099652
sweep_20260731_145838,750,100,2,0.25068845511983606,0.099796
sweep_20260731_145838,750,100,3,0.24932681047219346,0.099572
sweep_20260731_145838,750,100,4,0.24892273791288702,0.0994
sweep_20260731_145838,750,100,5,0.2468213600435021,0.099589
sweep_20260731_145838,750,100,6,0.24800772449017847,0.0997
sweep_20260731_145838,850,100,1,0.31809908207256177,0.09969
sweep_20260731_145838,850,100,2,0.3173393882407673,0.09965
sweep_20260731_145838,850,100,3,0.3155571820412897,0.099808
sweep_20260731_145838,850,100,4,0.5630190236036553,0.099515
sweep_20260731_145838,850,100,5,0.31694770182873,0.099737
sweep_20260731_145838,850,100,6,0.3208220671076922,0.099425
sweep_20260731_145838,950,100,1,0.3933610003503603,0.09987
sweep_20260731_145838,950,100,2,0.3975504846891036,0.099496
sweep_20260731_145838,950,100,3,0.3943661277181524,0.099143
sweep_20260731_145838,950,100,4,0.39275939583462194,0.099518
sweep_20260731_145838,950,100,5,0.39434038501804874,0.099243
sweep_20260731_145838,950,100,6,0.3932546827591017,0.099567
sweep_20260731_145838,150,200,1,0.014956098997755652,0.199621
sweep_20260731_145838,150,200,2,0.021345552183584506,0.19965
sweep_20260731_145838,150,200,3,0.020991216220892648,0.1999
sweep_20260731_145838,150,200,4,0.021089824047679125,0.199992
sweep_20260731_145838,150,200,5,0.021789753442527003,0.199779
sweep_20260731_145838,150,200,6,0.020955830414896466,0.199484
sweep_20260731_145838,250,200,1,0.05688517064772695,0.199601
sweep_20260731_145838,250,200,2,0.05676828527573384,0.19983
sweep_20260731_145838,250,200,3,0.05991197683558898,0.199988
sweep_20260731_145838,250,200,4,0.056079816618441344,0.199973
sweep_20260731_145838,250,200,5,0.055897704754485494,0.199439
sweep_20260731_145838,250,200,6,0.056784634669205414,0.19955
sweep_20260731_145838,350,200,1,0.109907552763187,0.199214
sweep_20260731_145838,350,200,2,0.11251528318403842,0.199965
sweep_20260731_145838,350,200,3,0.10818176295345519,0.199514
sweep_20260731_145838,350,200,4,0.3633071589979603,0.199052
sweep_20260731_145838,350,200,5,0.36768570639563675,0.199563
sweep_20260731_145838,350,200,6,0.3682460338221647,0.199672
sweep_20260731_155129,350,200,1,0.11041648547353698,0.199991
sweep_20260731_155129,350,200,2,0.11125257375764402,0.199985
