heat_ms,level_mA,n_cycles,n_in_median,i_mA_mean,dx_um_median,dx_um_min,dx_um_max,dF_mN_median,n_clipped,n_railed,saturated,saturated_dx,saturated_dF,cool_s
100,200,6,5,204.4,22.0,14.1,31.6,2.16,0,0,0,0,0,30.0
100,250,6,5,250.3,17.1,15.3,31.0,1.56,0,0,0,0,0,30.0
100,350,6,5,350.3,35.1,33.0,37.9,2.98,0,0,0,0,0,30.0
100,450,6,5,450.1,60.9,54.2,65.9,4.93,0,0,0,0,0,30.0
100,550,6,5,550.6,89.7,86.5,97.1,7.43,0,0,0,0,0,30.0
100,650,6,5,650.2,131.0,126.8,138.7,10.37,0,0,0,0,0,30.0
100,750,6,5,751.1,176.3,170.7,179.1,14.02,0,0,0,0,0,30.0
100,850,6,5,848.6,239.3,230.4,245.6,18.84,0,0,0,0,0,30.0
100,950,6,5,950.0,311.2,305.0,325.8,24.41,0,0,0,0,0,30.0
200,200,6,5,200.8,17.7,15.5,44.8,1.93,0,0,0,0,0,30.0
200,250,6,5,252.2,33.0,24.4,46.3,2.9,0,0,0,0,0,30.0
200,350,6,5,347.8,67.5,66.1,76.0,5.33,0,0,0,0,0,30.0
200,450,6,5,451.4,127.4,120.8,134.5,9.72,0,0,0,0,0,30.0
200,550,6,5,551.0,194.9,187.7,196.0,14.93,0,0,0,0,0,30.0
200,650,6,5,650.4,276.9,270.4,281.4,21.32,0,0,0,0,0,30.0
200,750,6,5,750.5,389.4,385.2,421.8,29.88,0,0,0,0,0,30.0
200,850,6,5,850.4,570.5,555.9,608.7,44.35,0,0,0,0,0,30.0
200,950,6,5,950.9,836.7,759.1,876.1,64.77,0,0,0,0,0,30.0
300,200,6,5,200.8,32.0,26.3,38.9,2.85,0,0,0,0,0,30.0
300,250,6,5,250.8,44.9,43.9,55.8,3.67,0,0,0,0,0,30.0
300,350,6,5,350.0,102.8,99.2,110.5,7.86,0,0,0,0,0,30.0
300,450,6,5,450.8,182.3,176.4,197.4,13.8,0,0,0,0,0,30.0
300,550,6,5,550.2,316.1,294.9,326.1,24.01,0,0,0,0,0,30.0
300,650,6,5,648.9,461.5,438.6,507.4,34.91,0,0,0,0,0,30.0
300,750,6,5,750.4,695.9,647.9,758.3,52.93,0,0,0,0,0,30.0
300,850,6,5,850.5,1172.2,1147.6,1226.6,91.47,0,0,0,0,0,30.0
300,950,6,5,951.0,2176.3,2079.2,2308.4,164.46,4,0,1,0,1,30.0
400,200,6,5,201.9,33.1,27.4,42.8,3.05,0,0,0,0,0,30.0
400,250,6,5,250.6,56.2,52.1,74.6,4.67,0,0,0,0,0,30.0
400,350,6,5,350.4,135.7,132.7,151.2,10.72,0,0,0,0,0,30.0
400,450,6,5,450.0,261.8,249.7,274.3,20.01,0,0,0,0,0,30.0
400,550,6,5,550.2,432.5,419.5,441.6,32.82,0,0,0,0,0,30.0
400,650,6,5,650.1,689.2,650.4,716.5,52.69,0,0,0,0,0,30.0
400,750,6,5,750.6,1250.5,1174.6,1396.5,96.9,0,0,0,0,0,30.0
400,850,6,5,850.5,2543.4,2212.5,2737.1,169.8,5,0,1,0,1,30.0
400,950,6,5,950.7,4822.1,4197.9,5215.1,174.69,6,0,1,0,1,30.0
500,250,6,5,251.0,81.0,75.8,85.7,6.53,0,0,0,0,0,30.0
500,350,6,5,350.1,186.4,168.2,190.7,14.24,0,0,0,0,0,30.0
500,450,6,5,449.9,330.5,325.8,360.5,25.21,0,0,0,0,0,30.0
500,550,6,5,549.8,623.6,546.4,640.0,47.93,0,0,0,0,0,30.0
500,650,6,5,650.5,1109.1,1044.3,1180.6,85.95,0,0,0,0,0,30.0
500,750,6,5,750.5,2289.5,2191.0,2465.2,178.95,1,0,0,0,0,30.0
500,850,6,5,850.7,4530.9,4471.1,4622.0,187.65,6,0,1,0,1,30.0
500,950,6,5,950.5,7623.3,6873.1,7771.0,192.29,6,0,1,0,1,30.0
