heat_ms,level_mA,n_cycles,i_mA_mean,dx_um_median,dx_um_mean,dx_um_std,dx_um_min,dx_um_max,force_mN_median,force_mN_std,cool_s
100,150,5,157.0,16.6,19.8,9.1,12.4,35.7,1.93,0.25,15
100,250,4,252.1,54.3,56.2,6.5,50.8,65.5,3.04,0.18,15
100,350,4,352.6,100.3,100.6,3.6,96.6,105.2,4.4,0.04,15
100,450,4,446.9,174.8,173.4,4.3,167.4,176.8,6.56,0.2,15
100,550,4,545.3,259.6,258.9,4.4,253.7,262.8,9.07,0.35,15
100,650,4,645.1,372.5,372.4,6.1,365.8,378.9,12.9,0.28,15
100,750,6,743.0,526.1,532.1,21.0,513.6,567.8,17.62,0.65,15
100,850,7,842.4,679.8,689.3,20.9,668.5,726.4,23.02,0.59,15
100,950,4,943.3,895.0,899.7,13.0,890.2,918.8,29.45,0.37,15
200,150,5,156.6,32.6,22.3,34.9,-37.7,51.9,2.53,0.59,15
200,250,5,252.8,92.9,94.6,8.0,85.5,105.5,3.89,0.26,15
200,350,5,349.6,203.6,201.1,4.5,193.5,204.2,7.0,0.21,15
200,450,5,448.6,341.6,335.9,10.6,320.1,345.1,11.36,0.56,15
200,550,5,552.9,542.8,546.0,20.3,517.5,568.8,17.46,0.8,15
200,650,5,649.6,782.5,782.7,27.1,752.3,819.1,25.59,0.86,15
200,750,6,755.6,1166.5,1198.2,113.7,1124.2,1426.6,37.79,3.54,15
200,850,4,845.5,1648.9,1655.6,19.1,1642.2,1682.7,52.67,0.99,15
200,950,5,949.2,2600.7,2630.9,225.0,2352.1,2970.2,81.93,6.97,15
300,150,27,144.1,39.1,35.3,26.8,-38.1,93.8,1.99,0.67,15
300,250,15,252.7,140.6,141.5,8.9,125.5,162.7,5.29,0.43,15
300,350,15,350.4,291.4,294.5,14.1,276.0,317.9,10.07,0.56,15
300,450,15,448.8,515.1,514.3,21.7,482.6,563.2,17.26,0.56,15
300,550,8,549.0,876.3,875.0,22.2,845.5,910.4,28.3,0.57,15
300,650,8,648.0,1317.9,1323.4,58.1,1265.8,1440.6,42.29,1.74,15
300,750,3,747.7,2203.5,2158.2,91.1,2053.3,2217.7,69.97,3.27,25
300,850,6,847.5,3710.4,3905.1,401.2,3582.4,4462.4,117.48,13.17,15;25
300,950,1,947.0,7239.7,7239.7,,7239.7,7239.7,228.4,,15
400,150,10,140.7,43.1,35.3,52.7,-88.8,98.6,2.04,1.16,15
400,250,8,213.6,178.1,173.9,43.0,94.6,236.6,6.23,1.31,15
400,350,5,349.0,373.0,381.3,20.2,358.8,407.1,12.41,0.71,15
400,450,4,449.3,674.7,673.5,5.0,666.9,677.7,22.19,0.18,15
400,550,5,548.3,1155.1,1179.7,56.3,1126.0,1263.6,36.95,1.9,15
400,650,2,649.2,2099.8,2099.8,27.0,2080.7,2118.9,65.62,1.03,15
400,750,0,,,,,,,,,
400,850,0,,,,,,,,,
400,950,0,,,,,,,,,
