level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
200,100,sweep_20260805_154528,extremes,1,1,205.18305494505492,102.6,0.8183315054945057,3.98829964644811,0.804594,206.44899999999998,3.8973015127222705,0.166107626706,4.026264147113059,32.823452,32.923452,2026-08-05T19:45:54.799625+00:00,21.653907152116517,-4667.707646918247,2.9383808031914893,2.959472,0.02109119680851057,288.0521146608561,2.0675890050809893,0,0,1,91,30.0,0,1
200,100,sweep_20260805_154528,extremes,2,0,207.64351546391748,103.8,0.8152205051546393,3.9260580968939593,0.7885055,219.30949999999999,3.5954005640430533,0.17292674695225,4.028514841841249,63.896964,63.996964,2026-08-05T19:46:25.850747+00:00,22.997669980092724,-4621.015646092134,2.9754141010638295,2.997744,0.022329898936170434,291.68252218101367,2.1890200894795053,0,0,1,97,30.0,0,1
200,100,sweep_20260805_154528,extremes,3,0,201.32767741935487,100.7,0.8033718709677421,3.990369735872734,0.765698,199.283,3.842264518298099,0.15259059453399998,4.017033219617237,94.970538,95.070538,2026-08-05T19:46:56.901931+00:00,22.035321687806572,-4658.016657683378,2.947189542553191,2.969223,0.022033457446808846,288.915643308293,2.159959663481938,0,0,1,93,30.0,0,1
200,100,sweep_20260805_154528,extremes,4,0,201.19,100.6,0.8000969789473686,3.9768227990823033,0.782591,203.224,3.8508788332086765,0.159041273384,4.032094539791714,126.044048,126.144048,2026-08-05T19:47:27.953052+00:00,15.001317867297075,-4628.284590399857,2.9690585425531912,2.985847,0.016788457446808902,291.05948106025363,1.6457875930153736,0,0,1,95,30.0,0,1
200,100,sweep_20260805_154528,extremes,5,0,208.06572043010758,104.0,0.8001405698924731,3.8456145886907516,0.8122005000000001,214.577,3.785123755108889,0.17427954668850001,4.0026983445291675,157.118227,157.218227,2026-08-05T19:47:59.004841+00:00,31.59180305676,-4645.771025346334,2.9555551375661375,2.986199,0.030643862433862523,289.73573011639434,3.0040454136724177,0,0,1,93,30.0,0,1
200,100,sweep_20260805_154528,extremes,6,0,202.82568367346943,101.4,0.7855845510204083,3.8732005572091484,0.778008,206.512,3.767374293019292,0.160667988096,4.020586117919225,188.191477,188.291477,2026-08-05T19:48:30.055701+00:00,14.074140497567896,-4653.2616106012,2.9501755372340424,2.965927,0.015751462765957847,289.208363054233,1.5441300711629413,0,0,1,98,30.0,0,1
250,100,sweep_20260805_105318,map,1,1,253.2444269662921,101.3,1.0071175505617977,3.976859679110922,0.980812,247.567,3.961804279245618,0.242816684404,3.8331601084820632,30.797577,30.897577,2026-08-05T14:53:45.226957+00:00,26.8381242716614,-4301.114900852012,3.2502250211640202,3.275222,0.024996978835979622,318.62248400651185,2.4504763324127103,0,0,0,89,30.0,0,1
250,100,sweep_20260805_105318,map,2,0,254.59618947368418,101.8,0.9700969263157896,3.8103356076193817,0.966943,245.71599999999998,3.935205684611503,0.23759336618799998,4.0643506720835,61.867511,61.967511,2026-08-05T14:54:16.273931+00:00,15.326085684039754,-4256.187552268485,3.2836030687830684,3.299552,0.015948931216931417,321.89456405463727,1.5634880811322278,0,0,0,95,30.0,0,1
250,100,sweep_20260805_105318,map,3,0,244.64575,97.9,0.9879121875,4.038133454188352,0.992258,247.00900000000001,4.01709249460546,0.245096656322,4.020607603970674,92.936098,93.036098,2026-08-05T14:54:47.319558+00:00,23.732475476941545,-4280.5784089146655,3.2651836010638298,3.289074,0.023890398936170065,320.08888705671677,2.341997308919523,0,0,0,96,30.0,0,1
250,100,sweep_20260805_105318,map,4,0,251.34451041666668,100.5,0.9787531666666668,3.8940701949055403,0.9843515,251.05500000000004,3.920859970922706,0.24712636583250003,4.0139662999402255,124.00472,124.10472,2026-08-05T14:55:18.365221+00:00,15.533218283580936,-4264.82987103328,3.2770779893617026,3.290588,0.013510010638297487,321.2549046464309,1.3243985017957678,0,0,0,96,30.0,0,1
250,100,sweep_20260805_105318,map,5,0,249.324182795699,99.7,0.9681442043010752,3.8830738095485553,0.92356,239.654,3.8537224498652223,0.22133484824000002,4.022140788558301,155.077677,155.177677,2026-08-05T14:55:49.415216+00:00,30.983106245963427,-4263.742856754091,3.2792166914893612,3.306425,0.027208308510638712,321.4645635408236,2.667254970602154,0,0,0,93,30.0,0,1
250,100,sweep_20260805_105318,map,6,0,248.80317708333337,99.5,0.9676945624999999,3.889397932309696,1.0055625,262.8335000000001,3.8258536297694157,0.26429551134375,3.988232833852118,186.145096,186.245096,2026-08-05T14:56:20.459676+00:00,17.12983531113332,-4266.547019418279,3.2761758835978836,3.291398,0.015222116402116459,321.1664704065143,1.4922377707072165,0,0,0,96,30.0,0,1
350,100,sweep_20260805_105318,map,1,1,343.82602222222226,98.2,1.3388422666666668,3.8939526973945675,1.3394024999999998,343.267,3.9019261973915347,0.45977267796749993,3.983343055285501,239.901797,240.001797,2026-08-05T14:57:14.800171+00:00,37.85168672602413,-4308.379938089809,3.24661362962963,3.278899,0.032285370370369826,318.26845604416627,3.164963914034909,0,0,1,90,30.0,0,1
350,100,sweep_20260805_105318,map,2,0,353.91492783505157,101.1,1.3657911649484535,3.8590945380665183,1.26923,338.231,3.7525537280734174,0.42929293213,3.984350963668141,270.970904,271.070904,2026-08-05T14:57:45.847250+00:00,36.36673392320063,-4266.878574614964,3.275846031914894,3.309047,0.0332009680851062,321.1341347491664,3.254720782042623,0,0,1,97,30.0,0,1
350,100,sweep_20260805_105318,map,3,0,349.45008163265305,99.8,1.3264038163265306,3.7956889582898,1.313836,344.812,3.810296625407468,0.453026418832,3.9947915408827814,302.039825,302.139825,2026-08-05T14:58:16.894143+00:00,33.00412162781595,-4287.72267660662,3.260693340425532,3.289229,0.02853565957446813,319.64870276513847,2.797376389996849,0,0,1,98,30.0,0,1
350,100,sweep_20260805_105318,map,4,0,354.3760206185567,101.3,1.361721350515464,3.8425888640506907,1.3408060000000002,345.13899999999995,3.884829010920239,0.462764442034,3.9893648758697986,333.109506,333.209506,2026-08-05T14:58:47.941795+00:00,35.66232223833049,-4234.747620332045,3.3007089312169318,3.334838,0.034129068783068206,323.57146714419605,3.3457033287485514,0,0,1,97,30.0,0,1
350,100,sweep_20260805_105318,map,5,0,345.775956043956,98.8,1.3376095274725275,3.8684283973246734,1.3437934999999999,340.5525,3.9459217007656666,0.45763223590875,4.010154493363313,364.179728,364.279728,2026-08-05T14:59:18.989988+00:00,35.14445667621567,-4272.257398044097,3.272083265957447,3.302532,0.030448734042552772,320.7652674158925,2.9849168018580143,0,0,1,91,30.0,0,1
350,100,sweep_20260805_105318,map,6,0,354.2545,101.2,1.3601495543478261,3.8394700825192793,1.346997,349.3105,3.856159491340799,0.47052019556849994,4.008750414855468,395.250096,395.350096,2026-08-05T14:59:50.038327+00:00,33.764638355148236,-4256.413816829526,3.2829654521276597,3.311145,0.028179547872340116,321.8320579200566,2.7624664393389775,0,0,1,92,30.0,0,1
450,100,sweep_20260805_105318,map,1,1,450.96231521739134,100.2,1.7304091195652171,3.8371479415770127,1.688551,452.41949999999997,3.732268392498555,0.7639333991444999,3.9496607357024334,449.26483,449.36483,2026-08-05T15:00:43.935967+00:00,63.954894858844455,-4303.285613203728,3.2492489414893617,3.30075,0.05150105851063813,318.5267980375396,5.0486951164222615,0,0,1,92,30.0,0,1
450,100,sweep_20260805_105318,map,2,0,449.3080957446808,99.8,1.7256367127659573,3.8406535050428956,1.710374,446.78950000000003,3.828142783122701,0.764177144273,3.988612861430997,480.333487,480.433487,2026-08-05T15:01:14.981576+00:00,61.16865416135715,-4262.965907797602,3.2775477765957444,3.330934,0.053386223404255695,321.30095831178954,5.23349952757998,0,0,1,94,30.0,0,1
