level_mA,heat_ms,sweep,cycle,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,force_mN
150,100,sweep_20260730_135311,2,155.08,16.56,-3649.47,2.01263,2.03235,0.01971,1.93
150,100,sweep_20260730_135311,3,155.15,35.68,-3626.08,2.02161,2.04605,0.02444,2.4
150,100,sweep_20260730_135311,4,159.76,17.74,-3628.39,2.01935,2.03954,0.02019,1.98
150,100,sweep_20260730_135311,5,157.17,12.37,-3602.82,2.02850,2.04696,0.01846,1.81
150,100,sweep_20260730_135311,6,158.00,16.43,-3630.70,2.01818,2.03627,0.01808,1.77
250,100,sweep_20260730_135311,2,252.06,65.49,-3591.98,2.03233,2.06310,0.03078,3.02
250,100,sweep_20260730_135311,3,254.45,53.26,-3623.61,2.02033,2.04973,0.02940,2.88
250,100,sweep_20260730_135311,4,250.58,55.39,-3670.20,2.00648,2.03767,0.03120,3.06
250,100,sweep_20260730_135311,5,251.25,50.78,-3631.70,2.01827,2.05200,0.03373,3.31
350,100,sweep_20260730_135311,2,350.69,96.57,-3611.92,2.02481,2.06976,0.04495,4.41
350,100,sweep_20260730_135311,3,351.75,105.25,-3630.43,2.01897,2.06319,0.04422,4.33
350,100,sweep_20260730_135311,4,352.81,101.14,-3584.42,2.03286,2.07759,0.04473,4.38
350,100,sweep_20260730_135311,5,355.04,99.49,-3636.93,2.01588,2.06117,0.04529,4.44
450,100,sweep_20260730_135311,2,448.64,173.24,-3630.03,2.01953,2.08695,0.06741,6.61
450,100,sweep_20260730_135311,3,446.29,167.40,-3645.80,2.01278,2.07652,0.06374,6.25
450,100,sweep_20260730_135311,4,447.08,176.75,-3672.28,2.00624,2.07271,0.06647,6.52
450,100,sweep_20260730_135311,5,445.72,176.31,-3665.71,2.00714,2.07551,0.06836,6.7
550,100,sweep_20260730_135311,2,545.68,262.83,-3661.03,2.01012,2.10050,0.09038,8.86
550,100,sweep_20260730_135311,3,544.94,253.69,-3618.38,2.02417,2.11169,0.08751,8.58
550,100,sweep_20260730_135311,4,545.97,262.16,-3634.35,2.01840,2.11323,0.09483,9.3
550,100,sweep_20260730_135311,5,544.63,256.95,-3656.95,2.01045,2.10514,0.09469,9.28
650,100,sweep_20260730_135311,2,643.32,376.10,-3623.94,2.02076,2.15206,0.13129,12.87
650,100,sweep_20260730_135311,3,642.50,365.75,-3645.67,2.01271,2.14461,0.13190,12.93
650,100,sweep_20260730_135311,4,647.51,378.86,-3634.73,2.01823,2.15008,0.13186,12.93
650,100,sweep_20260730_135311,5,647.06,368.91,-3597.24,2.02825,2.15431,0.12606,12.36
750,100,sweep_20260730_162137,2,742.42,567.79,-3636.22,1.98895,2.18174,0.19279,18.9
750,100,sweep_20260730_135311,3,747.33,513.65,-3644.75,2.01210,2.18643,0.17433,17.09
750,100,sweep_20260730_162137,3,739.44,544.82,-3652.43,1.98428,2.17092,0.18664,18.3
750,100,sweep_20260730_135311,4,745.16,514.15,-3628.15,2.01762,2.19778,0.18016,17.66
750,100,sweep_20260730_162137,4,741.21,530.77,-3804.46,1.93612,2.11463,0.17851,17.5
750,100,sweep_20260730_162137,5,742.37,521.42,-3730.49,1.95890,2.13817,0.17927,17.57
850,100,sweep_20260730_162137,2,842.53,676.54,-3784.48,1.94148,2.16768,0.22620,22.17
850,100,sweep_20260730_135311,3,845.66,692.75,-3595.14,2.02849,2.26335,0.23487,23.02
850,100,sweep_20260730_162137,3,841.53,726.36,-3729.25,1.96168,2.20246,0.24077,23.6
850,100,sweep_20260730_135311,4,841.53,674.12,-3600.17,2.02376,2.26274,0.23898,23.43
850,100,sweep_20260730_162137,4,841.40,679.77,-3771.49,1.94602,2.17387,0.22785,22.34
850,100,sweep_20260730_135311,5,841.16,668.52,-3579.93,2.03205,2.26101,0.22896,22.45
850,100,sweep_20260730_162137,5,842.65,706.97,-3769.68,1.94877,2.18768,0.23890,23.42
950,100,sweep_20260730_135311,2,937.70,890.21,-3610.44,2.02064,2.31942,0.29879,29.29
950,100,sweep_20260730_135311,3,940.69,896.99,-3606.45,2.02322,2.32527,0.30205,29.61
950,100,sweep_20260730_135311,4,942.97,892.95,-3613.98,2.01969,2.31855,0.29887,29.3
950,100,sweep_20260730_135311,5,951.87,918.80,-3629.42,2.01482,2.32167,0.30684,30.08
150,200,sweep_20260730_135311,2,157.35,38.63,-3682.30,2.00254,2.02833,0.02579,2.53
150,200,sweep_20260730_135311,3,157.91,26.02,-3640.62,2.01582,2.03921,0.02339,2.29
150,200,sweep_20260730_135311,4,154.78,51.88,-3695.61,1.99653,2.02647,0.02994,2.94
150,200,sweep_20260730_135311,5,155.45,32.63,-3652.46,2.01181,2.03806,0.02625,2.57
150,200,sweep_20260730_135311,6,157.55,-37.72,-3631.16,2.01739,2.03127,0.01388,1.36
250,200,sweep_20260730_135311,2,255.00,99.70,-3631.48,2.01873,2.05932,0.04059,3.98
250,200,sweep_20260730_135311,3,250.97,105.46,-3658.21,2.01017,2.05315,0.04298,4.21
250,200,sweep_20260730_135311,4,255.51,85.51,-3616.56,2.02240,2.05977,0.03737,3.66
250,200,sweep_20260730_135311,5,250.43,89.54,-3668.98,2.00601,2.04243,0.03642,3.57
250,200,sweep_20260730_135311,6,252.08,92.91,-3640.01,2.01607,2.05572,0.03965,3.89
350,200,sweep_20260730_135311,2,349.13,203.57,-3645.08,2.01450,2.08363,0.06913,6.78
350,200,sweep_20260730_135311,3,349.40,200.20,-3626.39,2.02026,2.09339,0.07312,7.17
350,200,sweep_20260730_135311,4,349.75,204.07,-3634.65,2.01652,2.08792,0.07139,7.0
350,200,sweep_20260730_135311,5,349.96,193.52,-3627.60,2.01839,2.08624,0.06785,6.65
350,200,sweep_20260730_135311,6,349.58,204.16,-3663.14,2.00710,2.07861,0.07152,7.01
450,200,sweep_20260730_135311,2,448.42,342.75,-3646.26,2.01328,2.12921,0.11593,11.36
450,200,sweep_20260730_135311,3,447.15,320.08,-3670.19,2.00392,2.11120,0.10727,10.52
450,200,sweep_20260730_135311,4,448.01,330.09,-3632.09,2.01631,2.13214,0.11582,11.35
450,200,sweep_20260730_135311,5,450.17,341.65,-3603.46,2.02638,2.14678,0.12040,11.8
450,200,sweep_20260730_135311,6,449.27,345.13,-3649.42,2.01252,2.13464,0.12212,11.97
550,200,sweep_20260730_135311,2,560.89,562.02,-3673.21,2.00590,2.19119,0.18529,18.16
550,200,sweep_20260730_135311,3,547.97,517.51,-3642.82,2.01445,2.18604,0.17160,16.82
550,200,sweep_20260730_135311,4,558.24,568.83,-3618.10,2.02135,2.21416,0.19281,18.9
550,200,sweep_20260730_135311,5,551.05,538.94,-3642.71,2.01396,2.19208,0.17812,17.46
550,200,sweep_20260730_135311,6,546.42,542.81,-3611.78,2.02434,2.20229,0.17795,17.44
650,200,sweep_20260730_135311,2,647.02,797.97,-3627.68,2.01835,2.28112,0.26277,25.76
650,200,sweep_20260730_135311,3,645.79,761.52,-3625.63,2.01669,2.26554,0.24885,24.39
650,200,sweep_20260730_135311,4,645.23,782.51,-3646.61,2.01026,2.27127,0.26101,25.59
650,200,sweep_20260730_135311,5,660.84,819.14,-3595.55,2.02594,2.29805,0.27211,26.68
650,200,sweep_20260730_135311,6,648.99,752.33,-3652.76,2.00772,2.26241,0.25469,24.97
750,200,sweep_20260730_135311,2,749.81,1124.24,-3671.44,2.00402,2.36733,0.36331,35.62
750,200,sweep_20260730_162137,2,746.70,1170.44,-3752.05,1.95323,2.34183,0.38859,38.09
