heat_ms,level_mA,n_cycles,n_in_median,i_mA_mean,dx_um_median,dx_um_min,dx_um_max,dF_mN_median,n_clipped,n_railed,saturated,cool_s
100,150,6,5,161.5,15.8,-30.0,83.3,1.18,0,0,0,30.0
100,250,6,5,264.0,46.5,42.0,99.8,1.99,0,0,0,30.0
100,350,6,5,350.8,94.7,85.6,147.7,3.74,0,0,0,30.0
100,450,6,5,449.1,160.0,154.6,174.8,5.47,0,0,0,30.0
100,550,6,5,591.6,263.0,250.9,620.7,9.2,0,0,0,30.0
100,650,6,5,652.4,374.0,357.7,376.8,12.4,0,0,0,30.0
100,750,6,5,751.4,520.6,491.4,551.4,17.32,0,0,0,30.0
100,850,6,5,899.1,705.4,653.0,1680.6,23.11,0,0,0,30.0
100,950,6,5,950.8,905.4,862.1,931.8,30.22,0,0,0,30.0
200,150,6,5,151.8,19.7,-40.5,88.0,1.07,0,0,0,30.0
200,250,6,5,251.1,82.9,73.8,158.5,3.27,0,0,0,30.0
200,350,12,10,430.5,199.5,-0.1,2647.5,6.62,2,2,0,30.0
200,450,6,5,449.5,344.9,339.9,369.8,11.08,0,0,0,30.0
200,550,6,5,550.6,551.3,530.0,568.8,17.51,0,0,0,30.0
200,650,6,5,650.3,793.1,780.9,852.7,25.46,0,0,0,30.0
200,750,6,5,750.8,1157.1,1099.4,1176.5,37.22,0,0,0,30.0
200,850,6,5,850.8,1642.7,1533.2,1694.6,53.24,0,0,0,30.0
200,950,6,5,951.2,2502.9,2293.0,2594.5,79.8,0,0,0,30.0
300,150,6,5,150.7,32.1,24.6,101.4,1.82,0,0,0,30.0
300,250,6,5,251.2,134.1,128.7,144.5,4.77,0,0,0,30.0
300,350,6,5,350.5,273.7,269.7,315.7,8.82,0,0,0,30.0
300,450,6,5,449.1,500.9,471.2,527.6,16.31,0,0,0,30.0
300,550,6,5,550.0,822.0,783.0,848.8,26.81,0,0,0,30.0
300,650,6,5,650.5,1264.6,1239.2,1366.4,40.77,0,0,0,30.0
300,750,6,5,750.7,2062.9,1911.3,2136.1,65.44,0,0,0,30.0
300,850,6,5,850.8,3441.5,3172.5,3605.4,107.72,0,0,0,30.0
300,950,18,14,931.1,6097.7,814.0,8687.9,192.56,1,1,0,30.0
400,150,6,5,151.1,41.6,31.1,109.9,2.05,0,0,0,30.0
400,250,6,5,251.2,173.4,163.4,202.5,6.13,0,0,0,30.0
400,350,6,5,349.0,368.8,352.5,384.4,11.87,0,0,0,30.0
400,450,6,5,449.8,703.8,671.4,715.0,22.45,0,0,0,30.0
400,550,6,5,550.4,1145.6,1127.5,1171.3,36.54,0,0,0,30.0
400,650,6,5,650.8,2095.4,1847.8,2174.9,66.24,0,0,0,30.0
400,750,18,14,727.1,3711.1,749.1,3973.4,116.41,0,0,0,30.0
400,850,18,14,823.5,6778.9,1070.0,7017.4,214.03,0,0,0,30.0
400,950,8,6,882.0,8631.8,1338.1,9321.0,294.33,5,7,1,30.0
