heat_ms,level_mA,n_cycles,i_mA_mean,dx_um_median,dx_um_mean,dx_um_std,dx_um_min,dx_um_max,dF_mN_median,dF_mN_std,cool_s
100,650,5,645.7,374.0,368.7,8.7,357.7,376.7,12.39,0.26,30
100,750,5,742.3,520.6,526.9,17.3,511.7,551.5,17.32,0.5,30
100,850,5,897.6,705.5,892.2,441.0,669.1,1680.7,23.11,14.75,30
100,950,5,938.6,905.3,902.0,21.8,878.7,931.8,30.22,0.9,30
200,350,5,349.6,195.3,199.2,7.2,192.2,209.5,6.63,0.32,30
200,450,5,446.6,344.7,352.0,13.2,339.9,369.8,11.08,0.36,30
200,550,5,547.1,551.4,549.9,14.0,530.0,568.8,17.51,0.39,30
200,650,5,645.9,793.2,808.9,29.1,786.3,852.9,25.45,0.8,30
200,750,5,745.0,1157.1,1150.6,19.8,1129.0,1176.7,37.21,0.81,30
200,850,5,844.3,1642.7,1648.4,27.5,1626.4,1694.6,53.24,0.91,30
200,950,5,943.2,2502.8,2495.9,81.2,2369.3,2594.7,79.8,2.24,30
300,150,5,150.1,32.0,35.5,9.3,24.6,48.2,1.81,0.25,30
300,250,5,250.4,134.1,135.2,5.7,128.6,144.2,4.76,0.18,30
300,350,5,349.4,273.8,278.8,10.6,269.4,295.9,8.81,0.41,30
300,450,5,447.0,501.0,500.0,21.8,471.1,527.7,16.31,0.48,30
300,550,5,547.7,822.1,831.2,14.7,819.2,848.9,26.82,0.41,30
300,650,5,647.4,1264.5,1291.0,46.3,1258.8,1366.5,40.76,1.22,30
300,750,5,746.8,2062.6,2085.1,40.9,2045.7,2136.2,65.44,1.2,30
300,850,5,845.8,3441.4,3480.0,99.1,3371.0,3605.5,107.72,3.44,30
300,950,13,946.1,6073.3,6090.9,163.2,5855.3,6481.3,192.53,5.68,30
400,150,5,150.9,41.9,45.9,15.9,31.0,72.9,2.05,0.43,30
400,250,5,250.7,173.4,172.7,5.6,163.4,177.9,6.12,0.35,30
400,350,5,348.0,368.6,368.5,11.1,352.4,383.6,11.87,0.24,30
400,450,5,448.0,703.6,698.4,14.5,681.9,715.1,22.46,0.35,30
400,550,5,548.5,1156.2,1149.6,18.7,1127.2,1171.3,36.66,0.6,30
400,650,5,648.4,2095.4,2071.1,117.6,1877.5,2175.1,66.23,3.52,30
400,750,14,747.9,3711.1,3714.4,137.7,3449.6,3973.6,116.41,4.8,30
400,850,14,847.5,6779.1,6690.3,234.7,6248.8,7017.4,214.03,8.43,30
