src,hw_us,value,raw_code,seq
2,8604948,1.93371200,3244230,2273
1,8605959,4.72413700,2029001349,2274
2,8606971,1.92951600,3237190,2274
1,8607975,4.72511700,2029422499,2275
2,8608987,1.93096400,3239620,2275
1,8609997,4.72466100,2029226618,2276
2,8611009,1.92474700,3229190,2276
1,8612013,4.72510500,2029417397,2277
2,8613025,1.93542200,3247100,2277
1,8614035,4.72510500,2029417397,2278
2,8615041,1.93542200,3247100,2278
1,8616051,4.72462600,2029211329,2279
2,8617063,1.94187800,3257930,2279
1,8618074,4.72362900,2028782944,2280
2,8619080,1.93126200,3240120,2280
1,8620090,4.72362300,2028780842,2281
2,8621102,1.93771700,3250950,2281
1,8622106,4.72466300,2029227282,2282
2,8623118,1.94059000,3255770,2282
1,8624128,4.72466300,2029227282,2283
2,8625140,1.94059000,3255770,2283
1,8626144,4.72430600,2029073766,2284
2,8627156,1.93258500,3242340,2284
1,8628166,4.72484700,2029306183,2285
2,8629172,1.92611800,3231490,2285
1,8630183,4.72477900,2029277153,2286
2,8631195,1.92868100,3235790,2286
1,8632198,4.72359100,2028767129,2287
2,8633211,1.92878800,3235970,2287
1,8634221,4.72365100,2028792648,2288
2,8635233,1.92878800,3235970,2288
1,8636237,4.72365100,2028792648,2289
2,8637249,1.92903900,3236390,2289
1,8638259,4.72504600,2029391596,2290
2,8639271,1.93466500,3245830,2290
1,8640275,4.72461500,2029206743,2291
2,8641287,1.94059600,3255780,2291
1,8642298,4.72521500,2029464558,2292
2,8643304,1.93927300,3253560,2292
1,8644314,4.72525200,2029480010,2293
2,8645326,1.93573200,3247620,2293
1,8646336,4.72525200,2029480010,2294
2,8647342,1.93573200,3247620,2294
1,8648352,4.72393100,2028912909,2295
2,8649364,1.93083300,3239400,2295
1,8650368,4.72348000,2028719186,2296
2,8651380,1.93105300,3239770,2296
1,8652391,4.72442400,2029124736,2297
2,8653403,1.93868900,3252580,2297
1,8654407,4.72402800,2028954486,2298
2,8655419,1.93442700,3245430,2298
1,8656429,4.72402800,2028954486,2299
2,8657435,1.93442700,3245430,2299
1,8658445,4.72447700,2029147313,2300
2,8659457,1.92354300,3227170,2300
1,8660467,4.72472900,2029255555,2301
2,8661473,1.93345500,3243800,2301
1,8662483,4.72354800,2028748290,2302
2,8663496,1.93451600,3245580,2302
1,8664499,4.72330900,2028645673,2303
2,8665511,1.93059400,3239000,2303
1,8666522,4.72330900,2028645673,2304
2,8667534,1.93059400,3239000,2304
1,8668538,4.72452000,2029166010,2305
2,8669550,1.93162600,3240730,2305
1,8670560,4.72426100,2029054633,2306
2,8671572,1.92884200,3236060,2306
1,8672576,4.72458100,2029192005,2307
2,8673588,1.93193000,3241240,2307
1,8674599,4.72491800,2029336755,2308
2,8675604,1.93291900,3242900,2308
1,8676614,4.72389800,2028898766,2309
2,8677627,1.93291900,3242900,2309
1,8678631,4.72389800,2028898766,2310
2,8679643,1.93041600,3238700,2310
1,8680653,4.72354000,2028745198,2311
2,8681665,1.92694700,3232880,2311
1,8682669,4.72473100,2029256630,2312
2,8683681,1.91859600,3218870,2312
1,8684691,4.72484000,2029303305,2313
2,8685703,1.92369800,3227430,2313
1,8686707,4.72518800,2029452971,2314
2,8687720,1.92369800,3227430,2314
1,8688723,4.72518800,2029452971,2315
2,8689736,1.93451600,3245580,2315
1,8690746,4.72539900,2029543342,2316
2,8691758,1.92783500,3234370,2316
1,8692762,4.72407200,2028973196,2317
2,8693774,1.93131600,3240210,2317
1,8694784,4.72313600,2028571566,2318
2,8695796,1.92704800,3233050,2318
1,8696800,4.72407700,2028975750,2319
2,8697812,1.93550600,3247240,2319
1,8698822,4.72407700,2028975750,2320
2,8699835,1.93550600,3247240,2320
1,8700838,4.72414800,2029006268,2321
