src,hw_us,value,raw_code,seq
1,7169129,4.72488500,2029322921,1562
2,7170135,1.96040300,3289010,1562
1,7171145,4.72419400,2029025940,1563
2,7172157,1.95924000,3287060,1563
1,7173168,4.72517300,2029446237,1564
2,7174174,1.96132100,3290550,1564
1,7175184,4.72550800,2029590250,1565
2,7176196,1.95908500,3286800,1565
1,7177200,4.72550800,2029590250,1566
2,7178212,1.95908500,3286800,1566
1,7179222,4.72558900,2029625265,1567
2,7180234,1.95308300,3276730,1567
1,7181238,4.72614000,2029861543,1568
2,7182250,1.95031200,3272080,1568
1,7183261,4.72524100,2029475485,1569
2,7184266,1.94803500,3268260,1569
1,7185277,4.72440900,2029118339,1570
2,7186289,1.95637300,3282250,1570
1,7187293,4.72440900,2029118339,1571
2,7188305,1.95637300,3282250,1571
1,7189315,4.72500900,2029375611,1572
2,7190327,1.95963400,3287720,1572
1,7191331,4.72542800,2029555800,1573
2,7192343,1.95717200,3283590,1573
1,7193353,4.72533800,2029517213,1574
2,7194366,1.95415600,3278530,1574
1,7195369,4.72583200,2029729254,1575
2,7196381,1.95874600,3286230,1575
1,7197392,4.72583200,2029729254,1576
2,7198398,1.95874600,3286230,1576
1,7199408,4.72505900,2029397330,1577
2,7200420,1.95426300,3278710,1577
1,7201424,4.72411100,2028990106,1578
2,7202436,1.95171200,3274430,1578
1,7203446,4.72471300,2029249076,1579
2,7204458,1.95930600,3287170,1579
1,7205462,4.72535700,2029525298,1580
2,7206474,1.95704100,3283370,1580
1,7207485,4.72517100,2029445550,1581
2,7208490,1.95704100,3283370,1581
1,7209501,4.72517100,2029445550,1582
2,7210513,1.95535400,3280540,1582
1,7211517,4.72581200,2029720777,1583
2,7212529,1.95388200,3278070,1583
1,7213539,4.72531300,2029506614,1584
2,7214551,1.94996000,3271490,1584
1,7215555,4.72440300,2029115759,1585
2,7216567,1.96008100,3288470,1585
1,7217577,4.72479300,2029282859,1586
2,7218590,1.96008100,3288470,1586
1,7219593,4.72479300,2029282859,1587
2,7220606,1.96170200,3291190,1587
1,7221616,4.72565700,2029654117,1588
2,7222621,1.96306700,3293480,1588
1,7223632,4.72535200,2029523043,1589
2,7224644,1.96192900,3291570,1589
1,7225654,4.72594800,2029779389,1590
2,7226660,1.96613700,3298630,1590
1,7227670,4.72551700,2029593952,1591
2,7228682,1.96577900,3298030,1591
1,7229686,4.72551700,2029593952,1592
2,7230698,1.96577900,3298030,1592
1,7231709,4.72445200,2029136636,1593
2,7232721,1.96850300,3302600,1593
1,7233724,4.72472600,2029254339,1594
2,7234737,1.96443200,3295770,1594
1,7235747,4.72586400,2029743209,1595
2,7236759,1.95017500,3271850,1595
1,7237763,4.72539100,2029540117,1596
2,7238775,1.95451400,3279130,1596
1,7239785,4.72539100,2029540117,1597
2,7240791,1.95451400,3279130,1597
1,7241801,4.72591000,2029763070,1598
2,7242814,1.96104100,3290080,1598
1,7243817,4.72558700,2029624053,1599
2,7244830,1.95409700,3278430,1599
1,7245840,4.72448000,2029148816,1600
2,7246852,1.95330400,3277100,1600
1,7247856,4.72453200,2029170839,1601
2,7248868,1.95513400,3280170,1601
1,7249878,4.72564800,2029650577,1602
2,7250890,1.95513400,3280170,1602
1,7251894,4.72564800,2029650577,1603
2,7252906,1.95360800,3277610,1603
1,7253916,4.72522900,2029470586,1604
2,7254922,1.95459700,3279270,1604
1,7255933,4.72561100,2029634373,1605
2,7256945,1.94907200,3270000,1605
1,7257949,4.72550200,2029587568,1606
2,7258961,1.95717200,3283590,1606
1,7259971,4.72440600,2029117072,1607
2,7260983,1.95717200,3283590,1607
1,7261987,4.72440600,2029117072,1608
2,7262999,1.95698100,3283270,1608
1,7264009,4.72438100,2029106157,1609
2,7265022,1.94906600,3269990,1609
1,7266025,4.72562400,2029640185,1610
2,7267038,1.96046200,3289110,1610
1,7268048,4.72530900,2029504757,1611
2,7269053,1.95851300,3285840,1611
1,7270064,4.72590000,2029758446,1612
2,7271076,1.95999700,3288330,1612
1,7272080,4.72590000,2029758446,1613
2,7273092,1.95999700,3288330,1613
1,7274102,4.72587600,2029748437,1614
2,7275114,1.96604100,3298470,1614
1,7276118,4.72458700,2029194476,1615
2,7277130,1.96518900,3297040,1615
1,7278141,4.72436500,2029099376,1616
2,7279153,1.95654000,3282530,1616
1,7280156,4.72539700,2029542579,1617
2,7281166,1.95096100,3273170,1617
1,7282176,4.72539700,2029542579,1618
2,7283188,1.95096100,3273170,1618
1,7284198,4.72504300,2029390647,1619
2,7285204,1.96139800,3290680,1619
1,7286214,4.72552700,2029598542,1620
2,7287226,1.94792800,3268080,1620
1,7288236,4.72576200,2029699315,1621
2,7289242,1.95496700,3279890,1621
1,7290253,4.72469600,2029241438,1622
2,7291265,1.96066500,3289450,1622
1,7292269,4.72431800,2029079167,1623
2,7293281,1.96066500,3289450,1623
1,7294291,4.72431800,2029079167,1624
2,7295303,1.95953800,3287560,1624
1,7296307,4.72549900,2029586117,1625
2,7297319,1.95386400,3278040,1625
1,7298329,4.72531100,2029505725,1626
2,7299341,1.95536000,3280550,1626
1,7300345,4.72569200,2029669129,1627
2,7301358,1.95024000,3271960,1627
1,7302368,4.72586500,2029743559,1628
2,7303374,1.95024000,3271960,1628
1,7304384,4.72586500,2029743559,1629
2,7305396,1.94529900,3263670,1629
1,7306406,4.72458800,2029195081,1630
2,7307412,1.95816800,3285260,1630
1,7308422,4.72407400,2028974412,1631
2,7309434,1.95854900,3285900,1631
1,7310438,4.72501500,2029378561,1632
2,7311450,1.96793100,3301640,1632
1,7312461,4.72495700,2029353415,1633
2,7313473,1.95797700,3284940,1633
1,7314477,4.72495700,2029353415,1634
2,7315489,1.95797700,3284940,1634
1,7316499,4.72541100,2029548830,1635
2,7317511,1.95198700,3274890,1635
1,7318515,4.72573700,2029688598,1636
2,7319527,1.95566400,3281060,1636
1,7320537,4.72473900,2029259905,1637
2,7321543,1.95505000,3280030,1637
1,7322553,4.72422200,2029037981,1638
2,7323565,1.95773200,3284530,1638
1,7324576,4.72422200,2029037981,1639
