src,hw_us,value,raw_code,seq
2,21236628,1.96621400,3298760,8531
1,21237639,4.72569500,2029670371,8532
2,21238651,1.96395500,3294970,8532
1,21239655,4.72573000,2029685538,8533
2,21240667,1.95995000,3288250,8533
1,21241677,4.72642300,2029983383,8534
2,21242689,1.94925100,3270300,8534
1,21243693,4.72722000,2030325280,8535
2,21244705,1.95537800,3280580,8535
1,21245715,4.72722000,2030325280,8536
2,21246728,1.95537800,3280580,8536
1,21247731,4.72660800,2030062648,8537
2,21248744,1.96067100,3289460,8537
1,21249754,4.72629100,2029926486,8538
2,21250760,1.95382800,3277980,8538
1,21251770,4.72744400,2030421682,8539
2,21252782,1.95171800,3274440,8539
1,21253792,4.72745800,2030427804,8540
2,21254798,1.94817200,3268490,8540
1,21255808,4.72763000,2030501421,8541
2,21256820,1.94817200,3268490,8541
1,21257831,4.72763000,2030501421,8542
2,21258836,1.95116400,3273510,8542
1,21259847,4.72783400,2030589130,8543
2,21260859,1.95622400,3282000,8543
1,21261863,4.72650700,2030019411,8544
2,21262875,1.95102100,3273270,8544
1,21263885,4.72539000,2029539335,8545
2,21264897,1.96399700,3295040,8545
1,21265901,4.72593800,2029774969,8546
2,21266913,1.96399700,3295040,8546
1,21267923,4.72593800,2029774969,8547
2,21268936,1.95800700,3284990,8547
1,21269939,4.72607600,2029833933,8548
2,21270952,1.94510800,3263350,8548
1,21271955,4.72593900,2029775443,8549
2,21272968,1.94578800,3264490,8549
1,21273978,4.72635100,2029952159,8550
2,21274990,1.94912600,3270090,8550
1,21275994,4.72556500,2029614712,8551
2,21277006,1.95366700,3277710,8551
1,21278016,4.72556500,2029614712,8552
2,21279028,1.95366700,3277710,8552
1,21280032,4.72496400,2029356577,8553
2,21281044,1.94833300,3268760,8553
1,21282055,4.72596600,2029787135,8554
2,21283067,1.94850000,3269040,8554
1,21284071,4.72667800,2030092904,8555
2,21285083,1.95152200,3274110,8555
1,21286093,4.72693400,2030202667,8556
2,21287099,1.95192700,3274790,8556
1,21288109,4.72693400,2030202667,8557
2,21289121,1.95192700,3274790,8557
1,21290131,4.72765000,2030510389,8558
2,21291137,1.95360800,3277610,8558
1,21292147,4.72713900,2030290484,8559
2,21293160,1.95298800,3276570,8559
1,21294163,4.72633000,2029943466,8560
2,21295176,1.95587900,3281420,8560
1,21296186,4.72680100,2030145794,8561
2,21297198,1.95198700,3274890,8561
1,21298202,4.72735800,2030384687,8562
2,21299214,1.95198700,3274890,8562
1,21300224,4.72735800,2030384687,8563
2,21301236,1.94917300,3270170,8563
1,21302240,4.72690800,2030191440,8564
2,21303252,1.95086600,3273010,8564
1,21304263,4.72708800,2030269104,8565
2,21305268,1.95965200,3287750,8565
1,21306279,4.72611000,2029849021,8566
2,21307291,1.94085200,3256210,8566
1,21308295,4.72480100,2029286433,8567
2,21309307,1.94085200,3256210,8567
1,21310317,4.72480100,2029286433,8568
2,21311329,1.94429200,3261980,8568
1,21312333,4.72510100,2029415219,8569
2,21313345,1.95205200,3275000,8569
1,21314355,4.72585400,2029738917,8570
2,21315368,1.95630200,3282130,8570
1,21316371,4.72560800,2029633178,8571
2,21317384,1.95444200,3279010,8571
1,21318394,4.72619200,2029883996,8572
2,21319406,1.94412500,3261700,8572
1,21320410,4.72619200,2029883996,8573
2,21321422,1.94412500,3261700,8573
1,21322432,4.72609000,2029840210,8574
2,21323444,1.94389800,3261320,8574
1,21324448,4.72532000,2029509546,8575
2,21325460,1.95128900,3273720,8575
1,21326471,4.72589400,2029755997,8576
2,21327476,1.95218300,3275220,8576
1,21328487,4.72719600,2030315079,8577
2,21329499,1.96299600,3293360,8577
1,21330503,4.72719600,2030315079,8578
2,21331515,1.96299600,3293360,8578
1,21332525,4.72711500,2030280310,8579
2,21333537,1.95749400,3284130,8579
1,21334541,4.72774100,2030549065,8580
2,21335553,1.95476400,3279550,8580
1,21336563,4.72755700,2030470330,8581
2,21337576,1.95867400,3286110,8581
1,21338579,4.72638300,2029966177,8582
2,21339592,1.96175600,3291280,8582
1,21340602,4.72618800,2029882188,8583
2,21341608,1.96175600,3291280,8583
1,21342618,4.72618800,2029882188,8584
2,21343630,1.95823300,3285370,8584
1,21344634,4.72704600,2030250662,8585
2,21345646,1.95456700,3279220,8585
1,21346656,4.72639000,2029969008,8586
2,21347668,1.95011500,3271750,8586
1,21348672,4.72661500,2030065906,8587
2,21349684,1.95733900,3283870,8587
1,21350695,4.72637700,2029963292,8588
2,21351707,1.95733900,3283870,8588
1,21352711,4.72637700,2029963292,8589
2,21353723,1.95950300,3287500,8589
1,21354733,4.72511200,2029419952,8590
2,21355739,1.96046800,3289120,8590
1,21356749,4.72486000,2029311729,8591
2,21357761,1.95953800,3287560,8591
1,21358771,4.72601500,2029807783,8592
2,21359777,1.96318000,3293670,8592
1,21360787,4.72574300,2029691006,8593
2,21361800,1.94948900,3270700,8593
1,21362803,4.72574300,2029691006,8594
2,21363816,1.94948900,3270700,8594
1,21364826,4.72636300,2029957605,8595
2,21365838,1.95554500,3280860,8595
1,21366842,4.72653400,2030031027,8596
2,21367854,1.96112400,3290220,8596
1,21368864,4.72565100,2029651778,8597
2,21369876,1.95668300,3282770,8597
1,21370880,4.72570200,2029673613,8598
2,21371892,1.95317300,3276880,8598
1,21372903,4.72570200,2029673613,8599
2,21373908,1.95317300,3276880,8599
1,21374919,4.72702900,2030243473,8600
2,21375931,1.94887500,3269670,8600
