src,hw_us,value,raw_code,seq
2,45060497,1.74424100,2926350,20095
3,47257521,0.46409300,0,0
4,47257521,0.10570300,0,0
1,45061498,4.69073800,2014656479,20097
2,45062507,1.74450900,2926800,20096
1,45063514,4.68964300,2014186444,20098
2,45064523,1.74504500,2927700,20097
1,45065530,4.68974100,2014228437,20099
2,45066539,1.74400800,2925960,20098
1,45067539,4.68996000,2014322401,20100
2,45068548,1.74400800,2925960,20099
1,45069555,4.68996000,2014322401,20101
2,45070564,1.74389500,2925770,20100
1,45071571,4.68953300,2014139323,20102
2,45072580,1.74340600,2924950,20101
1,45073587,4.68979700,2014252613,20103
2,45074596,1.74407400,2926070,20102
1,45075597,4.68954900,2014145794,20104
2,45076606,1.74570700,2928810,20103
1,45077613,4.68892000,2013875827,20105
2,45078622,1.74944400,2935080,20104
1,45079629,4.68892000,2013875827,20106
2,45080638,1.74944400,2935080,20105
1,45081638,4.68940300,2014083371,20107
2,45082647,1.74186800,2922370,20106
1,45083654,4.69044600,2014531396,20108
2,45084663,1.74068200,2920380,20107
1,45085670,4.69029600,2014466741,20109
2,45086679,1.74297700,2924230,20108
1,45087686,4.69074300,2014658722,20110
2,45088695,1.74224400,2923000,20109
1,45089696,4.69074300,2014658722,20111
2,45090705,1.74224400,2923000,20110
1,45091712,4.69052200,2014563727,20112
2,45092721,1.74723900,2931380,20111
1,45093728,4.68948400,2014117886,20113
2,45094737,1.74664900,2930390,20112
1,45095738,4.68950200,2014125584,20114
2,45096747,1.74293500,2924160,20113
1,45097754,4.69025000,2014447123,20115
2,45098763,1.74293500,2924160,20114
1,45099770,4.69025000,2014447123,20116
2,45100779,1.74293500,2924160,20115
1,45101779,4.68950200,2014125568,20117
2,45102795,1.74553400,2928520,20116
1,45103795,4.68938900,2014077179,20118
2,45104804,1.74142100,2921620,20117
1,45105811,4.68884900,2013845206,20119
2,45106820,1.73913800,2917790,20118
1,45107827,4.68756000,2013291743,20120
2,45108836,1.74095600,2920840,20119
1,45109837,4.68733400,2013194456,20121
2,45110846,1.74095600,2920840,20120
1,45111853,4.68733400,2013194456,20122
2,45112862,1.74261300,2923620,20121
1,45113869,4.68840400,2013654312,20123
2,45114878,1.74291700,2924130,20122
1,45115885,4.68796700,2013466540,20124
2,45116894,1.74613000,2929520,20123
1,45117894,4.68842300,2013662195,20125
2,45118903,1.74446700,2926730,20124
1,45119910,4.68858100,2013730009,20126
2,45120919,1.74446700,2926730,20125
1,45121926,4.68858100,2013730009,20127
2,45122935,1.74548600,2928440,20126
1,45123936,4.68781300,2013400143,20128
2,45124945,1.74596900,2929250,20127
1,45125952,4.68780000,2013394750,20129
2,45126961,1.74375200,2925530,20128
1,45127968,4.68913700,2013968913,20130
2,45128977,1.74610600,2929480,20129
1,45129978,4.68894900,2013888430,20131
2,45130987,1.74447900,2926750,20130
1,45131994,4.68894900,2013888430,20132
2,45133003,1.74447900,2926750,20131
1,45134010,4.68936700,2014067755,20133
2,45135019,1.74078300,2920550,20132
1,45136026,4.68916700,2013981931,20134
2,45137028,1.74082500,2920620,20133
1,45138035,4.68789100,2013433588,20135
2,45139044,1.74269100,2923750,20134
1,45140051,4.68729700,2013178876,20136
2,45141060,1.74162400,2921960,20135
1,45142067,4.68729700,2013178876,20137
2,45143076,1.74162400,2921960,20136
1,45144083,4.68803100,2013493884,20138
2,45145086,1.74362700,2925320,20137
1,45146093,4.68718200,2013129181,20139
2,45147102,1.74546800,2928410,20138
1,45148109,4.68719700,2013135815,20140
2,45149118,1.74515300,2927880,20139
1,45150125,4.68708200,2013086329,20141
2,45151134,1.74402600,2925990,20140
1,45152134,4.68708200,2013086329,20142
2,45153143,1.74402600,2925990,20141
1,45154150,4.68609100,2012660595,20143
2,45155159,1.74279200,2923920,20142
1,45156166,4.68571600,2012499762,20144
2,45157175,1.74292900,2924150,20143
1,45158176,4.68666200,2012905987,20145
2,45159185,1.74545600,2928390,20144
1,45160192,4.68641000,2012797773,20146
2,45161201,1.74372800,2925490,20145
1,45162208,4.68687400,2012997217,20147
2,45163217,1.74372800,2925490,20146
1,45164224,4.68687400,2012997217,20148
2,45165233,1.74231500,2923120,20147
