level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
650,300,1,1,652.53,430.23,-4260.10,2.04827,2.39759,0.34932,0
650,300,2,0,651.33,424.43,-4213.54,2.08440,2.43281,0.34841,0
650,300,3,0,661.19,426.76,-4220.63,2.07716,2.41966,0.34250,0
650,300,4,0,657.70,450.02,-4195.75,2.09950,2.46289,0.36339,0
650,300,5,0,652.88,415.15,-4227.63,2.07240,2.40700,0.33460,0
650,300,6,0,655.29,435.82,-4194.37,2.10171,2.45341,0.35169,0
450,400,1,1,457.38,243.33,-4248.94,2.05550,2.26113,0.20563,0
450,400,2,0,448.38,252.69,-4204.52,2.09231,2.30960,0.21729,0
450,400,3,0,456.47,237.43,-4224.07,2.07452,2.27694,0.20242,0
450,400,4,0,448.85,239.58,-4218.10,2.07955,2.27940,0.19985,0
450,400,5,0,451.17,230.17,-4187.74,2.10575,2.30243,0.19667,0
450,400,6,0,452.21,230.84,-4200.26,2.09684,2.28889,0.19205,0
