file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_650mA_h300ms,650,300,1,1,0,652.53,430.23,-4260.10,204.145,34.244,0
c00_level_650mA_h300ms,650,300,2,0,0,651.33,424.43,-4213.54,207.687,34.155,0
c00_level_650mA_h300ms,650,300,3,0,0,661.19,426.76,-4220.63,206.977,33.575,0
c00_level_650mA_h300ms,650,300,4,0,0,657.70,450.02,-4195.75,209.167,35.623,0
c00_level_650mA_h300ms,650,300,5,0,0,652.88,415.15,-4227.63,206.510,32.802,0
c00_level_650mA_h300ms,650,300,6,0,0,655.29,435.82,-4194.37,209.384,34.477,0
c01_level_450mA_h400ms,450,400,1,1,0,457.38,243.33,-4248.94,204.854,20.158,0
c01_level_450mA_h400ms,450,400,2,0,0,448.38,252.69,-4204.52,208.463,21.301,0
c01_level_450mA_h400ms,450,400,3,0,0,456.47,237.43,-4224.07,206.718,19.844,0
c01_level_450mA_h400ms,450,400,4,0,0,448.85,239.58,-4218.10,207.212,19.591,0
c01_level_450mA_h400ms,450,400,5,0,0,451.17,230.17,-4187.74,209.780,19.280,0
c01_level_450mA_h400ms,450,400,6,0,0,452.21,230.84,-4200.26,208.907,18.827,0
