src,hw_us,value,raw_code,seq
1,1336511927,4.97112200,2135080631,649260
2,1336512936,2.13048500,3574360,649263
1,1336513943,4.97119700,2135112773,649261
2,1336514952,2.12968000,3573010,649264
1,1336515959,4.96975500,2134493640,649262
2,1336516968,2.12524500,3565570,649265
1,1336517975,4.96954400,2134403102,649263
3,1338714881,0.47563700,0,1020700
4,1338714881,0.09834100,0,1020700
2,1336518984,2.12145400,3559210,649266
1,1336519991,4.96954400,2134403102,649264
2,1336521000,2.12145400,3559210,649267
1,1336522007,4.97004700,2134618949,649265
2,1336523016,2.12823700,3570590,649268
1,1336524023,4.96990400,2134557466,649266
2,1336525032,2.13410900,3580440,649269
1,1336526039,4.97067500,2134888539,649267
2,1336527048,2.12684900,3568260,649270
1,1336528055,4.97095600,2135009569,649268
2,1336529064,2.12984100,3573280,649271
1,1336530071,4.97095600,2135009569,649269
2,1336531080,2.12984100,3573280,649272
1,1336532087,4.96935800,2134322863,649270
2,1336533096,2.13753600,3586190,649273
1,1336534103,4.96913300,2134226466,649271
2,1336535112,2.13670700,3584800,649274
1,1336536119,4.96966100,2134453219,649272
2,1336537128,2.13855500,3587900,649275
1,1336538135,4.96959200,2134423376,649273
2,1336539144,2.13655800,3584550,649276
1,1336540151,4.97055600,2134837673,649274
2,1336541160,2.13655800,3584550,649277
1,1336542167,4.97055600,2134837673,649275
2,1336543176,2.12654500,3567750,649278
1,1336544183,4.97113600,2135086618,649276
2,1336545192,2.13125900,3575660,649279
1,1336546199,4.96958900,2134422285,649277
2,1336547208,2.12439900,3564150,649280
1,1336548215,4.96917000,2134242118,649278
2,1336549224,2.12847000,3570980,649281
1,1336550231,4.96970100,2134470470,649279
2,1336551240,2.12847000,3570980,649282
1,1336552247,4.96970100,2134470470,649280
2,1336553256,2.13239200,3577560,649283
1,1336554263,4.96960400,2134428718,649281
2,1336555272,2.13215400,3577160,649284
1,1336556279,4.97047200,2134801580,649282
2,1336557288,2.13359600,3579580,649285
1,1336558295,4.97124500,2135133340,649283
2,1336559304,2.13741700,3585990,649286
1,1336560311,4.96965900,2134452372,649284
2,1336561320,2.12791000,3570040,649287
1,1336562327,4.96965900,2134452372,649285
2,1336563336,2.12791000,3570040,649288
1,1336564343,4.96904900,2134190497,649286
2,1336565352,2.13064000,3574620,649289
1,1336566359,4.96968100,2134461516,649287
2,1336567368,2.13890100,3588480,649290
1,1336568375,4.96958600,2134420984,649288
2,1336569384,2.13325000,3579000,649291
1,1336570391,4.97029100,2134723770,649289
2,1336571400,2.13608100,3583750,649292
1,1336572407,4.97029100,2134723770,649290
2,1336573416,2.13608100,3583750,649293
1,1336574423,4.97128400,2135150158,649291
2,1336575432,2.12888100,3571670,649294
1,1336576439,4.96989300,2134552924,649292
2,1336577448,2.13739300,3585950,649295
1,1336578455,4.96902600,2134180188,649293
2,1336579464,2.13780400,3586640,649296
1,1336580471,4.96953800,2134400090,649294
2,1336581480,2.13928200,3589120,649297
1,1336582487,4.96953800,2134400090,649295
2,1336583496,2.13928200,3589120,649298
1,1336584503,4.96958200,2134419161,649296
2,1336585512,2.13856700,3587920,649299
1,1336586519,4.97022100,2134693591,649297
2,1336587528,2.14220300,3594020,649300
1,1336588535,4.97127100,2135144428,649298
2,1336589544,2.13206400,3577010,649301
1,1336590551,4.97001600,2134605659,649299
2,1336591560,2.13382800,3579970,649302
1,1336592567,4.96909500,2134209862,649300
2,1336593576,2.13382800,3579970,649303
1,1336594583,4.96909500,2134209862,649301
2,1336595592,2.13477600,3581560,649304
1,1336596599,4.96949100,2134380031,649302
2,1336597608,2.13437700,3580890,649305
1,1336598615,4.96969800,2134468808,649303
2,1336599624,2.13619500,3583940,649306
1,1336600631,4.97028800,2134722533,649304
2,1336601640,2.13653400,3584510,649307
1,1336602647,4.97124400,2135133238,649305
2,1336603656,2.13653400,3584510,649308
1,1336604663,4.97124400,2135133238,649306
2,1336605672,2.13729100,3585780,649309
1,1336606679,4.97007800,2134632163,649307
2,1336607688,2.13502600,3581980,649310
1,1336608695,4.96916200,2134238924,649308
2,1336609704,2.13137900,3575860,649311
1,1336610711,4.96945900,2134366299,649309
2,1336611720,2.12961400,3572900,649312
1,1336612727,4.96964800,2134447653,649310
2,1336613736,2.13384000,3579990,649313
1,1336614743,4.96964800,2134447653,649311
2,1336615752,2.13384000,3579990,649314
1,1336616759,4.97011400,2134647571,649312
2,1336617768,2.13764300,3586370,649315
1,1336618775,4.97111900,2135079262,649313
2,1336619790,2.13823900,3587370,649316
1,1336620797,4.97030100,2134727849,649314
2,1336621806,2.14433100,3597590,649317
1,1336622813,4.96919500,2134252870,649315
2,1336623822,2.13611700,3583810,649318
1,1336624829,4.96919500,2134252870,649316
3,1338818949,0.49280500,0,1020701
4,1338818949,0.10134400,0,1020701
2,1336625838,2.13611700,3583810,649319
1,1336626845,4.96941500,2134347372,649317
2,1336627854,2.13375700,3579850,649320
1,1336628861,4.96970400,2134471399,649318
2,1336629870,2.13489500,3581760,649321
1,1336630877,4.97014300,2134660121,649319
2,1336631886,2.13522300,3582310,649322
1,1336632893,4.97115500,2135094758,649320
2,1336633902,2.13487100,3581720,649323
1,1336634909,4.97050200,2134814493,649321
2,1336635918,2.13487100,3581720,649324
1,1336636925,4.97050200,2134814493,649322
2,1336637934,2.13089000,3575040,649325
1,1336638941,4.96922100,2134263923,649323
2,1336639950,2.13190300,3576740,649326
1,1336640957,4.96933800,2134314512,649324
2,1336641966,2.14024800,3590740,649327
1,1336642973,4.96964600,2134446574,649325
2,1336643982,2.13935400,3589240,649328
1,1336644989,4.97006300,2134625957,649326
2,1336645998,2.13935400,3589240,649329
1,1336647005,4.97006300,2134625957,649327
2,1336648014,2.14003300,3590380,649330
1,1336649021,4.97100600,2135030997,649328
2,1336650030,2.13188500,3576710,649331
1,1336651037,4.97066600,2134884936,649329
2,1336652046,2.12986500,3573320,649332
1,1336653053,4.96926300,2134281937,649330
2,1336654062,2.13705300,3585380,649333
1,1336655069,4.96931000,2134302638,649331
2,1336656078,2.13583700,3583340,649334
1,1336657085,4.96931000,2134302638,649332
2,1336658094,2.13583700,3583340,649335
1,1336659101,4.96970900,2134473839,649333
2,1336660110,2.13322000,3578950,649336
1,1336661117,4.96993100,2134569173,649334
2,1336662126,2.13826300,3587410,649337
1,1336663133,4.97091700,2134992724,649335
2,1336664142,2.14467000,3598160,649338
1,1336665149,4.97076900,2134928908,649336
2,1336666158,2.14495100,3598630,649339
1,1336667165,4.97076900,2134928908,649337
2,1336668174,2.14495100,3598630,649340
1,1336669181,4.96922400,2134265174,649338
2,1336670190,2.13786400,3586740,649341
