level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,100,1,1,149.80,83.22,-4362.71,1.75697,1.78744,0.03046,0
150,100,2,0,129.95,60.48,-4250.26,1.79377,1.81922,0.02545,0
150,100,3,0,153.57,15.85,-4246.06,1.79204,1.80405,0.01201,0
150,100,4,0,116.73,16.11,-4179.57,1.81722,1.82855,0.01133,0
150,100,5,0,126.81,28.47,-4194.15,1.81113,1.82762,0.01649,0
150,100,6,0,125.44,27.49,-4193.17,1.81165,1.82762,0.01597,0
150,100,7,0,149.71,34.11,-4201.17,1.80845,1.82532,0.01687,0
150,100,8,0,126.40,34.70,-4193.77,1.81111,1.82947,0.01836,0
150,100,9,0,135.19,40.71,-4195.23,1.81024,1.83104,0.02079,0
150,100,10,0,130.81,-14.82,-4150.46,1.82484,1.83265,0.00781,0
150,100,11,0,120.12,-11.62,-4154.24,1.82329,1.82844,0.00515,0
150,100,12,0,124.32,54.29,-4187.09,1.81338,1.83644,0.02305,0
150,100,13,0,135.16,55.24,-4188.03,1.81304,1.83644,0.02340,0
150,100,14,0,128.70,87.39,-4167.58,1.82088,1.85381,0.03293,0
150,100,15,0,137.15,100.27,-4163.00,1.82295,1.85863,0.03568,0
150,100,16,0,150.82,14.24,-4076.60,1.85008,1.85937,0.00930,0
150,100,17,0,122.32,-12.96,-4079.92,1.84813,1.85386,0.00572,0
150,100,18,0,135.50,-33.46,-4081.65,1.84764,1.85285,0.00520,0
150,100,19,0,133.25,-48.95,-4103.91,1.83852,1.84718,0.00866,0
150,100,20,0,116.57,34.24,-4179.79,1.81589,1.83467,0.01878,0
150,100,21,0,128.78,35.68,-4181.23,1.81531,1.83467,0.01936,0
150,100,22,0,135.60,37.51,-4183.07,1.81431,1.83467,0.02036,0
150,100,23,0,153.98,-29.93,-4110.55,1.83900,1.85092,0.01192,0
150,100,24,0,136.14,98.05,-4203.65,1.80749,1.84527,0.03778,0
150,100,25,0,134.92,131.66,-4158.28,1.82121,1.87497,0.05376,0
150,100,26,0,114.73,-23.43,-4196.66,1.80909,1.81414,0.00505,0
150,100,27,0,144.62,108.00,-4222.31,1.80139,1.84154,0.04016,0
150,100,28,0,126.26,95.91,-4161.01,1.82250,1.85632,0.03382,0
150,100,29,0,135.86,126.18,-4165.96,1.82101,1.86574,0.04473,0
150,100,30,0,119.91,22.31,-4217.12,1.80212,1.81642,0.01430,0
150,100,31,0,124.69,22.50,-4216.27,1.80272,1.81642,0.01370,0
150,100,32,0,124.59,51.49,-4171.97,1.81954,1.84019,0.02066,0
150,100,33,0,131.84,99.72,-4173.21,1.81894,1.85609,0.03714,0
150,100,34,0,125.96,19.80,-4093.30,1.84385,1.85609,0.01224,0
150,100,35,0,125.65,8.80,-4082.29,1.84839,1.85609,0.00770,0
150,100,36,0,121.99,6.91,-4080.40,1.84913,1.85609,0.00696,0
150,100,37,0,124.66,4.07,-4077.56,1.84972,1.85574,0.00601,0
250,100,1,1,255.86,99.98,-4349.23,1.76232,1.80070,0.03837,0
250,100,2,0,152.39,91.04,-4125.11,1.83367,1.87118,0.03751,0
250,100,3,0,150.91,86.17,-4120.25,1.83538,1.87118,0.03580,0
250,100,4,0,149.87,39.56,-4073.63,1.85144,1.87118,0.01974,0
250,100,5,0,294.67,76.67,-4190.80,1.81261,1.84255,0.02994,0
250,100,6,0,151.07,60.87,-4161.21,1.82071,1.84686,0.02615,0
250,100,7,0,145.15,42.47,-4142.82,1.82794,1.84686,0.01892,0
250,100,8,0,148.48,31.03,-4248.96,1.79230,1.80984,0.01754,0
250,100,9,0,250.86,49.05,-4181.59,1.81679,1.83462,0.01783,0
250,100,10,0,247.69,45.99,-4299.26,1.77577,1.79897,0.02320,0
250,100,11,0,148.13,69.60,-4213.91,1.80582,1.83525,0.02943,0
250,100,12,0,146.14,59.68,-4103.19,1.84137,1.86694,0.02557,0
250,100,13,0,258.30,42.01,-4070.30,1.85093,1.87064,0.01971,0
250,100,14,0,152.62,-28.32,-4080.88,1.84841,1.86313,0.01472,0
250,100,15,0,146.98,-32.51,-4077.70,1.84928,1.86313,0.01385,0
250,100,16,0,262.66,41.99,-4241.40,1.79418,1.81447,0.02028,0
350,100,1,1,112.13,330.65,-4358.07,1.75909,1.87226,0.11317,0
350,100,2,0,110.06,88.45,-4203.12,1.80928,1.83977,0.03049,0
350,100,3,0,109.14,57.80,-4232.44,1.79758,1.82446,0.02688,0
450,100,1,1,112.14,290.33,-4352.66,1.76060,1.85695,0.09634,0
450,100,2,0,110.91,202.96,-4206.64,1.80734,1.87712,0.06978,0
450,100,3,0,112.01,157.64,-4194.16,1.81073,1.86700,0.05628,0
550,100,1,1,115.58,870.18,-4369.54,1.75401,2.04061,0.28660,0
550,100,2,0,113.30,302.91,-4161.37,1.82197,1.92798,0.10601,0
650,100,1,1,641.53,370.33,-4346.19,1.76226,1.88566,0.12340,0
650,100,2,0,649.16,374.03,-4212.45,1.80394,1.93384,0.12990,0
650,100,3,0,648.54,361.17,-4195.03,1.80972,1.93487,0.12515,0
650,100,4,0,643.79,357.67,-4206.97,1.80493,1.92959,0.12466,0
650,100,5,0,643.16,376.69,-4098.93,1.84012,1.97029,0.13017,0
650,100,6,0,643.82,374.14,-4169.78,1.81862,1.94504,0.12642,0
750,100,1,1,742.38,491.56,-4358.13,1.75781,1.92500,0.16719,0
750,100,2,0,743.99,551.52,-4107.55,1.83884,2.02352,0.18469,0
750,100,3,0,740.91,512.74,-4184.55,1.81353,1.98662,0.17309,0
750,100,4,0,741.18,520.65,-4178.94,1.81636,1.99792,0.18156,0
750,100,5,0,743.21,538.05,-4071.49,1.85073,2.02742,0.17669,0
750,100,6,0,742.44,511.72,-4189.40,1.81245,1.98578,0.17333,0
850,100,1,1,841.26,653.12,-4358.75,1.75750,1.97570,0.21820,0
850,100,2,0,840.81,705.45,-4154.64,1.82271,2.06030,0.23759,0
850,100,3,0,840.22,705.65,-4115.83,1.83526,2.06830,0.23304,0
850,100,4,0,1122.16,1680.68,-4085.47,1.84548,2.41619,0.57071,0
850,100,5,0,840.04,700.26,-4084.14,1.84470,2.08042,0.23572,0
850,100,6,0,844.87,669.13,-4105.97,1.83427,2.06549,0.23122,0
950,100,1,1,938.88,862.33,-4335.44,1.76698,2.05488,0.28790,0
950,100,2,0,941.28,931.80,-4098.46,1.83726,2.15294,0.31569,0
950,100,3,0,937.36,911.25,-4155.61,1.82016,2.13463,0.31447,0
950,100,4,0,938.74,905.34,-4123.31,1.83061,2.13885,0.30823,0
950,100,5,0,935.70,882.80,-4146.97,1.82252,2.11951,0.29698,0
950,100,6,0,939.78,878.73,-4193.40,1.80856,2.10511,0.29655,0
150,200,1,1,151.90,90.03,-4358.27,1.76003,1.79080,0.03077,0
150,200,2,0,134.41,127.18,-4226.27,1.79913,1.84601,0.04688,0
150,200,3,0,130.10,62.75,-4156.38,1.82316,1.84702,0.02385,0
150,200,4,0,127.37,46.65,-4140.29,1.82849,1.84702,0.01852,0
150,200,5,0,126.97,44.99,-4138.17,1.82905,1.84734,0.01829,0
150,200,6,0,151.53,-40.66,-4145.63,1.82476,1.83359,0.00882,0
150,200,7,0,133.89,68.10,-4204.81,1.80523,1.83496,0.02974,0
150,200,8,0,130.44,48.75,-4169.14,1.81879,1.84089,0.02210,0
150,200,9,0,126.33,38.80,-4156.51,1.82280,1.84089,0.01808,0
150,200,10,0,124.18,39.14,-4152.45,1.82455,1.84089,0.01634,0
150,200,11,0,126.55,36.95,-4149.01,1.82606,1.84098,0.01492,0
150,200,12,0,134.32,37.17,-4148.37,1.82623,1.84098,0.01475,0
150,200,13,0,151.00,28.56,-4191.34,1.80737,1.82657,0.01920,0
150,200,14,0,149.84,19.74,-4225.58,1.79981,1.81044,0.01063,0
150,200,15,0,146.16,83.72,-4263.06,1.78445,1.82254,0.03809,0
150,200,16,0,134.68,22.95,-4213.29,1.80103,1.81436,0.01333,0
150,200,17,0,132.92,63.05,-4237.73,1.79293,1.82266,0.02973,0
150,200,18,0,151.05,46.21,-4209.62,1.80328,1.82423,0.02095,0
150,200,19,0,127.63,24.98,-4174.45,1.81494,1.83118,0.01624,0
150,200,20,0,123.40,-8.91,-4153.47,1.82255,1.83135,0.00880,0
150,200,21,0,150.34,15.94,-4161.30,1.81934,1.83021,0.01087,0
150,200,22,0,132.40,-13.66,-4168.99,1.81661,1.82078,0.00417,0
150,200,23,0,117.00,69.59,-4150.83,1.82525,1.85313,0.02789,0
150,200,24,0,134.84,69.97,-4150.34,1.82537,1.85313,0.02776,0
150,200,25,0,137.54,33.64,-4092.24,1.84282,1.85825,0.01543,0
250,200,1,1,249.16,158.69,-4355.79,1.76129,1.81350,0.05220,0
250,200,2,0,145.87,79.56,-4192.51,1.81082,1.83854,0.02772,0
250,200,3,0,149.61,47.54,-4131.82,1.82877,1.84961,0.02084,0
250,200,4,0,151.11,-30.72,-4079.73,1.84752,1.85711,0.00960,0
250,200,5,0,149.41,62.83,-4143.90,1.82554,1.85353,0.02800,0
250,200,6,0,145.57,58.72,-4139.79,1.82702,1.85353,0.02652,0
250,200,7,0,153.86,46.86,-4127.92,1.83145,1.85353,0.02208,0
250,200,8,0,149.07,28.52,-4109.58,1.83766,1.85353,0.01587,0
250,200,9,0,248.15,76.50,-4202.61,1.80392,1.83746,0.03354,0
250,200,10,0,255.93,82.85,-4225.17,1.79684,1.82949,0.03265,0
250,200,11,0,247.83,83.72,-4116.35,1.83307,1.86641,0.03333,0
250,200,12,0,148.98,-23.81,-4058.70,1.85159,1.86147,0.00989,0
250,200,13,0,146.60,-24.46,-4058.05,1.85238,1.86147,0.00909,0
250,200,14,0,153.23,43.10,-4147.38,1.82463,1.84335,0.01872,0
250,200,15,0,150.20,29.32,-4133.60,1.82953,1.84335,0.01382,0
250,200,16,0,248.17,73.74,-4192.07,1.80731,1.83814,0.03083,0
250,200,17,0,251.33,96.98,-4175.90,1.81450,1.85145,0.03695,0
350,200,1,1,356.16,203.93,-4378.40,1.75311,1.82237,0.06926,0
350,200,2,0,339.48,200.70,-4375.18,1.75437,1.82237,0.06800,0
350,200,3,0,348.93,191.76,-4366.24,1.75749,1.82237,0.06488,0
350,200,4,0,379.05,205.39,-4165.33,1.81984,1.88588,0.06604,0
350,200,5,0,346.85,204.35,-4164.28,1.82024,1.88588,0.06564,0
350,200,6,0,348.28,198.79,-4158.72,1.82218,1.88588,0.06370,0
350,200,7,0,352.29,178.44,-4208.18,1.80325,1.86775,0.06449,0
350,200,8,0,346.51,178.24,-4207.98,1.80369,1.86775,0.06405,0
350,200,9,0,660.87,2651.63,-1632.40,2.62265,3.45681,0.83416,0
350,200,10,0,668.63,329.61,4698.11,4.62202,5.00000,0.37798,1
350,200,11,0,664.89,-0.14,5027.67,5.00000,5.00000,0.00000,1
