src,hw_us,value,raw_code,seq
1,3404102639,4.64087400,1993240125,1660594
2,3404103648,1.77354800,2975520,1660588
1,3404104655,4.63956100,1992676301,1660595
2,3404105664,1.77354800,2975520,1660589
1,3404106671,4.63956100,1992676301,1660596
3,3406302848,0.51401200,0,2936720
4,3406302848,0.10771400,0,2936720
2,3404107680,1.77618900,2979950,1660590
1,3404108687,4.63939900,1992606772,1660597
2,3404109696,1.77511600,2978150,1660591
1,3404110696,4.64055800,1993104392,1660598
2,3404111712,1.77198100,2972890,1660592
1,3404112712,4.64007800,1992897995,1660599
2,3404113728,1.77428100,2976750,1660593
1,3404114728,4.64059600,1993121079,1660600
2,3404115738,1.77428100,2976750,1660594
1,3404116748,4.64059600,1993121079,1660601
2,3404117757,1.77506200,2978060,1660595
1,3404118764,4.64085300,1993231078,1660602
2,3404119773,1.77495500,2977880,1660596
1,3404120780,4.63931000,1992568746,1660603
2,3404121789,1.77139600,2971910,1660597
1,3404122796,4.63898300,1992428158,1660604
2,3404123805,1.76659200,2963850,1660598
1,3404124812,4.63999000,1992860443,1660605
2,3404125821,1.77379300,2975930,1660599
1,3404126828,4.63999000,1992860443,1660606
2,3404127837,1.77379300,2975930,1660600
1,3404128837,4.63945200,1992629214,1660607
2,3404129853,1.77480000,2977620,1660601
1,3404130853,4.63967300,1992724262,1660608
2,3404131869,1.77224900,2973340,1660602
1,3404132869,4.63995000,1992843204,1660609
2,3404133885,1.77372100,2975810,1660603
1,3404134885,4.63841000,1992181819,1660610
2,3404135894,1.77320800,2974950,1660604
1,3404136901,4.63841000,1992181819,1660611
2,3404137910,1.77320800,2974950,1660605
1,3404138917,4.63783000,1991932985,1660612
2,3404139926,1.77362600,2975650,1660606
1,3404140933,4.63886200,1992375995,1660613
2,3404141942,1.77589700,2979460,1660607
1,3404142949,4.63855600,1992244371,1660614
2,3404143958,1.77856100,2983930,1660608
1,3404144965,4.63889900,1992391919,1660615
2,3404145974,1.77310700,2974780,1660609
1,3404146981,4.63889900,1992391919,1660616
2,3404147990,1.77310700,2974780,1660610
1,3404148997,4.63938900,1992602414,1660617
2,3404150006,1.77370900,2975790,1660611
1,3404151013,4.63797600,1991995373,1660618
2,3404152022,1.77706500,2981420,1660612
1,3404153029,4.63720700,1991665129,1660619
2,3404154038,1.77455000,2977200,1660613
1,3404155045,4.63822900,1992104245,1660620
2,3404156054,1.77448400,2977090,1660614
1,3404157061,4.63800300,1992007162,1660621
2,3404158070,1.77448400,2977090,1660615
1,3404159077,4.63800300,1992007162,1660622
2,3404160086,1.77856700,2983940,1660616
1,3404161093,4.63795100,1991984759,1660623
2,3404162102,1.77964600,2985750,1660617
1,3404163109,4.63845200,1992199756,1660624
2,3404164118,1.77407900,2976410,1660618
1,3404165125,4.63710900,1991623032,1660625
2,3404166134,1.77378100,2975910,1660619
1,3404167141,4.63612200,1991199282,1660626
2,3404168150,1.77378100,2975910,1660620
1,3404169157,4.63612200,1991199282,1660627
2,3404170166,1.77459700,2977280,1660621
1,3404171167,4.63679600,1991488830,1660628
2,3404172176,1.77745800,2982080,1660622
1,3404173183,4.63686800,1991519449,1660629
2,3404174192,1.77770300,2982490,1660623
1,3404175199,4.63683600,1991505603,1660630
2,3404176208,1.77745800,2982080,1660624
1,3404177215,4.63750800,1991794590,1660631
2,3404178224,1.77569400,2979120,1660625
1,3404179231,4.63750800,1991794590,1660632
2,3404180240,1.77569400,2979120,1660626
1,3404181247,4.63655300,1991384264,1660633
2,3404182256,1.77883500,2984390,1660627
1,3404183263,4.63567600,1991007644,1660634
2,3404184272,1.77981900,2986040,1660628
1,3404185279,4.63642800,1991330790,1660635
2,3404186288,1.77788700,2982800,1660629
1,3404187295,4.63684900,1991511512,1660636
2,3404188304,1.77642700,2980350,1660630
1,3404189694,4.63684900,1991511512,1660637
2,3404190323,1.77642700,2980350,1660631
1,3404191330,4.63678900,1991485530,1660638
2,3404192339,1.77719600,2981640,1660632
1,3404193340,4.63737400,1991737096,1660639
2,3404194349,1.77602200,2979670,1660633
1,3404195356,4.63654000,1991378763,1660640
2,3404196365,1.77720800,2981660,1660634
1,3404197372,4.63545400,1990912387,1660641
2,3404198381,1.78002100,2986380,1660635
1,3404199388,4.63545400,1990912387,1660642
2,3404200397,1.78002100,2986380,1660636
1,3404201404,4.63584100,1991078736,1660643
2,3404202413,1.77945500,2985430,1660637
1,3404203420,4.63632800,1991287579,1660644
