file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_350mA_h200ms,350,200,1,1,0,347.97,204.61,-4124.17,183.209,6.973,0
c00_level_350mA_h200ms,350,200,2,0,0,350.86,192.15,-3961.06,188.115,6.449,0
c00_level_350mA_h200ms,350,200,3,0,0,345.78,195.35,-3932.38,189.145,6.631,0
c00_level_350mA_h200ms,350,200,4,0,0,351.76,209.53,-3939.72,188.862,7.273,0
c00_level_350mA_h200ms,350,200,5,0,0,351.10,203.70,-3910.45,190.065,6.670,0
c00_level_350mA_h200ms,350,200,6,0,0,348.67,195.09,-3944.34,188.644,6.611,0
c01_level_450mA_h200ms,450,200,1,1,0,446.47,344.94,-4101.57,183.903,11.198,0
c01_level_450mA_h200ms,450,200,2,0,0,447.19,369.83,-3922.19,189.653,11.649,0
c01_level_450mA_h200ms,450,200,3,0,0,445.23,343.51,-3962.99,188.149,11.078,0
c01_level_450mA_h200ms,450,200,4,0,0,448.49,362.20,-3918.31,189.799,11.413,0
c01_level_450mA_h200ms,450,200,5,0,0,448.24,344.70,-3914.01,189.820,10.724,0
c01_level_450mA_h200ms,450,200,6,0,0,443.96,339.88,-3928.99,189.137,11.043,0
c02_level_550mA_h200ms,550,200,1,1,0,546.75,532.84,-4101.50,183.795,17.091,0
c02_level_550mA_h200ms,550,200,2,0,0,548.23,568.83,-3896.99,190.445,17.568,0
c02_level_550mA_h200ms,550,200,3,0,0,547.87,529.96,-3947.11,188.466,16.888,0
c02_level_550mA_h200ms,550,200,4,0,0,544.86,546.34,-3908.91,189.692,17.225,0
c02_level_550mA_h200ms,550,200,5,0,0,547.30,551.35,-3932.22,189.038,17.925,0
c02_level_550mA_h200ms,550,200,6,0,0,547.10,552.96,-3908.62,190.022,17.511,0
c03_level_650mA_h200ms,650,200,1,1,0,646.16,781.15,-4097.51,183.853,24.669,0
c03_level_650mA_h200ms,650,200,2,0,0,645.66,824.52,-3913.48,189.863,26.443,0
c03_level_650mA_h200ms,650,200,3,0,0,647.71,852.89,-3863.05,191.402,27.006,0
c03_level_650mA_h200ms,650,200,4,0,0,646.41,786.27,-3907.58,189.594,25.375,0
c03_level_650mA_h200ms,650,200,5,0,0,644.34,793.21,-3936.81,188.904,25.126,0
c03_level_650mA_h200ms,650,200,6,0,0,645.19,787.46,-3921.93,189.220,25.452,0
c04_level_750mA_h200ms,750,200,1,1,0,746.11,1099.54,-4067.85,184.657,35.321,0
c04_level_750mA_h200ms,750,200,2,0,0,745.68,1176.69,-3903.51,190.010,38.027,0
c04_level_750mA_h200ms,750,200,3,0,0,745.07,1157.61,-3853.75,191.622,37.454,0
c04_level_750mA_h200ms,750,200,4,0,0,745.10,1157.13,-3868.20,190.931,37.214,0
c04_level_750mA_h200ms,750,200,5,0,0,743.97,1129.04,-3822.33,192.393,36.406,0
c04_level_750mA_h200ms,750,200,6,0,0,745.28,1132.35,-3861.66,191.122,36.001,0
c05_level_850mA_h200ms,850,200,1,1,0,845.39,1533.37,-4059.41,184.984,49.028,0
c05_level_850mA_h200ms,850,200,2,0,0,844.24,1649.12,-3871.74,190.790,53.583,0
c05_level_850mA_h200ms,850,200,3,0,0,843.40,1642.68,-3836.51,191.683,53.240,0
c05_level_850mA_h200ms,850,200,4,0,0,844.96,1629.29,-3873.82,190.832,51.917,0
c05_level_850mA_h200ms,850,200,5,0,0,844.53,1694.62,-3816.19,192.634,54.232,0
c05_level_850mA_h200ms,850,200,6,0,0,844.54,1626.38,-3859.84,191.036,52.487,0
c06_level_950mA_h200ms,950,200,1,1,0,943.76,2293.30,-4035.89,185.713,73.693,0
c06_level_950mA_h200ms,950,200,2,0,0,944.15,2519.08,-3778.77,193.696,80.235,0
c06_level_950mA_h200ms,950,200,3,0,0,943.73,2493.94,-3804.80,192.681,79.160,0
c06_level_950mA_h200ms,950,200,4,0,0,943.05,2369.26,-3790.68,193.053,75.700,0
c06_level_950mA_h200ms,950,200,5,0,0,941.93,2502.77,-3737.96,194.677,79.796,0
c06_level_950mA_h200ms,950,200,6,0,0,943.25,2594.69,-3716.74,195.720,81.753,0
c07_level_150mA_h300ms,150,300,1,1,0,151.77,101.85,-4041.50,185.628,3.494,0
c07_level_150mA_h300ms,150,300,2,0,0,150.30,48.19,-3860.72,191.267,1.999,0
c07_level_150mA_h300ms,150,300,3,0,0,150.79,32.03,-3841.14,191.837,1.537,0
c07_level_150mA_h300ms,150,300,4,0,0,148.52,41.59,-3826.51,192.308,1.879,0
c07_level_150mA_h300ms,150,300,5,0,0,149.99,31.31,-3867.35,190.679,1.813,0
c07_level_150mA_h300ms,150,300,6,0,0,150.92,24.58,-3852.93,191.270,1.405,0
c08_level_250mA_h300ms,250,300,1,1,0,250.39,144.61,-4047.30,185.393,4.691,0
c08_level_250mA_h300ms,250,300,2,0,0,249.31,144.24,-3843.28,191.780,4.970,0
c08_level_250mA_h300ms,250,300,3,0,0,252.96,128.64,-3902.71,189.631,4.764,0
c08_level_250mA_h300ms,250,300,4,0,0,254.07,134.05,-3870.98,190.796,4.754,0
