src,hw_us,value,raw_code,seq
1,3186647651,4.71674800,2025827935,1554940
2,3186648660,3.13437600,5258610,1554937
1,3186649667,4.71723000,2026035105,1554941
2,3186650676,3.13519800,5259990,1554938
1,3186651683,4.71741100,2026112411,1554942
3,3188848625,0.47557900,0,2745773
4,3188848625,0.13831800,0,2745773
2,3186652692,3.13277800,5255930,1554939
1,3186653699,4.71800400,2026367199,1554943
2,3186654708,3.13505500,5259750,1554940
1,3186655715,4.71736400,2026092300,1554944
2,3186656724,3.13550200,5260500,1554941
1,3186657731,4.71736400,2026092300,1554945
2,3186658740,3.13550200,5260500,1554942
1,3186659747,4.71602300,2025516597,1554946
2,3186660756,3.13474500,5259230,1554943
1,3186661763,4.71612400,2025559509,1554947
2,3186662772,3.13889400,5266190,1554944
1,3186663779,4.71668500,2025800720,1554948
2,3186664788,3.14058700,5269030,1554945
1,3186665795,4.71677600,2025839876,1554949
2,3186666804,3.13457800,5258950,1554946
1,3186667811,4.71742800,2026119923,1554950
2,3186668820,3.13457800,5258950,1554947
1,3186669827,4.71742800,2026119923,1554951
2,3186670836,3.13242700,5255340,1554948
1,3186671843,4.71684600,2025869888,1554952
2,3186672852,3.13765400,5264110,1554949
1,3186673859,4.71575900,2025403262,1554953
2,3186674868,3.13458400,5258960,1554950
1,3186675875,4.71586200,2025447313,1554954
2,3186676884,3.13511500,5259850,1554951
1,3186677891,4.71638500,2025671756,1554955
2,3186678900,3.13511500,5259850,1554952
1,3186679907,4.71638500,2025671756,1554956
2,3186680916,3.13521000,5260010,1554953
1,3186681923,4.71635300,2025658321,1554957
2,3186682932,3.13730800,5263530,1554954
1,3186683939,4.71707700,2025969058,1554958
2,3186684948,3.13600900,5261350,1554955
1,3186685955,4.71669100,2025803156,1554959
2,3186686964,3.13479300,5259310,1554956
1,3186687971,4.71547200,2025279682,1554960
2,3186688980,3.13506100,5259760,1554957
1,3186689987,4.71547200,2025279682,1554961
2,3186690996,3.13506100,5259760,1554958
1,3186692003,4.71542500,2025259493,1554962
2,3186693012,3.13019800,5251600,1554959
1,3186694019,4.71601400,2025512605,1554963
2,3186695028,3.13034100,5251840,1554960
1,3186696035,4.71586900,2025450352,1554964
2,3186697044,3.13821400,5265050,1554961
1,3186698051,4.71650100,2025721664,1554965
2,3186699060,3.13581800,5261030,1554962
1,3186700067,4.71650100,2025721664,1554966
2,3186701076,3.13581800,5261030,1554963
1,3186702083,4.71629100,2025631606,1554967
2,3186703092,3.13720100,5263350,1554964
1,3186704099,4.71501500,2025083730,1554968
2,3186705108,3.13780900,5264370,1554965
1,3186706115,4.71479700,2024989958,1554969
2,3186707124,3.13508500,5259800,1554966
1,3186708131,4.71546700,2025277801,1554970
2,3186709140,3.13567500,5260790,1554967
1,3186710147,4.71546700,2025277801,1554971
2,3186711156,3.13567500,5260790,1554968
1,3186712163,4.71535300,2025228810,1554972
2,3186713172,3.13516900,5259940,1554969
1,3186714179,4.71589900,2025463109,1554973
