level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
250,100,1,1,251.62,26.88,-4301.16,3.25021,3.27522,0.02501,0
250,100,2,0,252.13,15.33,-4256.19,3.28360,3.29955,0.01595,0
250,100,3,0,242.67,23.74,-4280.59,3.26517,3.28907,0.02391,0
250,100,4,0,249.42,15.50,-4264.80,3.27709,3.29059,0.01349,0
250,100,5,0,246.97,31.06,-4263.82,3.27924,3.30642,0.02719,0
250,100,6,0,247.62,17.13,-4266.55,3.27615,3.29140,0.01525,0
350,100,1,1,340.33,37.93,-4308.46,3.24658,3.27890,0.03232,0
350,100,2,0,350.64,36.36,-4266.87,3.27578,3.30905,0.03327,0
350,100,3,0,346.67,32.97,-4287.69,3.26069,3.28923,0.02854,0
350,100,4,0,350.48,35.64,-4234.73,3.30071,3.33484,0.03413,0
350,100,5,0,342.48,35.12,-4272.23,3.27209,3.30253,0.03044,0
350,100,6,0,350.50,33.72,-4256.37,3.28293,3.31114,0.02822,0
450,100,1,1,445.82,64.01,-4303.34,3.24924,3.30075,0.05151,0
450,100,2,0,444.11,61.18,-4262.98,3.27760,3.33093,0.05334,0
450,100,3,0,445.56,54.09,-4269.83,3.27310,3.31824,0.04514,0
450,100,4,0,445.54,60.90,-4278.59,3.26661,3.31690,0.05028,0
450,100,5,0,442.91,60.59,-4279.57,3.26549,3.31274,0.04725,0
450,100,6,0,446.65,65.92,-4284.57,3.26170,3.31586,0.05416,0
550,100,1,1,544.81,96.53,-4303.57,3.24937,3.32601,0.07664,0
550,100,2,0,543.39,87.23,-4284.25,3.26152,3.33227,0.07074,0
550,100,3,0,544.89,97.15,-4249.70,3.28772,3.36536,0.07763,0
550,100,4,0,544.78,89.68,-4285.16,3.26066,3.33804,0.07738,0
550,100,5,0,541.77,86.46,-4269.90,3.27247,3.34298,0.07051,0
550,100,6,0,545.40,93.31,-4283.14,3.26206,3.33789,0.07583,0
650,100,1,1,640.58,137.12,-4313.35,3.24251,3.35023,0.10771,0
650,100,2,0,643.23,130.10,-4267.32,3.27510,3.37952,0.10443,0
650,100,3,0,642.70,138.78,-4261.44,3.27941,3.38709,0.10768,0
650,100,4,0,641.21,126.74,-4277.44,3.26670,3.36742,0.10071,0
650,100,5,0,640.54,132.10,-4274.40,3.26939,3.37525,0.10586,0
650,100,6,0,642.94,131.01,-4232.96,3.29970,3.40625,0.10655,0
750,100,1,1,742.31,179.13,-4317.14,3.23984,3.38210,0.14226,0
750,100,2,0,740.98,176.23,-4280.13,3.26438,3.40742,0.14304,0
750,100,3,0,742.21,170.66,-4286.89,3.25816,3.39430,0.13614,0
750,100,4,0,741.04,176.32,-4283.54,3.26180,3.40587,0.14406,0
750,100,5,0,738.37,176.39,-4267.61,3.27450,3.41395,0.13944,0
750,100,6,0,740.02,176.75,-4292.90,3.25458,3.40038,0.14580,0
850,100,1,1,838.68,240.64,-4314.19,3.24138,3.43148,0.19010,0
850,100,2,0,841.84,245.62,-4272.90,3.27080,3.47417,0.20337,0
850,100,3,0,838.61,230.38,-4283.34,3.26058,3.44714,0.18657,0
850,100,4,0,835.56,240.63,-4286.73,3.25766,3.45486,0.19721,0
850,100,5,0,837.89,238.86,-4278.83,3.26434,3.45645,0.19211,0
850,100,6,0,839.54,239.25,-4287.66,3.25799,3.44859,0.19060,0
950,100,1,1,939.67,311.84,-4318.02,3.23626,3.49413,0.25787,0
950,100,2,0,936.69,307.60,-4289.00,3.25638,3.50499,0.24860,0
950,100,3,0,935.74,325.82,-4260.02,3.27902,3.54497,0.26596,0
950,100,4,0,935.13,311.19,-4282.61,3.26313,3.51217,0.24904,0
950,100,5,0,938.80,312.84,-4305.06,3.24593,3.49929,0.25336,0
950,100,6,0,935.26,304.97,-4295.09,3.25380,3.50118,0.24739,0
250,200,1,1,253.52,42.98,-4319.61,3.23497,3.27383,0.03887,0
250,200,2,0,250.21,33.04,-4297.59,3.25103,3.28063,0.02961,0
250,200,3,0,247.58,38.11,-4277.43,3.26604,3.30012,0.03408,0
250,200,4,0,251.80,24.92,-4298.01,3.25061,3.27238,0.02178,0
250,200,5,0,252.08,24.35,-4308.15,3.24367,3.26394,0.02027,0
250,200,6,0,249.76,34.63,-4260.86,3.27899,3.30910,0.03011,0
350,200,1,1,349.47,73.66,-4330.91,3.22601,3.28704,0.06103,0
350,200,2,0,350.82,73.29,-4295.88,3.25188,3.31088,0.05899,0
350,200,3,0,345.68,68.06,-4284.34,3.26144,3.32009,0.05865,0
350,200,4,0,350.87,67.45,-4252.57,3.28475,3.33711,0.05236,0
350,200,5,0,349.46,66.36,-4286.46,3.25892,3.31336,0.05445,0
350,200,6,0,345.86,66.13,-4303.48,3.24608,3.30030,0.05422,0
450,200,1,1,450.33,129.08,-4323.14,3.23126,3.33232,0.10106,0
450,200,2,0,446.98,128.53,-4284.60,3.26176,3.36127,0.09952,0
450,200,3,0,451.41,120.76,-4289.35,3.25719,3.35315,0.09596,0
450,200,4,0,448.59,134.57,-4282.13,3.26329,3.36989,0.10659,0
450,200,5,0,446.39,124.24,-4302.70,3.24691,3.34574,0.09883,0
450,200,6,0,448.89,127.47,-4299.24,3.25016,3.34945,0.09928,0
550,200,1,1,547.55,193.06,-4333.89,3.22311,3.37778,0.15467,0
550,200,2,0,547.80,196.02,-4294.40,3.25356,3.40858,0.15503,0
550,200,3,0,547.78,194.90,-4303.17,3.24708,3.40095,0.15387,0
550,200,4,0,547.38,189.89,-4275.89,3.26699,3.41912,0.15212,0
550,200,5,0,550.03,195.27,-4288.34,3.25860,3.41092,0.15232,0
550,200,6,0,545.70,187.67,-4299.35,3.24905,3.39512,0.14607,0
650,200,1,1,646.44,281.49,-4328.51,3.22752,3.45102,0.22350,0
650,200,2,0,644.92,276.85,-4263.25,3.27622,3.49369,0.21747,0
650,200,3,0,645.46,281.23,-4307.38,3.24405,3.46784,0.22379,0
650,200,4,0,646.43,270.39,-4286.63,3.25916,3.47136,0.21220,0
650,200,5,0,646.24,275.46,-4308.54,3.24275,3.45736,0.21461,0
650,200,6,0,647.34,280.34,-4318.43,3.23524,3.45328,0.21804,0
750,200,1,1,743.98,399.87,-4327.78,3.22827,3.54336,0.31509,0
750,200,2,0,746.08,385.14,-4310.11,3.24153,3.54559,0.30406,0
750,200,3,0,744.49,386.29,-4301.06,3.24805,3.54908,0.30103,0
750,200,4,0,746.16,389.39,-4304.74,3.24475,3.54962,0.30487,0
750,200,5,0,746.11,421.78,-4280.33,3.26316,3.59628,0.33312,0
750,200,6,0,746.37,394.07,-4315.74,3.23606,3.54886,0.31280,0
850,200,1,1,845.38,588.62,-4334.14,3.22200,3.68282,0.46082,0
850,200,2,0,843.87,570.56,-4324.04,3.22804,3.68043,0.45239,0
850,200,3,0,844.23,555.88,-4317.94,3.23280,3.66945,0.43664,0
850,200,4,0,844.21,560.57,-4313.07,3.23617,3.68550,0.44933,0
850,200,5,0,844.00,608.80,-4291.09,3.25326,3.73623,0.48297,0
850,200,6,0,845.05,582.40,-4301.62,3.24520,3.70709,0.46188,0
950,200,1,1,943.61,759.14,-4374.85,3.18889,3.78815,0.59925,0
950,200,2,0,943.87,806.51,-4340.85,3.21557,3.85901,0.64344,0
950,200,3,0,944.32,825.44,-4331.08,3.22194,3.87533,0.65339,0
