file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_200mA_h100ms,200,100,1,1,0,203.90,21.78,-4667.83,291.397,2.074,0
c00_level_200mA_h100ms,200,100,2,0,0,205.66,23.01,-4621.02,295.031,2.192,0
c00_level_200mA_h100ms,200,100,3,0,0,199.88,22.05,-4658.03,292.263,2.164,0
c00_level_200mA_h100ms,200,100,4,0,0,199.82,14.92,-4628.28,294.410,1.647,0
c00_level_200mA_h100ms,200,100,5,0,0,206.74,31.68,-4645.86,293.077,3.014,0
c00_level_200mA_h100ms,200,100,6,0,0,201.67,14.08,-4653.27,292.559,1.545,0
c01_level_200mA_h200ms,200,200,1,1,0,197.19,44.84,-4670.13,291.170,4.036,0
c01_level_200mA_h200ms,200,200,2,0,0,202.37,17.68,-4648.57,292.909,1.933,0
c01_level_200mA_h200ms,200,200,3,0,0,200.23,23.01,-4631.03,294.294,2.268,0
c01_level_200mA_h200ms,200,200,4,0,0,199.93,15.46,-4635.19,293.888,1.831,0
c01_level_200mA_h200ms,200,200,5,0,0,200.29,17.70,-4643.10,293.316,1.891,0
c01_level_200mA_h200ms,200,200,6,0,0,200.38,27.46,-4628.66,294.428,2.734,0
c02_level_200mA_h300ms,200,300,1,1,0,200.73,29.88,-4672.39,290.964,2.979,0
c02_level_200mA_h300ms,200,300,2,0,0,202.16,26.33,-4620.62,295.040,2.497,0
c02_level_200mA_h300ms,200,300,3,0,0,203.41,32.98,-4623.46,294.919,2.858,0
c02_level_200mA_h300ms,200,300,4,0,0,199.05,30.33,-4628.24,294.428,2.828,0
c02_level_200mA_h300ms,200,300,5,0,0,197.84,32.02,-4646.55,293.048,3.005,0
c02_level_200mA_h300ms,200,300,6,0,0,198.55,38.90,-4660.24,291.995,3.380,0
c03_level_200mA_h400ms,200,400,1,1,0,201.71,38.90,-4678.02,290.426,3.539,0
c03_level_200mA_h400ms,200,400,2,0,0,199.58,30.56,-4638.71,293.573,3.049,0
c03_level_200mA_h400ms,200,400,3,0,0,202.56,33.15,-4654.47,292.413,2.882,0
c03_level_200mA_h400ms,200,400,4,0,0,203.00,41.87,-4619.87,295.107,3.744,0
c03_level_200mA_h400ms,200,400,5,0,0,198.15,27.19,-4629.88,294.341,2.364,0
c03_level_200mA_h400ms,200,400,6,0,0,201.13,42.80,-4631.89,294.140,3.704,0
c04_level_250mA_h500ms,250,500,1,1,0,249.44,75.85,-4683.45,290.044,6.061,0
c04_level_250mA_h500ms,250,500,2,0,0,251.49,80.72,-4649.48,292.822,6.404,0
c04_level_250mA_h500ms,250,500,3,0,0,247.19,82.71,-4649.32,292.812,6.857,0
c04_level_250mA_h500ms,250,500,4,0,0,250.69,80.58,-4633.15,294.103,6.155,0
c04_level_250mA_h500ms,250,500,5,0,0,253.98,81.09,-4650.43,292.765,6.543,0
