host_timestamp_s,monotonic_s,fields_json
1784146047.042799,55926.187000,"{""t_ms"":3491402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3621119090,""m4_us"":3618855507,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":17,""loop_us_max"":2929,""loop_hz"":58823,""cycle_log_ms"":1,""n_cycle"":4}"
1784146048.072616,55927.218000,"{""t_ms"":3492402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3622156947,""m4_us"":3619893372,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":17,""loop_us_max"":2819,""loop_hz"":58823,""cycle_log_ms"":1,""n_cycle"":4}"
1784146049.117443,55928.265000,"{""t_ms"":3493402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3623195025,""m4_us"":3620931260,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":17,""loop_us_max"":2820,""loop_hz"":58823,""cycle_log_ms"":1,""n_cycle"":4}"
1784146050.896740,55930.046000,"{""t_ms"":3494402,""hwm"":5,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":513,""rate2"":512,""prod1"":513,""prod2"":512,""sma_state"":6,""m7_us"":3624233104,""m4_us"":3621970165,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":21,""loop_us_max"":5045,""loop_hz"":47619,""cycle_log_ms"":1,""n_cycle"":4}"
1784146053.337325,55932.484000,"{""t_ms"":3495402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3625271026,""m4_us"":3623008040,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3192,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146056.698276,55935.843000,"{""t_ms"":3496402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3626308909,""m4_us"":3624045925,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3324,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146060.042738,55939.187000,"{""t_ms"":3497402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3627346726,""m4_us"":3625083781,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":3286,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146062.728941,55941.875000,"{""t_ms"":3498402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":512,""prod1"":511,""prod2"":512,""sma_state"":6,""m7_us"":3628384137,""m4_us"":3626120540,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3341,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146065.388146,55944.531000,"{""t_ms"":3499402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":513,""rate2"":512,""prod1"":513,""prod2"":512,""sma_state"":6,""m7_us"":3629422309,""m4_us"":3627159333,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3197,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146068.901611,55948.046000,"{""t_ms"":3500402,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":68857,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3630460095,""m4_us"":3628197122,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":3280,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146071.896733,55951.046000,"{""t_ms"":3505649,""hwm"":256,""cap"":256,""dropped"":4310,""dropped_total"":73167,""crc_err"":0,""crc_err_total"":0,""rate1"":76,""rate2"":76,""prod1"":101,""prod2"":101,""sma_state"":6,""m7_us"":3635903280,""m4_us"":3629015017,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3373,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146075.759381,55954.906000,"{""t_ms"":3506649,""hwm"":243,""cap"":256,""dropped"":14,""dropped_total"":73181,""crc_err"":0,""crc_err_total"":0,""rate1"":631,""rate2"":630,""prod1"":505,""prod2"":504,""sma_state"":6,""m7_us"":3636940282,""m4_us"":3634676456,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":157,""loop_us_max"":4631590,""loop_hz"":6369,""cycle_log_ms"":1,""n_cycle"":4}"
1784146079.253996,55958.406000,"{""t_ms"":3507649,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":73181,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3637977893,""m4_us"":3635713973,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3133,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146080.290872,55959.437000,"{""t_ms"":3512884,""hwm"":256,""cap"":256,""dropped"":4736,""dropped_total"":77917,""crc_err"":0,""crc_err_total"":0,""rate1"":41,""rate2"":41,""prod1"":59,""prod2"":59,""sma_state"":6,""m7_us"":3643407776,""m4_us"":3636151697,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":410,""loop_us_max"":5044030,""loop_hz"":2439,""cycle_log_ms"":1,""n_cycle"":4}"
1784146083.087662,55962.234000,"{""t_ms"":3513884,""hwm"":199,""cap"":256,""dropped"":0,""dropped_total"":77917,""crc_err"":0,""crc_err_total"":0,""rate1"":606,""rate2"":607,""prod1"":511,""prod2"":512,""sma_state"":6,""m7_us"":3644444273,""m4_us"":3642180998,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":19785,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146086.743327,55965.890000,"{""t_ms"":3514884,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":77917,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3645481536,""m4_us"":3643218361,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3208,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146086.997504,55966.140000,"{""t_ms"":3520448,""hwm"":256,""cap"":256,""dropped"":5381,""dropped_total"":83298,""crc_err"":0,""crc_err_total"":0,""rate1"":11,""rate2"":10,""prod1"":28,""prod2"":28,""sma_state"":6,""m7_us"":3651251134,""m4_us"":3643342977,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":2832,""loop_us_max"":5695684,""loop_hz"":353,""cycle_log_ms"":1,""n_cycle"":4}"
1784146090.666643,55969.812000,"{""t_ms"":3521448,""hwm"":198,""cap"":256,""dropped"":0,""dropped_total"":83298,""crc_err"":0,""crc_err_total"":0,""rate1"":608,""rate2"":606,""prod1"":512,""prod2"":513,""sma_state"":6,""m7_us"":3652288322,""m4_us"":3650025263,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":19325,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146094.184995,55973.328000,"{""t_ms"":3522448,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":83298,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3653325699,""m4_us"":3651062476,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3373,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146094.669720,55973.812000,"{""t_ms"":3526740,""hwm"":256,""cap"":256,""dropped"":4001,""dropped_total"":87299,""crc_err"":0,""crc_err_total"":0,""rate1"":23,""rate2"":23,""prod1"":46,""prod2"":45,""sma_state"":6,""m7_us"":3657776403,""m4_us"":3651266088,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":911,""loop_us_max"":4299000,""loop_hz"":1097,""cycle_log_ms"":1,""n_cycle"":4}"
1784146098.115243,55977.265000,"{""t_ms"":3527740,""hwm"":198,""cap"":256,""dropped"":0,""dropped_total"":87299,""crc_err"":0,""crc_err_total"":0,""rate1"":608,""rate2"":605,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3658812871,""m4_us"":3656549733,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":19175,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146101.648877,55980.796000,"{""t_ms"":3528740,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":87299,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3659850121,""m4_us"":3657586946,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3426,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
1784146101.903106,55981.046000,"{""t_ms"":3534010,""hwm"":256,""cap"":256,""dropped"":5086,""dropped_total"":92385,""crc_err"":0,""crc_err_total"":0,""rate1"":11,""rate2"":11,""prod1"":29,""prod2"":29,""sma_state"":6,""m7_us"":3665314544,""m4_us"":3657705465,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":3038,""loop_us_max"":5397257,""loop_hz"":329,""cycle_log_ms"":1,""n_cycle"":4}"
1784146105.941822,55985.093000,"{""t_ms"":3535010,""hwm"":199,""cap"":256,""dropped"":0,""dropped_total"":92385,""crc_err"":0,""crc_err_total"":0,""rate1"":607,""rate2"":606,""prod1"":512,""prod2"":511,""sma_state"":6,""m7_us"":3666350721,""m4_us"":3664087509,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":28,""loop_us_max"":19697,""loop_hz"":35714,""cycle_log_ms"":1,""n_cycle"":4}"
1784146109.337108,55988.484000,"{""t_ms"":3536010,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":92385,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":3667388177,""m4_us"":3665124657,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":27,""loop_us_max"":3149,""loop_hz"":37037,""cycle_log_ms"":1,""n_cycle"":4}"
