cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.07861,4.15043,1.01761,3.96703,-0.183404,-2.73576,4.0198,0.985583,-0.00109938,-0.00297649,2.01574,-0.00122558,13.278,0.734012,0.0962473
2,3.21745,4.07861,4.00174,0.981154,3.90447,-0.0972728,-4.26951,4.05165,0.993391,-0.0023722,0.00250391,0.055383,3.97283e-05,5.66055,1.71348,-1.54919
3,6.43457,4.07861,4.03747,0.989913,3.90254,-0.134929,-4.31689,3.9947,0.979428,-0.00239115,0.00204427,0.050834,5.9366e-05,6.1352,2.38663,0.149505
4,9.65159,4.07861,3.97865,0.975492,3.8841,-0.0945512,-4.76901,3.96537,0.972236,-0.00239547,-0.00191824,0.297538,0.000308784,6.31915,3.65688,-0.0253922
5,12.8689,4.07861,4.02896,0.987827,3.9028,-0.126159,-4.31049,3.96256,0.971547,-0.00201956,0.0026824,0.023659,-0.000304835,25.3887,10.0943,0.988063
6,16.086,4.07861,3.97831,0.975408,3.88069,-0.0976185,-4.85264,3.99025,0.978336,-0.00241646,0.00340123,0.377472,-0.00044145,-7.46623,1.99257,-4.20847
7,19.3033,4.07861,3.95923,0.970732,3.8654,-0.0938316,-5.22739,3.94657,0.967628,-0.00282789,0.00453603,1.04901,0.00296132,-6.65388,4.02647,-0.348284
8,22.5207,4.07861,3.9658,0.972343,3.83316,-0.132645,-6.01795,3.97789,0.975306,0.000164947,-0.00194808,1.174,2.86686e-05,26.9321,4.97557,24.466
9,25.738,4.07861,3.99667,0.979911,3.85447,-0.142201,-5.49539,3.91472,0.959818,0.000229261,0.00303551,1.62094,0.00105273,14.9453,4.07155,-1.78758
10,28.9552,4.07861,3.89832,0.955797,3.84243,-0.0558885,-5.79056,3.9396,0.965918,0.00126546,0.00637404,2.59404,0.00463895,16.2813,8.73953,5.00049
