host_timestamp_s,monotonic_s,kind,detail
1785254274.684671,347727.875000,session,start console_20260728_115753
1785254294.369817,347747.562000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1785254296.389562,347749.578000,disarm,disarm
1785254296.435414,347749.625000,disarm,disarm
1785254296.480244,347749.671000,disarm,disarm
1785254296.546121,347749.734000,disarm,disarm
1785254296.621513,347749.812000,disarm,disarm
1785254296.721025,347749.906000,disarm,disarm
1785254296.765406,347749.953000,disarm,disarm
1785254296.820513,347750.000000,disarm,disarm
1785254296.865657,347750.046000,disarm,disarm
1785254296.919966,347750.109000,disarm,disarm
1785254296.980265,347750.171000,disarm,disarm
1785254297.051509,347750.234000,disarm,disarm
1785254297.114042,347750.296000,disarm,disarm
1785254297.175327,347750.359000,disarm,disarm
1785254297.235315,347750.421000,disarm,disarm
1785254297.300226,347750.484000,disarm,disarm
1785254297.355580,347750.546000,disarm,disarm
1785254297.426617,347750.609000,disarm,disarm
1785254297.489090,347750.671000,disarm,disarm
1785254297.550580,347750.734000,disarm,disarm
1785254297.690976,347750.875000,disarm,disarm
1785254297.794761,347750.984000,disarm,disarm
1785254297.858271,347751.046000,disarm,disarm
1785254297.920088,347751.109000,disarm,disarm
1785254297.983858,347751.171000,disarm,disarm
1785254298.044363,347751.234000,disarm,disarm
1785254298.105180,347751.296000,disarm,disarm
1785254298.170188,347751.359000,disarm,disarm
1785254298.230609,347751.421000,disarm,disarm
1785254298.307862,347751.500000,disarm,disarm
1785254298.354038,347751.546000,disarm,disarm
1785254298.427815,347751.609000,disarm,disarm
1785254298.491363,347751.671000,disarm,disarm
1785254298.553893,347751.734000,disarm,disarm
1785254298.607408,347751.796000,disarm,disarm
1785254298.701907,347751.890000,disarm,disarm
1785254298.750393,347751.937000,disarm,disarm
1785254298.796561,347751.984000,disarm,disarm
1785254298.859396,347752.046000,disarm,disarm
1785254298.946054,347752.140000,disarm,disarm
1785254299.034452,347752.218000,disarm,disarm
1785254299.078074,347752.265000,disarm,disarm
1785254299.122149,347752.312000,disarm,disarm
1785254299.167711,347752.359000,disarm,disarm
1785254299.230923,347752.421000,disarm,disarm
1785254299.297982,347752.484000,disarm,disarm
1785254299.358521,347752.546000,disarm,disarm
1785254299.417843,347752.609000,disarm,disarm
1785254299.485034,347752.671000,disarm,disarm
1785254299.548265,347752.734000,disarm,disarm
1785254299.607121,347752.796000,disarm,disarm
1785254299.667680,347752.859000,disarm,disarm
1785254299.732288,347752.921000,disarm,disarm
1785254299.796865,347752.984000,disarm,disarm
1785254299.859298,347753.046000,disarm,disarm
1785254299.921785,347753.109000,disarm,disarm
1785254299.984498,347753.171000,disarm,disarm
1785254300.046434,347753.234000,disarm,disarm
1785254300.109107,347753.296000,disarm,disarm
1785254300.171082,347753.359000,disarm,disarm
1785254300.230967,347753.421000,disarm,disarm
1785254300.293038,347753.484000,disarm,disarm
1785254300.356070,347753.546000,disarm,disarm
1785254300.418143,347753.609000,disarm,disarm
1785254300.481015,347753.671000,disarm,disarm
1785254300.541956,347753.734000,disarm,disarm
1785254300.610959,347753.796000,disarm,disarm
1785254300.707919,347753.890000,disarm,disarm
1785254300.750470,347753.937000,disarm,disarm
1785254300.796253,347753.984000,disarm,disarm
1785254300.854231,347754.046000,disarm,disarm
1785254300.942264,347754.125000,disarm,disarm
1785254301.047439,347754.234000,disarm,disarm
1785254301.091796,347754.281000,disarm,disarm
1785254301.135146,347754.328000,disarm,disarm
1785254301.195688,347754.390000,disarm,disarm
1785254301.244781,347754.437000,disarm,disarm
1785254301.320674,347754.515000,disarm,disarm
1785254301.382611,347754.562000,disarm,disarm
1785254301.444788,347754.625000,disarm,disarm
1785254301.506569,347754.687000,disarm,disarm
