src,hw_us,value,raw_code,seq
2,19864022,1.95960400,3287670,7850
1,19865032,4.72892200,2031056335,7851
2,19866045,1.96347200,3294160,7851
1,19867048,4.72967700,2031380978,7852
2,19868061,1.96913500,3303660,7852
1,19869071,4.72935600,2031242990,7853
2,19870077,1.96031300,3288860,7853
1,19871087,4.72834000,2030806684,7854
2,19872099,1.95360200,3277600,7854
1,19873109,4.72834000,2030806684,7855
2,19874115,1.95360200,3277600,7855
1,19875125,4.72866600,2030946575,7856
2,19876137,1.95587300,3281410,7856
1,19877141,4.72970400,2031392571,7857
2,19878153,1.95829900,3285480,7857
1,19879164,4.72916400,2031160636,7858
2,19880176,1.96005100,3288420,7858
1,19881180,4.72964100,2031365480,7859
2,19882192,1.96976700,3304720,7859
1,19883202,4.72940500,2031264010,7860
2,19884214,1.96976700,3304720,7860
1,19885218,4.72940500,2031264010,7861
2,19886230,1.96419400,3295370,7861
1,19887240,4.72830400,2030791073,7862
2,19888246,1.95633800,3282190,7862
1,19889256,4.72843600,2030847865,7863
2,19890269,1.95840000,3285650,7863
1,19891272,4.72946100,2031287929,7864
2,19892285,1.96127300,3290470,7864
1,19893295,4.72874200,2030979121,7865
2,19894307,1.95633800,3282190,7865
1,19895311,4.72874200,2030979121,7866
2,19896323,1.95633800,3282190,7866
1,19897333,4.72932800,2031230787,7867
2,19898339,1.95651100,3282480,7867
1,19899349,4.72930900,2031222758,7868
2,19900361,1.95953300,3287550,7868
1,19901372,4.72816400,2030731131,7869
2,19902377,1.95756600,3284250,7869
1,19903388,4.72815600,2030727691,7870
2,19904400,1.95398300,3278240,7870
1,19905404,4.72815600,2030727691,7871
2,19906416,1.95398300,3278240,7871
1,19907426,4.72940400,2031263738,7872
2,19908438,1.95090200,3273070,7872
1,19909442,4.72893800,2031063108,7873
2,19910454,1.95235600,3275510,7873
1,19911464,4.72942600,2031273160,7874
2,19912470,1.95496700,3279890,7874
1,19913480,4.72956600,2031333307,7875
2,19914493,1.95738100,3283940,7875
1,19915496,4.72956600,2031333307,7876
2,19916509,1.95738100,3283940,7876
1,19917519,4.72843300,2030846583,7877
2,19918531,1.95093200,3273120,7877
1,19919535,4.72822000,2030755129,7878
2,19920547,1.95893100,3286540,7878
1,19921557,4.72927200,2031206927,7879
2,19922569,1.95803600,3285040,7879
1,19923573,4.72858400,2030911373,7880
2,19924585,1.95118800,3273550,7880
1,19925596,4.72877600,2030993580,7881
2,19926601,1.95118800,3273550,7881
1,19927612,4.72877600,2030993580,7882
2,19928624,1.94281300,3259500,7882
1,19929628,4.72910100,2031133254,7883
2,19930640,1.95925200,3287080,7883
1,19931650,4.72810300,2030704606,7884
2,19932662,1.96475400,3296310,7884
1,19933666,4.72773300,2030545739,7885
2,19934678,1.95512800,3280160,7885
1,19935688,4.72903400,2031104480,7886
2,19936701,1.95512800,3280160,7886
1,19937704,4.72903400,2031104480,7887
2,19938717,1.95123000,3273620,7887
1,19939720,4.72886700,2031032889,7888
2,19940733,1.95937200,3287280,7888
1,19941743,4.72928900,2031214199,7889
