src,hw_us,value,raw_code,seq
1,399809072,4.75766600,2043402123,193774
3,402005950,0.57111100,0,298214
4,402005950,0.10343600,0,298214
2,399810084,1.80069200,3021060,193772
1,399811091,4.75646500,2042885885,193775
2,399812103,1.80273100,3024480,193773
1,399813110,4.75786200,2043486077,193776
2,399814122,1.79041000,3003810,193774
1,399815129,4.75878700,2043883273,193777
2,399816145,1.79041000,3003810,193775
1,399817152,4.75878700,2043883273,193778
2,399818161,1.79721100,3015220,193776
1,399819168,4.75590300,2042645004,193779
2,399820177,1.78977900,3002750,193777
1,399821184,4.75679000,2043025955,193780
2,399822196,1.79053500,3004020,193778
1,399823203,4.75954300,2044208181,193781
2,399824215,1.79648400,3014000,193779
1,399825222,4.75838700,2043711598,193782
2,399826237,1.79709800,3015030,193780
1,399827244,4.75838700,2043711598,193783
2,399828250,1.79709800,3015030,193781
1,399829264,4.75657400,2042932982,193784
2,399830273,1.79930300,3018730,193782
1,399831280,4.75914500,2044037370,193785
2,399832289,1.79759300,3015860,193783
1,399833296,4.76003700,2044420570,193786
2,399834311,1.79958300,3019200,193784
1,399835318,4.75703600,2043131438,193787
2,399836324,1.79353400,3009050,193785
1,399837337,4.75703600,2043131438,193788
2,399838343,1.79353400,3009050,193786
1,399839357,4.75751800,2043338635,193789
2,399840366,1.79578700,3012830,193787
1,399841372,4.75945700,2044171149,193790
2,399842385,1.80249800,3024090,193788
1,399843392,4.75565600,2042538816,193791
2,399844401,1.80294500,3024840,193789
1,399845408,4.75589400,2042640825,193792
2,399846420,1.80378600,3026250,193790
1,399847427,4.75589400,2042640825,193793
2,399848439,1.80378600,3026250,193791
1,399849446,4.75780900,2043463578,193794
2,399850462,1.79570300,3012690,193792
1,399851468,4.75653900,2042917926,193795
2,399852474,1.79275300,3007740,193793
1,399853488,4.75504800,2042277603,193796
2,399854497,1.78772800,2999310,193794
1,399855504,4.75706300,2043143098,193797
2,399856513,1.79204900,3006560,193795
1,399857520,4.75727900,2043235698,193798
2,399858532,1.79204900,3006560,193796
1,399859539,4.75727900,2043235698,193799
2,399860554,1.79576900,3012800,193797
1,399861561,4.75411000,2041874549,193800
2,399862567,1.79795000,3016460,193798
1,399863580,4.75583100,2042613852,193801
2,399864586,1.79916600,3018500,193799
1,399865600,4.75825200,2043653476,193802
2,399866609,1.79048200,3003930,193800
1,399867616,4.75585100,2042622621,193803
2,399868625,1.78831800,3000300,193801
1,399869632,4.75585100,2042622621,193804
2,399870647,1.78831800,3000300,193802
1,399871654,4.75666600,2042972502,193805
2,399872660,1.79904100,3018290,193803
1,399873673,4.75837400,2043706212,193806
2,399874679,1.79748500,3015680,193804
1,399875692,4.75535700,2042410327,193807
2,399876698,1.79807500,3016670,193805
1,399877712,4.75356700,2041641314,193808
2,399878721,1.79531600,3012040,193806
1,399879728,4.75356700,2041641314,193809
2,399880737,1.79531600,3012040,193807
1,399881744,4.75701000,2043120012,193810
2,399882759,1.79515500,3011770,193808
1,399883766,4.75650700,2042904483,193811
2,399884772,1.79514300,3011750,193809
1,399885785,4.75346800,2041598760,193812
2,399886791,1.79635300,3013780,193810
1,399887805,4.75614000,2042746629,193813
2,399888813,1.79686000,3014630,193811
1,399889820,4.75614000,2042746629,193814
2,399890826,1.79686000,3014630,193812
1,399891840,4.75600700,2042689369,193815
2,399892849,1.79548300,3012320,193813
1,399893856,4.75359100,2041651524,193816
2,399894871,1.79778300,3016180,193814
1,399895875,4.75503100,2042270261,193817
2,399896881,1.79325300,3008580,193815
1,399897894,4.75586000,2042626284,193818
2,399898900,1.79130400,3005310,193816
1,399899913,4.75445900,2042024792,193819
2,399900919,1.79130400,3005310,193817
1,399901932,4.75445900,2042024792,193820
2,399902938,1.79280600,3007830,193818
1,399903952,4.75444100,2042017030,193821
2,399904961,1.80424500,3027020,193819
1,399905968,4.75589800,2042642658,193822
2,399906977,1.79892200,3018090,193820
1,399907990,4.75459500,2042083204,193823
2,399908996,1.80388700,3026420,193821
1,399910003,4.75249800,2041182146,193824
2,399911018,1.80388700,3026420,193822
1,399912025,4.75249800,2041182146,193825
2,399913031,1.81087300,3038140,193823
1,399914045,4.75408400,2041863245,193826
2,399915054,1.79459500,3010830,193824
1,399916060,4.75571000,2042561632,193827
3,402110310,0.56053200,0,298215
4,402110310,0.13457800,0,298215
2,399917073,1.79771800,3016070,193825
1,399918080,4.75293900,2041371675,193828
2,399919089,1.80077000,3021190,193826
1,399920102,4.75147400,2040742582,193829
2,399921108,1.80211100,3023440,193827
1,399922115,4.75147400,2040742582,193830
2,399923130,1.80211100,3023440,193828
1,399924137,4.75409400,2041867806,193831
2,399925143,1.79877300,3017840,193829
1,399926157,4.75183300,2040896676,193832
2,399927165,1.79238900,3007130,193830
1,399928172,4.75154000,2040770806,193833
2,399929185,1.79572700,3012730,193831
1,399930192,4.75465600,2042109081,193834
2,399931201,1.80418500,3026920,193832
1,399932208,4.75465600,2042109081,193835
2,399933223,1.80418500,3026920,193833
1,399934230,4.75413900,2041887029,193836
2,399935236,1.79950000,3019060,193834
1,399936249,4.75027600,2040228031,193837
2,399937255,1.80746300,3032420,193835
1,399938269,4.75260700,2041229364,193838
2,399939278,1.80117500,3021870,193836
1,399940284,4.75552300,2042481473,193839
2,399941297,1.79214500,3006720,193837
1,399942304,4.75221100,2041058994,193840
2,399943313,1.79214500,3006720,193838
1,399944320,4.75221100,2041058994,193841
2,399945332,1.79177500,3006100,193839
1,399946339,4.75183100,2040895794,193842
2,399947354,1.80285600,3024690,193840
1,399948361,4.75390800,2041787928,193843
2,399949367,1.80807700,3033450,193841
1,399950381,4.75197900,2040959646,193844
2,399951389,1.81679100,3048070,193842
1,399952393,4.75035200,2040260611,193845
2,399953409,1.81679100,3048070,193843
1,399954416,4.75035200,2040260611,193846
2,399955425,1.81288100,3041510,193844
1,399956432,4.75205800,2040993461,193847
2,399957447,1.80345800,3025700,193845
1,399958454,4.75360200,2041656435,193848
2,399959460,1.79853400,3017440,193846
1,399960473,4.75016000,2040178341,193849
2,399961479,1.80090700,3021420,193847
1,399962493,4.75251200,2041188633,193850
2,399963502,1.79839700,3017210,193848
1,399964508,4.75251200,2041188633,193851
2,399965514,1.79839700,3017210,193849
1,399966528,4.75294900,2041376082,193852
2,399967533,1.80086500,3021350,193850
1,399968544,4.74943800,2039868203,193853
2,399969559,1.79088700,3004610,193851
1,399970566,4.75039000,2040276912,193854
2,399971572,1.79487500,3011300,193852
1,399972585,4.75397400,2041816365,193855
2,399973591,1.80035800,3020500,193853
1,399974604,4.75397400,2041816365,193856
2,399975610,1.80035800,3020500,193854
1,399976624,4.75293400,2041369301,193857
2,399977633,1.80772000,3032850,193855
1,399978640,4.75074100,2040427704,193858
2,399979649,1.80097800,3021540,193856
1,399980656,4.75118700,2040619099,193859
2,399981671,1.79395100,3009750,193857
1,399982678,4.75046600,2040309561,193860
2,399983684,1.79404000,3009900,193858
1,399984697,4.74822800,2039348421,193861
2,399985703,1.79404000,3009900,193859
1,399986716,4.74822800,2039348421,193862
2,399987722,1.79426700,3010280,193860
1,399988736,4.75065000,2040388824,193863
2,399989745,1.79575100,3012770,193861
1,399990752,4.75196700,2040954372,193864
2,399991761,1.79694900,3014780,193862
1,399992768,4.75028800,2040232949,193865
2,399993780,1.79413600,3010060,193863
1,399994787,4.74896400,2039664695,193866
2,399995799,1.79413600,3010060,193864
1,399996806,4.74896400,2039664695,193867
2,399997818,1.79774200,3016110,193865
1,399998825,4.75115900,2040607215,193868
2,399999841,1.79991700,3019760,193866
1,400000848,4.75054700,2040344557,193869
2,400001857,1.80329100,3025420,193867
1,400002864,4.74908200,2039715118,193870
2,400003873,1.78743000,2998810,193868
1,400004880,4.75006900,2040138967,193871
2,400005892,1.79358100,3009130,193869
1,400006899,4.75006900,2040138967,193872
2,400007911,1.79358100,3009130,193870
1,400008918,4.75185600,2040906469,193873
2,400009933,1.78721600,2998450,193871
1,400010940,4.74927500,2039798195,193874
2,400011946,1.79466000,3010940,193872
1,400012960,4.74866300,2039535407,193875
2,400013969,1.80066800,3021020,193873
1,400014976,4.74935200,2039831260,193876
2,400015985,1.80324900,3025350,193874
1,400016992,4.74935200,2039831260,193877
2,400018004,1.80324900,3025350,193875
1,400019011,4.74736800,2038979190,193878
2,400020023,1.80601500,3029990,193876
3,402214691,0.44690800,0,298216
4,402214691,0.14812700,0,298216
1,400021030,4.74723900,2038923445,193879
2,400022045,1.80405400,3026700,193877
1,400023052,4.75053100,2040337360,193880
2,400024058,1.80295700,3024860,193878
1,400025072,4.74817200,2039324176,193881
2,400026081,1.80811300,3033510,193879
1,400027088,4.74602400,2038401650,193882
2,400028097,1.80811300,3033510,193880
1,400029104,4.74602400,2038401650,193883
2,400030116,1.80086500,3021350,193881
1,400031123,4.74847900,2039456368,193884
2,400032135,1.81196900,3039980,193882
1,400033142,4.74974600,2040000252,193885
2,400034154,1.80404200,3026680,193883
1,400035161,4.74699400,2038818168,193886
2,400036177,1.80668200,3031110,193884
1,400037184,4.74868800,2039545839,193887
2,400038193,1.80668200,3031110,193885
1,400039200,4.74868800,2039545839,193888
2,400040209,1.80149100,3022400,193886
1,400041216,4.74972300,2039990657,193889
2,400042231,1.80646800,3030750,193887
1,400043238,4.74723000,2038919718,193890
2,400044244,1.80857200,3034280,193888
1,400045257,4.74760900,2039082622,193891
2,400046263,1.80625900,3030400,193889
1,400047276,4.75018200,2040187514,193892
2,400048282,1.80167000,3022700,193890
1,400049296,4.75018200,2040187514,193893
2,400050305,1.80167000,3022700,193891
1,400051312,4.74699800,2038820007,193894
2,400052321,1.79786700,3016320,193892
1,400053328,4.74531100,2038095596,193895
2,400054343,1.79339700,3008820,193893
1,400055350,4.74736800,2038979001,193896
2,400056356,1.80389300,3026430,193894
1,400057369,4.74797400,2039239594,193897
2,400058375,1.80225400,3023680,193895
1,400059388,4.74797400,2039239594,193898
2,400060394,1.80225400,3023680,193896
1,400061408,4.74485900,2037901573,193899
2,400062417,1.80634300,3030540,193897
1,400063424,4.74690000,2038778161,193900
