level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,300,1,1,135.51,87.29,-3894.16,1.93050,1.96716,0.03665,0
150,300,2,0,155.86,37.90,-3710.45,1.98865,2.01133,0.02268,0
150,300,3,0,153.69,15.60,-3708.45,1.98864,2.00685,0.01821,0
150,300,4,0,146.14,24.42,-3734.96,1.98038,1.99979,0.01941,0
150,300,5,0,158.11,39.76,-3706.57,1.98875,2.01282,0.02407,0
150,300,6,0,156.44,46.29,-3744.77,1.97563,2.00765,0.03202,0
250,300,1,1,158.35,118.06,-3886.09,1.93260,1.98191,0.04931,0
250,300,2,0,253.72,141.18,-3705.28,1.98921,2.04562,0.05641,0
250,300,3,0,251.99,138.86,-3724.62,1.98248,2.03911,0.05663,0
250,300,4,0,253.91,141.79,-3685.47,1.99768,2.05161,0.05393,0
250,300,5,0,252.46,138.75,-3788.47,1.96373,2.01783,0.05410,0
250,300,6,0,252.82,154.18,-3696.19,1.99450,2.05166,0.05716,0
350,300,1,1,190.95,155.41,-3875.77,1.93645,1.99604,0.05959,0
350,300,2,0,348.51,314.59,-3692.55,1.99478,2.10392,0.10914,0
350,300,3,0,349.98,278.12,-3697.34,1.99118,2.09515,0.10396,0
350,300,4,0,349.63,284.26,-3694.88,1.99182,2.08991,0.09808,0
350,300,5,0,350.42,289.84,-3701.61,1.99104,2.09297,0.10192,0
350,300,6,0,352.14,317.91,-3687.16,1.99511,2.10770,0.11259,0
450,300,1,1,223.83,219.30,-3876.54,1.93421,2.02206,0.08785,0
450,300,2,0,448.60,521.42,-3698.85,1.99183,2.16911,0.17728,0
450,300,3,0,448.37,509.57,-3676.24,1.99744,2.17422,0.17678,0
450,300,4,0,448.63,510.81,-3682.69,1.99460,2.17071,0.17611,0
450,300,5,0,450.32,497.76,-3684.60,1.99482,2.16626,0.17144,0
450,300,6,0,448.19,482.69,-3704.37,1.98729,2.15684,0.16955,0
550,300,1,1,270.19,326.78,-3865.77,1.93978,2.05327,0.11348,0
550,300,2,0,549.15,850.47,-3720.02,1.98283,2.26155,0.27872,0
550,300,3,0,552.84,845.47,-3652.69,2.00327,2.28499,0.28172,0
550,300,4,0,548.84,873.71,-3639.55,2.00826,2.29718,0.28892,0
550,300,5,0,548.54,861.34,-3630.95,2.00960,2.29237,0.28277,0
550,300,6,0,651.17,1417.47,-3628.24,2.01255,2.47342,0.46087,0
650,300,1,1,324.90,440.30,-3856.64,1.94371,2.09387,0.15016,0
650,300,2,0,647.27,1265.76,-3730.29,1.98125,2.39190,0.41065,0
650,300,3,0,648.35,1363.57,-3590.26,2.02388,2.46507,0.44119,0
650,300,4,0,648.91,1330.90,-3634.07,2.01057,2.44564,0.43507,0
650,300,5,0,976.48,6811.85,-1783.93,2.59432,5.00000,2.40568,1
650,300,6,0,976.30,-45.06,5027.88,4.99100,5.00000,0.00900,1
