file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_750mA_h400ms,750,400,1,1,0,748.33,3570.26,-4374.68,175.380,111.709,0
c00_level_750mA_h400ms,750,400,2,0,0,747.83,3718.16,-3884.06,190.255,116.702,0
c00_level_750mA_h400ms,750,400,3,0,0,748.17,3712.23,-3807.36,192.509,115.315,0
c00_level_750mA_h400ms,750,400,4,0,0,747.95,3759.72,-3881.67,190.373,117.379,0
c01_level_950mA_h300ms,950,300,1,1,0,946.95,5477.67,-4304.29,177.436,174.988,0
c01_level_950mA_h300ms,950,300,2,0,0,946.75,5855.26,-3904.27,189.586,186.455,0
c01_level_950mA_h300ms,950,300,3,0,0,946.79,6168.30,-3761.07,194.274,196.674,0
c01_level_950mA_h300ms,950,300,4,0,0,946.67,6214.35,-3606.88,198.887,196.831,0
c02_level_850mA_h400ms,850,400,1,1,0,847.67,6358.94,-4321.96,176.863,199.529,0
c02_level_850mA_h400ms,850,400,2,0,0,847.67,6833.70,-3607.32,198.876,215.227,0
c02_level_850mA_h400ms,850,400,3,0,0,848.85,6901.94,-3617.42,198.745,216.647,0
c02_level_850mA_h400ms,850,400,4,0,0,847.54,6769.51,-3707.79,195.961,212.830,0
