src,hw_us,value,raw_code,seq
2,2340521565,3.17024000,5318780,1142106
1,2340522572,4.69638800,2017083161,1142110
2,2340523581,3.16591300,5311520,1142107
1,2340524588,4.69700000,2017346187,1142111
2,2340525597,3.16879800,5316360,1142108
3,2342722961,0.49582400,0,2012171
4,2342722961,0.12521800,0,2012171
1,2340526604,4.69700000,2017346187,1142112
2,2340527613,3.16879800,5316360,1142109
1,2340528620,4.69735500,2017498757,1142113
2,2340529629,3.16909600,5316860,1142110
1,2340530636,4.69776800,2017675982,1142114
2,2340531645,3.17226600,5322180,1142111
1,2340532652,4.69685700,2017284987,1142115
2,2340533661,3.17079400,5319710,1142112
1,2340534668,4.69566300,2016772004,1142116
2,2340535677,3.17164700,5321140,1142113
1,2340536684,4.69583700,2016846558,1142117
2,2340537693,3.17164700,5321140,1142114
1,2340538700,4.69583700,2016846558,1142118
2,2340539709,3.16965000,5317790,1142115
1,2340540716,4.69644100,2017105905,1142119
2,2340541725,3.16945300,5317460,1142116
1,2340542732,4.69664300,2017192975,1142120
2,2340543741,3.17001300,5318400,1142117
1,2340544748,4.69732300,2017484739,1142121
2,2340545757,3.16808800,5315170,1142118
1,2340546764,4.69681400,2017266032,1142122
2,2340547773,3.16919700,5317030,1142119
1,2340548780,4.69681400,2017266032,1142123
2,2340549789,3.16919700,5317030,1142120
1,2340550796,4.69559100,2016740760,1142124
2,2340551805,3.16638400,5312310,1142121
1,2340552812,4.69556600,2016730406,1142125
2,2340553821,3.17143800,5320790,1142122
1,2340554828,4.69624100,2017019975,1142126
2,2340555837,3.17558600,5327750,1142123
1,2340556844,4.69632500,2017056349,1142127
2,2340557853,3.17094900,5319970,1142124
1,2340558860,4.69632500,2017056349,1142128
2,2340559869,3.17094900,5319970,1142125
1,2340560876,4.69710400,2017390957,1142129
2,2340561885,3.16878600,5316340,1142126
1,2340562892,4.69681800,2017268065,1142130
2,2340563901,3.16946500,5317480,1142127
1,2340564908,4.69558100,2016736621,1142131
2,2340565917,3.17210000,5321900,1142128
1,2340566924,4.69541600,2016665742,1142132
2,2340567933,3.17096100,5319990,1142129
1,2340568940,4.69541600,2016665742,1142133
2,2340569949,3.17096100,5319990,1142130
1,2340570956,4.69607800,2016950295,1142134
2,2340571965,3.16804100,5315090,1142131
1,2340572972,4.69605100,2016938639,1142135
2,2340573981,3.16756400,5314290,1142132
1,2340574988,4.69669600,2017215767,1142136
2,2340575997,3.17006100,5318480,1142133
1,2340577004,4.69647100,2017119083,1142137
2,2340578013,3.17082400,5319760,1142134
1,2340579020,4.69526700,2016601586,1142138
2,2340580029,3.17082400,5319760,1142135
1,2340581036,4.69526700,2016601586,1142139
2,2340582045,3.17038900,5319030,1142136
1,2340583052,4.69504800,2016507616,1142140
2,2340584061,3.17416200,5325360,1142137
1,2340585068,4.69579700,2016829430,1142141
2,2340586077,3.17618800,5328760,1142138
1,2340587084,4.69568000,2016779226,1142142
2,2340588093,3.17414400,5325330,1142139
1,2340589100,4.69639900,2017087933,1142143
2,2340590109,3.17414400,5325330,1142140
1,2340591116,4.69639900,2017087933,1142144
2,2340592125,3.17145000,5320810,1142141
1,2340593132,4.69623600,2017017956,1142145
2,2340594141,3.17649800,5329280,1142142
1,2340595148,4.69489400,2016441673,1142146
2,2340596157,3.17178400,5321370,1142143
1,2340597164,4.69441400,2016235467,1142147
2,2340598173,3.17382800,5324800,1142144
1,2340599180,4.69509800,2016529110,1142148
2,2340600189,3.17814400,5332040,1142145
1,2340601196,4.69509800,2016529110,1142149
2,2340602205,3.17814400,5332040,1142146
1,2340603212,4.69506100,2016513281,1142150
2,2340604221,3.17383400,5324810,1142147
1,2340605228,4.69584200,2016848599,1142151
2,2340606237,3.16897600,5316660,1142148
1,2340607244,4.69586600,2016858973,1142152
2,2340608253,3.17296400,5323350,1142149
1,2340609260,4.69475400,2016381565,1142153
2,2340610269,3.17394100,5324990,1142150
1,2340611276,4.69475400,2016381565,1142154
2,2340612285,3.17394100,5324990,1142151
1,2340613292,4.69417000,2016130686,1142155
2,2340614301,3.16984100,5318110,1142152
1,2340615308,4.69478800,2016396252,1142156
2,2340616317,3.16660400,5312680,1142153
1,2340617324,4.69481900,2016409261,1142157
2,2340618333,3.17149200,5320880,1142154
1,2340619340,4.69554600,2016721847,1142158
2,2340620349,3.17040700,5319060,1142155
1,2340621356,4.69554600,2016721847,1142159
2,2340622365,3.17040700,5319060,1142156
1,2340623366,4.69556700,2016730560,1142160
2,2340624375,3.17928200,5333950,1142157
1,2340625382,4.69438700,2016224116,1142161
2,2340626391,3.17555700,5327700,1142158
1,2340627398,4.69382700,2015983136,1142162
2,2340628407,3.17205200,5321820,1142159
1,2340629414,4.69435700,2016210937,1142163
2,2340630423,3.17097300,5320010,1142160
1,2340631430,4.69442300,2016239231,1142164
2,2340632439,3.17097300,5320010,1142161
3,2342827014,0.50465900,0,2012172
4,2342827014,0.12598600,0,2012172
1,2340633446,4.69442300,2016239231,1142165
2,2340634455,3.17162900,5321110,1142162
1,2340635462,4.69508300,2016522859,1142166
2,2340636471,3.17483500,5326490,1142163
1,2340637478,4.69526400,2016600621,1142167
2,2340638487,3.17472200,5326300,1142164
1,2340639494,4.69411300,2016106210,1142168
2,2340640503,3.17171800,5321260,1142165
1,2340641510,4.69340100,2015800281,1142169
2,2340642519,3.17171800,5321260,1142166
1,2340643526,4.69340100,2015800281,1142170
2,2340644535,3.17289800,5323240,1142167
1,2340645542,4.69409500,2016098424,1142171
2,2340646551,3.16969200,5317860,1142168
1,2340647558,4.69421600,2016150295,1142172
2,2340648567,3.17060400,5319390,1142169
1,2340649574,4.69466100,2016341619,1142173
2,2340650583,3.17337500,5324040,1142170
1,2340651590,4.69491900,2016452274,1142174
2,2340652599,3.17417400,5325380,1142171
1,2340653606,4.69491900,2016452274,1142175
2,2340654615,3.17417400,5325380,1142172
1,2340655622,4.69391100,2016019310,1142176
2,2340656631,3.17679600,5329780,1142173
1,2340657638,4.69303800,2015644251,1142177
2,2340658647,3.17660600,5329460,1142174
1,2340659654,4.69349700,2015841713,1142178
2,2340660663,3.17611100,5328630,1142175
1,2340661670,4.69365100,2015907568,1142179
2,2340662679,3.17824500,5332210,1142176
1,2340663686,4.69365100,2015907568,1142180
2,2340664695,3.17824500,5332210,1142177
1,2340665702,4.69393000,2016027345,1142181
2,2340666711,3.17624800,5328860,1142178
1,2340667718,4.69451100,2016277302,1142182
2,2340668727,3.17731500,5330650,1142179
1,2340669734,4.69365400,2015908856,1142183
2,2340670743,3.17331600,5323940,1142180
1,2340671750,4.69256700,2015442038,1142184
2,2340672759,3.17574100,5328010,1142181
1,2340673766,4.69256700,2015442038,1142185
2,2340674775,3.17574100,5328010,1142182
1,2340675782,4.69291500,2015591498,1142186
2,2340676791,3.17620600,5328790,1142183
1,2340677798,4.69331300,2015762720,1142187
2,2340678807,3.17590200,5328280,1142184
1,2340679814,4.69352500,2015853664,1142188
2,2340680823,3.17380400,5324760,1142185
1,2340681830,4.69403700,2016073741,1142189
2,2340682839,3.17413200,5325310,1142186
1,2340683846,4.69340800,2015803106,1142190
2,2340684855,3.17413200,5325310,1142187
1,2340685862,4.69340800,2015803106,1142191
2,2340686871,3.17589600,5328270,1142188
1,2340687878,4.69228300,2015320263,1142192
2,2340688887,3.17608100,5328580,1142189
1,2340689894,4.69249200,2015409693,1142193
2,2340690903,3.17329800,5323910,1142190
1,2340691910,4.69293900,2015601828,1142194
2,2340692919,3.17853700,5332700,1142191
1,2340693926,4.69298900,2015623474,1142195
2,2340694935,3.17853700,5332700,1142192
1,2340695942,4.69298900,2015623474,1142196
2,2340696951,3.18145200,5337590,1142193
1,2340697958,4.69363100,2015899124,1142197
2,2340698967,3.17898400,5333450,1142194
1,2340699974,4.69298600,2015622136,1142198
2,2340700983,3.17651600,5329310,1142195
1,2340701990,4.69187400,2015144511,1142199
2,2340702999,3.17710000,5330290,1142196
1,2340704006,4.69195200,2015177980,1142200
2,2340705015,3.17979500,5334810,1142197
1,2340706022,4.69195200,2015177980,1142201
2,2340707031,3.17979500,5334810,1142198
1,2340708038,4.69259100,2015452562,1142202
2,2340709047,3.17941900,5334180,1142199
1,2340710054,4.69264700,2015476457,1142203
2,2340711063,3.17371500,5324610,1142200
1,2340712070,4.69338700,2015794305,1142204
2,2340713079,3.17228400,5322210,1142201
1,2340714086,4.69287100,2015572736,1142205
2,2340715095,3.17525300,5327190,1142202
1,2340716102,4.69287100,2015572736,1142206
2,2340717111,3.17525300,5327190,1142203
1,2340718118,4.69169100,2015065875,1142207
2,2340719127,3.17413800,5325320,1142204
1,2340720134,4.69171500,2015076408,1142208
2,2340721143,3.18055200,5336080,1142205
1,2340722150,4.69240100,2015370862,1142209
2,2340723159,3.18075400,5336420,1142206
1,2340724166,4.69222300,2015294239,1142210
2,2340725175,3.17866800,5332920,1142207
1,2340726182,4.69222300,2015294239,1142211
2,2340727191,3.17866800,5332920,1142208
1,2340728198,4.69296200,2015611966,1142212
2,2340729207,3.17755300,5331050,1142209
1,2340730214,4.69266000,2015482397,1142213
2,2340731223,3.17993200,5335040,1142210
1,2340732230,4.69138200,2014933158,1142214
2,2340733239,3.17542000,5327470,1142211
1,2340734246,4.69110100,2014812315,1142215
2,2340735255,3.17882900,5333190,1142212
1,2340736262,4.69185300,2015135234,1142216
3,2342931238,0.50531600,0,2012173
4,2342931238,0.11635900,0,2012173
2,2340737271,3.17882900,5333190,1142213
1,2340738278,4.69185300,2015135234,1142217
2,2340739287,3.17766700,5331240,1142214
1,2340740294,4.69171000,2015073907,1142218
2,2340741303,3.17596800,5328390,1142215
1,2340742310,4.69258500,2015449964,1142219
2,2340743319,3.17559200,5327760,1142216
1,2340744326,4.69242900,2015382712,1142220
2,2340745335,3.17550300,5327610,1142217
1,2340746342,4.69103700,2014784922,1142221
2,2340747351,3.17550300,5327610,1142218
1,2340748358,4.69103700,2014784922,1142222
2,2340749367,3.17837000,5332420,1142219
1,2340750374,4.69084100,2014700804,1142223
2,2340751383,3.17456700,5326040,1142220
1,2340752390,4.69148700,2014978253,1142224
2,2340753399,3.17230800,5322250,1142221
1,2340754406,4.69147100,2014971273,1142225
2,2340755415,3.17536000,5327370,1142222
1,2340756422,4.69227800,2015318120,1142226
2,2340757431,3.18054600,5336070,1142223
1,2340758438,4.69227800,2015318120,1142227
2,2340759447,3.18054600,5336070,1142224
1,2340760454,4.69207900,2015232417,1142228
2,2340761463,3.17880500,5333150,1142225
1,2340762470,4.69079800,2014682514,1142229
2,2340763479,3.17868600,5332950,1142226
1,2340764486,4.69037600,2014501403,1142230
2,2340765495,3.18163600,5337900,1142227
1,2340766502,4.69117400,2014843804,1142231
2,2340767511,3.17839400,5332460,1142228
1,2340768518,4.69117400,2014843804,1142232
2,2340769527,3.17839400,5332460,1142229
1,2340770534,4.69123000,2014868119,1142233
2,2340771543,3.17630800,5328960,1142230
1,2340772550,4.69209800,2015240692,1142234
2,2340773559,3.18017000,5335440,1142231
1,2340774559,4.69202500,2015209328,1142235
2,2340775575,3.17793500,5331690,1142232
1,2340776575,4.69074300,2014658591,1142236
2,2340777591,3.17993200,5335040,1142233
1,2340778591,4.69074300,2014658591,1142237
2,2340779607,3.17993200,5335040,1142234
1,2340780607,4.69017400,2014414309,1142238
2,2340781623,3.18102200,5336870,1142235
1,2340782623,4.69071200,2014645388,1142239
2,2340783639,3.18328100,5340660,1142236
1,2340784639,4.69070200,2014640858,1142240
2,2340785655,3.18119500,5337160,1142237
1,2340786655,4.69144400,2014959843,1142241
2,2340787671,3.17772600,5331340,1142238
1,2340788671,4.69148600,2014978068,1142242
2,2340789687,3.17772600,5331340,1142239
1,2340790687,4.69148600,2014978068,1142243
2,2340791703,3.17732700,5330670,1142240
1,2340792703,4.69023200,2014439368,1142244
2,2340793719,3.17822100,5332170,1142241
1,2340794719,4.68962600,2014179053,1142245
2,2340795735,3.17666500,5329560,1142242
1,2340796735,4.69022200,2014434760,1142246
2,2340797751,3.17446000,5325860,1142243
1,2340798751,4.69023700,2014441510,1142247
2,2340799767,3.17789300,5331620,1142244
1,2340800767,4.69023700,2014441510,1142248
2,2340801783,3.17789300,5331620,1142245
1,2340802783,4.69101400,2014775155,1142249
2,2340803799,3.17865600,5332900,1142246
1,2340804806,4.69130900,2014901685,1142250
2,2340805815,3.17173600,5321290,1142247
1,2340806815,4.69013300,2014396747,1142251
2,2340807831,3.17448400,5325900,1142248
1,2340808831,4.68923900,2014012497,1142252
2,2340809847,3.17758300,5331100,1142249
1,2340810847,4.68923900,2014012497,1142253
2,2340811863,3.17758300,5331100,1142250
1,2340812863,4.68986900,2014283583,1142254
