src,hw_us,value,raw_code,seq
2,70677081,1.92838300,3235290,32753
3,72873718,0.50264000,0,0
4,72873718,0.09816600,0,0
1,70678094,4.76400100,2046122778,32754
2,70679100,1.93349100,3243860,32754
1,70680107,4.76518900,2046632957,32755
2,70681113,1.92524200,3230020,32755
1,70682120,4.76475800,2046448175,32756
2,70683126,1.92470600,3229120,32756
1,70684139,4.76489300,2046505921,32757
2,70685145,1.92409800,3228100,32757
1,70686152,4.76489300,2046505921,32758
2,70687158,1.92409800,3228100,32758
1,70688165,4.76487400,2046498071,32759
2,70689171,1.92090900,3222750,32759
1,70690184,4.76351300,2045913166,32760
2,70691190,1.92355500,3227190,32760
1,70692197,4.76304900,2045713751,32761
2,70693203,1.91611700,3214710,32761
1,70694210,4.76405100,2046144413,32762
2,70695219,1.92515900,3229880,32762
1,70696226,4.76405100,2046144413,32763
2,70697235,1.92515900,3229880,32763
1,70698242,4.76372200,2046003021,32764
2,70699251,1.92290000,3226090,32764
1,70700258,4.76394800,2046099996,32765
2,70701267,1.92394300,3227840,32765
1,70702267,4.76410800,2046168638,32766
2,70703283,1.92464600,3229020,32766
1,70704283,4.76273200,2045577901,32767
2,70705289,1.93032600,3238550,32767
1,70706302,4.76273200,2045577901,32768
2,70707308,1.93032600,3238550,32768
1,70708315,4.76221000,2045353809,32769
2,70709321,1.93250800,3242210,32769
1,70710328,4.76326500,2045806638,32770
2,70711334,1.92317400,3226550,32770
1,70712347,4.76319200,2045775192,32771
2,70713353,1.92262500,3225630,32771
1,70714360,4.76346800,2045894073,32772
2,70715366,1.92802600,3234690,32772
1,70716373,4.76346800,2045894073,32773
2,70717379,1.92802600,3234690,32773
1,70718392,4.76374400,2046012385,32774
2,70719398,1.93480900,3246070,32774
1,70720405,4.76260900,2045524724,32775
2,70721411,1.93066600,3239120,32775
1,70722418,4.76199100,2045259283,32776
2,70723427,1.92252400,3225460,32776
1,70724434,4.76294100,2045667833,32777
2,70725443,1.92603500,3231350,32777
1,70726450,4.76290800,2045653087,32778
2,70727459,1.92603500,3231350,32778
1,70728466,4.76290800,2045653087,32779
2,70729475,1.92133200,3223460,32779
1,70730475,4.76300500,2045695279,32780
2,70731481,1.92636900,3231910,32780
1,70732494,4.76327200,2045809666,32781
2,70733500,1.92986700,3237780,32781
1,70734507,4.76199200,2045259747,32782
2,70735513,1.92780500,3234320,32782
1,70736520,4.76103700,2044850094,32783
2,70737526,1.92870500,3235830,32783
1,70738539,4.76103700,2044850094,32784
2,70739545,1.92870500,3235830,32784
1,70740552,4.76180000,2045177375,32785
2,70741558,1.93948200,3253910,32785
1,70742565,4.76184800,2045198281,32786
2,70743571,1.92943200,3237050,32786
1,70744584,4.76178900,2045172806,32787
2,70745590,1.92524200,3230020,32787
1,70746597,4.76196300,2045247625,32788
2,70747603,1.93245400,3242120,32788
1,70748610,4.76196300,2045247625,32789
2,70749619,1.93245400,3242120,32789
1,70750626,4.76114600,2044896644,32790
2,70751635,1.92887800,3236120,32790
1,70752642,4.76028500,2044527122,32791
2,70753651,1.92487200,3229400,32791
1,70754658,4.76088300,2044783564,32792
2,70755667,1.93322300,3243410,32792
1,70756667,4.76116700,2044905672,32793
2,70757683,1.92937900,3236960,32793
1,70758683,4.76116700,2044905672,32794
2,70759689,1.92937900,3236960,32794
1,70760702,4.76105000,2044855501,32795
2,70761708,1.92955700,3237260,32795
1,70762715,4.76137900,2044996607,32796
2,70763721,1.93244200,3242100,32796
1,70764728,4.76058400,2044655194,32797
2,70765734,1.93151800,3240550,32797
1,70766741,4.75940100,2044147233,32798
2,70767756,1.93669200,3249230,32798
1,70768754,4.75940100,2044147233,32799
2,70769769,1.93669200,3249230,32799
1,70770773,4.75976000,2044301439,32800
2,70771779,1.93701400,3249770,32800
1,70772786,4.76024500,2044509817,32801
2,70773795,1.93804500,3251500,32801
1,70774802,4.75990400,2044363233,32802
2,70775811,1.93310400,3243210,32802
1,70776818,4.76027900,2044524402,32803
2,70777827,1.92639800,3231960,32803
1,70778834,4.75976900,2044305132,32804
2,70779843,1.92639800,3231960,32804
1,70780850,4.75976900,2044305132,32805
2,70781859,1.93277000,3242650,32805
1,70782866,4.75880900,2043892686,32806
3,72977716,0.48271600,0,1
4,72977716,0.10207600,0,1
2,70783875,1.93330600,3243550,32806
1,70784875,4.75923800,2044077286,32807
2,70785881,1.93241800,3242060,32807
1,70786894,4.76006100,2044430879,32808
2,70787900,1.93958300,3254080,32808
1,70788907,4.75977700,2044308679,32809
2,70789913,1.93832500,3251970,32809
1,70790920,4.75977700,2044308679,32810
2,70791926,1.93832500,3251970,32810
1,70792939,4.76005000,2044425921,32811
2,70793945,1.93871300,3252620,32811
1,70794952,4.75970700,2044278410,32812
2,70795958,1.94143100,3257180,32812
1,70796965,4.75844100,2043735078,32813
2,70797971,1.92719100,3233290,32813
1,70798984,4.75844700,2043737350,32814
2,70799990,1.92977800,3237630,32814
1,70800997,4.75844700,2043737350,32815
2,70802003,1.92977800,3237630,32815
1,70803010,4.75942400,2044157043,32816
2,70804019,1.93235900,3241960,32816
1,70805026,4.75908900,2044013222,32817
2,70806035,1.92128400,3223380,32817
1,70807042,4.75941100,2044151355,32818
2,70808051,1.92190400,3224420,32818
1,70809058,4.75908800,2044012560,32819
2,70810067,1.93270400,3242540,32819
1,70811074,4.75908800,2044012560,32820
2,70812083,1.93270400,3242540,32820
1,70813083,4.75797400,2043534325,32821
2,70814089,1.94042300,3255490,32821
1,70815102,4.75794700,2043522825,32822
2,70816108,1.92933100,3236880,32822
1,70817112,4.75878700,2043883568,32823
2,70818127,1.91940100,3220220,32823
1,70819125,4.75816000,2043614146,32824
2,70820140,1.93084500,3239420,32824
1,70821147,4.75816000,2043614146,32825
2,70822153,1.93084500,3239420,32825
1,70823160,4.75866300,2043830257,32826
2,70824166,1.93386100,3244480,32826
1,70825173,4.75847400,2043749011,32827
2,70826179,1.92890200,3236160,32827
1,70827192,4.75716600,2043187471,32828
2,70828198,1.92869900,3235820,32828
1,70829205,4.75695000,2043094445,32829
2,70830211,1.93472500,3245930,32829
1,70831218,4.75794000,2043519832,32830
2,70832227,1.93472500,3245930,32830
1,70833234,4.75794000,2043519832,32831
2,70834243,1.92378200,3227570,32831
1,70835250,4.75738000,2043279203,32832
2,70836259,1.92381100,3227620,32832
1,70837266,4.75779000,2043455368,32833
2,70838275,1.93818200,3251730,32833
1,70839282,4.75769100,2043412679,32834
2,70840291,1.93925500,3253530,32834
1,70841291,4.75630600,2042817714,32835
2,70842297,1.93030800,3238520,32835
1,70843310,4.75630600,2042817714,32836
2,70844316,1.93030800,3238520,32836
1,70845320,4.75604200,2042704456,32837
2,70846335,1.92747100,3233760,32837
1,70847333,4.75713300,2043172993,32838
2,70848348,1.92939600,3236990,32838
1,70849355,4.75662200,2042953718,32839
2,70850361,1.93314600,3243280,32839
1,70851368,4.75704800,2043136330,32840
2,70852374,1.92976600,3237610,32840
1,70853381,4.75704800,2043136330,32841
2,70854387,1.92976600,3237610,32841
1,70855400,4.75748900,2043325771,32842
2,70856406,1.93850400,3252270,32842
1,70857413,4.75623700,2042787963,32843
2,70858419,1.93232900,3241910,32843
1,70859426,4.75584600,2042620066,32844
2,70860435,1.93442100,3245420,32844
1,70861442,4.75692700,2043084553,32845
2,70862451,1.93115500,3239940,32845
1,70863458,4.75692700,2043084553,32846
2,70864467,1.93115500,3239940,32846
1,70865474,4.75652800,2042913285,32847
2,70866483,1.92394900,3227850,32847
1,70867490,4.75663800,2042960494,32848
2,70868499,1.93054100,3238910,32848
1,70869499,4.75688000,2043064606,32849
2,70870505,1.93316300,3243310,32849
1,70871518,4.75527800,2042376476,32850
2,70872524,1.93566700,3247510,32850
1,70873531,4.75527800,2042376476,32851
2,70874537,1.93566700,3247510,32851
1,70875544,4.75437100,2041986772,32852
2,70876550,1.93129800,3240180,32852
1,70877563,4.75514000,2042317010,32853
2,70878569,1.93255000,3242280,32853
1,70879576,4.75481500,2042177573,32854
2,70880582,1.93861700,3252460,32854
1,70881589,4.75478000,2042162482,32855
2,70882595,1.93064200,3239080,32855
