level_mA,cycle,i_mA,baseline_V,peak_V,rise_V,clipped
150,1,129.23,2.02593,2.04245,0.01652,0
150,2,149.93,2.04220,2.05694,0.01474,0
150,3,160.29,2.05314,2.06648,0.01334,0
150,4,158.67,2.04305,2.05559,0.01254,0
150,5,155.47,2.05650,2.07214,0.01564,0
150,6,156.88,2.05533,2.06829,0.01295,0
250,1,248.94,2.05036,2.06254,0.01219,0
250,2,251.71,2.06008,2.07394,0.01385,0
250,3,249.70,2.05746,2.07848,0.02102,0
250,4,250.88,2.07051,2.08729,0.01678,0
250,5,249.21,2.04618,2.06159,0.01541,0
350,1,352.95,2.04521,2.06394,0.01872,0
350,2,347.90,2.05507,2.07164,0.01657,0
350,3,345.77,2.06560,2.07831,0.01270,0
350,4,345.14,2.04725,2.06281,0.01556,0
350,5,345.36,2.06678,2.08317,0.01639,0
450,1,446.19,2.09059,2.09897,0.00838,0
450,2,447.16,2.05315,2.06820,0.01505,0
450,3,442.19,2.06902,2.08301,0.01399,0
450,4,443.45,2.08007,2.10118,0.02110,0
450,5,530.26,2.08222,2.08564,0.00342,0
550,1,541.78,2.08578,2.09635,0.01058,0
550,2,541.27,2.09261,2.09885,0.00623,0
550,3,539.20,2.10379,2.11455,0.01076,0
550,4,544.56,2.07593,2.08857,0.01264,0
550,5,542.04,2.12023,2.12759,0.00736,0
650,1,645.56,2.10527,2.11625,0.01097,0
650,2,640.63,2.11932,2.12488,0.00556,0
650,3,638.65,2.10063,2.11284,0.01222,0
650,4,641.61,2.10400,2.10515,0.00115,0
650,5,640.93,2.10942,2.11432,0.00490,0
