run,level_mA,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,dF_mN,clipped
20260729,150,1,1,129.23,53.83,-4333.80,2.00384,2.03797,0.03412,3.345,0
20260729,150,2,0,149.93,17.68,-4241.42,2.03459,2.05191,0.01732,1.698,0
20260729,150,3,0,160.29,19.26,-4204.60,2.04508,2.06613,0.02105,2.064,0
20260729,150,4,0,158.67,-27.83,-4166.29,2.06020,2.07524,0.01504,1.475,0
20260729,150,5,0,155.47,32.35,-4195.43,2.04798,2.07554,0.02756,2.702,0
20260729,150,6,0,156.88,25.30,-4177.62,2.05583,2.08088,0.02505,2.456,0
20260729,250,1,1,248.94,47.91,-4213.10,2.04429,2.07427,0.02999,2.939,0
20260729,250,2,0,251.71,39.07,-4190.32,2.05072,2.07536,0.02464,2.416,0
20260729,250,3,0,249.70,55.67,-4221.47,2.03801,2.07492,0.03691,3.618,0
20260729,250,4,0,250.88,55.00,-4186.18,2.05245,2.08444,0.03199,3.136,0
20260729,250,5,0,249.21,48.97,-4204.20,2.04319,2.07633,0.03315,3.249,0
20260729,350,1,1,352.95,98.14,-4268.58,2.02544,2.06819,0.04275,4.191,0
20260729,350,2,0,347.90,83.18,-4207.47,2.04227,2.08932,0.04705,4.613,0
20260729,350,3,0,345.77,84.95,-4200.54,2.04598,2.08657,0.04059,3.979,0
20260729,350,4,0,345.14,82.71,-4237.28,2.03027,2.07402,0.04375,4.289,0
20260729,350,5,0,345.36,85.14,-4164.96,2.05971,2.10329,0.04358,4.272,0
20260729,450,1,1,446.19,167.99,-4183.46,2.05482,2.12246,0.06764,6.631,0
20260729,450,2,0,447.16,144.22,-4213.67,2.03579,2.10081,0.06503,6.375,0
20260729,450,3,0,442.19,146.78,-4210.20,2.03724,2.10671,0.06948,6.811,0
20260729,450,4,0,443.45,156.78,-4218.01,2.03474,2.10429,0.06955,6.818,0
20260729,450,5,0,530.26,222.43,-4209.21,2.03859,2.13168,0.09309,9.126,0
20260729,550,1,1,541.78,245.18,-4191.74,2.05115,2.14121,0.09005,8.828,0
20260729,550,2,0,541.27,259.40,-4146.80,2.06320,2.15744,0.09424,9.239,0
20260729,550,3,0,539.20,248.48,-4185.07,2.04700,2.14309,0.09609,9.420,0
20260729,550,4,0,544.56,233.52,-4189.83,2.04461,2.13354,0.08892,8.717,0
20260729,550,5,0,542.04,264.96,-4144.30,2.06226,2.16414,0.10187,9.987,0
20260729,650,1,1,645.56,371.60,-4251.36,2.02949,2.16065,0.13115,12.857,0
20260729,650,2,0,640.63,368.44,-4139.72,2.06435,2.19290,0.12855,12.601,0
20260729,650,3,0,638.65,373.15,-4196.73,2.04210,2.17750,0.13540,13.274,0
20260729,650,4,0,641.61,362.76,-4163.61,2.05560,2.18467,0.12907,12.653,0
20260729,650,5,0,640.93,364.71,-4181.46,2.04874,2.17968,0.13094,12.836,0
20260730,650,1,1,644.08,380.39,-4211.40,2.04394,2.18668,0.14274,13.993,0
20260730,650,2,0,642.04,365.29,-4189.72,2.04222,2.17572,0.13350,13.087,0
20260730,650,3,0,645.52,361.82,-4225.75,2.03008,2.16895,0.13887,13.614,0
20260730,750,1,1,856.70,705.64,-4216.13,2.04003,2.27943,0.23940,23.469,0
20260730,750,2,0,825.94,648.49,-4183.33,2.04281,2.27140,0.22859,22.409,0
20260730,750,3,0,757.12,524.91,-4168.74,2.04698,2.23109,0.18411,18.049,0
20260730,850,1,1,841.35,689.51,-4234.63,2.03524,2.26539,0.23015,22.562,0
20260730,850,2,0,841.94,659.17,-4227.99,2.02638,2.25336,0.22698,22.251,0
20260730,850,3,0,841.88,666.87,-4198.73,2.03709,2.27060,0.23351,22.891,0
20260730,950,1,1,946.73,882.23,-4251.71,2.02660,2.32293,0.29633,29.050,0
20260730,950,2,0,939.71,866.51,-4212.65,2.03321,2.33225,0.29904,29.315,0
20260730,950,3,0,938.22,861.41,-4197.40,2.03646,2.32593,0.28947,28.377,0
