host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1783958620.725410,1125263.828000,124724000,2,load,2.34953200,3941860,126163057,60372
1783958620.726994,1125263.828000,124725000,1,laser,4.97248400,2135665375,126164071,60373
1783958620.740150,1125263.843000,124726000,2,load,2.33542300,3918190,126165086,60373
1783958620.741149,1125263.843000,124727000,1,laser,4.97126900,2135143682,126166093,60374
1783958620.741149,1125263.843000,124728000,2,load,2.33503600,3917540,126167109,60374
1783958620.741149,1125263.843000,124729000,1,laser,4.97147500,2135232326,126168116,60375
1783958620.746881,1125263.843000,124730000,2,load,2.33559600,3918480,126169131,60375
1783958620.748880,1125263.843000,124731000,1,laser,4.97147500,2135232326,126170144,60376
1783958620.748880,1125263.843000,124732000,2,load,2.33559600,3918480,126171153,60376
1783958620.748880,1125263.843000,124733000,1,laser,4.97186400,2135399363,126172167,60377
1783958620.749881,1125263.843000,124734000,2,load,2.33761100,3921860,126173182,60377
1783958620.749881,1125263.843000,124735000,1,laser,4.97237000,2135616600,126174189,60378
1783958620.750882,1125263.843000,124736000,2,load,2.33472000,3917010,126175205,60378
1783958620.750882,1125263.843000,124737000,1,laser,4.97320600,2135975685,126176212,60379
1783958620.751881,1125263.843000,124738000,2,load,2.33917200,3924480,126177227,60379
1783958620.751881,1125263.843000,124739000,1,laser,4.97257300,2135703711,126178240,60380
1783958620.752882,1125263.859000,124740000,2,load,2.35021100,3943000,126179256,60380
1783958620.752882,1125263.859000,124741000,1,laser,4.97257300,2135703711,126180263,60381
1783958620.753881,1125263.859000,124742000,2,load,2.35021100,3943000,126181278,60381
1783958620.753881,1125263.859000,124743000,1,laser,4.97132600,2135168343,126182285,60382
1783958620.753881,1125263.859000,124744000,2,load,2.34000700,3925880,126183301,60382
1783958620.753881,1125263.859000,124745000,1,laser,4.97147600,2135232640,126184314,60383
1783958620.755352,1125263.859000,124746000,2,load,2.34086500,3927320,126185323,60383
1783958620.755352,1125263.859000,124747000,1,laser,4.97180100,2135372158,126186336,60384
1783958620.756352,1125263.859000,124748000,2,load,2.34385700,3932340,126187352,60384
1783958620.756352,1125263.859000,124749000,1,laser,4.97226100,2135569557,126188359,60385
1783958620.756352,1125263.859000,124750000,2,load,2.34081700,3927240,126189374,60385
1783958620.757857,1125263.859000,124751000,1,laser,4.97319900,2135972904,126190388,60386
1783958620.758602,1125263.859000,124752000,2,load,2.34081700,3927240,126191397,60386
1783958620.759127,1125263.859000,124753000,1,laser,4.97319900,2135972904,126192410,60387
1783958620.759653,1125263.859000,124754000,2,load,2.34959100,3941960,126193425,60387
1783958620.760185,1125263.859000,124755000,1,laser,4.97277900,2135792300,126194432,60388
1783958620.760185,1125263.859000,124756000,2,load,2.33991100,3925720,126195448,60388
1783958620.760846,1125263.859000,124757000,1,laser,4.97140500,2135201932,126196455,60389
1783958620.761375,1125263.859000,124758000,2,load,2.35433600,3949920,126197470,60389
1783958620.761900,1125263.859000,124759000,1,laser,4.97141600,2135206714,126198484,60390
1783958620.762426,1125263.859000,124760000,2,load,2.35265500,3947100,126199493,60390
1783958620.762959,1125263.859000,124761000,1,laser,4.97188100,2135406575,126200506,60391
1783958620.763539,1125263.859000,124762000,2,load,2.35265500,3947100,126201521,60391
1783958620.763539,1125263.859000,124763000,1,laser,4.97188100,2135406575,126202528,60392
1783958620.764071,1125263.859000,124764000,2,load,2.34557400,3935220,126203544,60392
1783958620.764602,1125263.859000,124765000,1,laser,4.97213000,2135513450,126204557,60393
1783958620.765131,1125263.859000,124766000,2,load,2.34456100,3933520,126205566,60393
1783958620.765655,1125263.859000,124767000,1,laser,4.97306200,2135913783,126206580,60394
1783958620.766182,1125263.859000,124768000,2,load,2.34303500,3930960,126207595,60394
1783958620.766707,1125263.859000,124769000,1,laser,4.97295000,2135865791,126208602,60395
1783958620.767242,1125263.859000,124770000,2,load,2.34529400,3934750,126209617,60395
1783958620.767797,1125263.875000,124771000,1,laser,4.97150500,2135245285,126210631,60396
1783958620.768851,1125263.875000,124772000,2,load,2.34752300,3938490,126211640,60396
1783958620.769374,1125263.875000,124773000,1,laser,4.97150500,2135245285,126212653,60397
1783958620.770381,1125263.875000,124774000,2,load,2.34752300,3938490,126213669,60397
1783958620.771379,1125263.875000,124775000,1,laser,4.97137700,2135190221,126214676,60398
1783958620.772379,1125263.875000,124776000,2,load,2.34633700,3936500,126215691,60398
1783958620.773380,1125263.875000,124777000,1,laser,4.97183600,2135387106,126216698,60399
1783958620.774379,1125263.875000,124778000,2,load,2.34575900,3935530,126217713,60399
1783958620.776333,1125263.875000,124779000,1,laser,4.97206500,2135485703,126218727,60400
1783958620.776850,1125263.875000,124780000,2,load,2.34403000,3932630,126219736,60400
1783958620.777983,1125263.875000,124781000,1,laser,4.97298000,2135878400,126220749,60401
1783958620.779037,1125263.875000,124782000,2,load,2.34440600,3933260,126221765,60401
